address,asset_type,submarket,status,last_ask,value,implied_cap,lease_psf,comp_ppsf,opener
3100 SE 6th Avenue,Commercial (other),Area 3800,Expired,11900000.0,6404000.0,0.1027,26.5,71,"Hi, I saw 3100 SE 6th Avenue came off the market — I cover Andrews Ave · SE 17th St. Commercial around here is trading near $71/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
2209 NE 26th Street,Hotel,Area 3370,Expired,9600000.0,6259000.0,0.0767,,226,"Hi, I saw 2209 NE 26th Street came off the market — I cover Dixie Hwy · Oakland Park Blvd. Hotel around here is trading near $226/SF. I think it can be positioned to actually sell — got two minutes?"
3030 SW 4th Avenue,Industrial,Area 3490,Expired,8700000.0,6026000.0,0.0546,19.4,123,"Hi, I saw 3030 SW 4th Avenue came off the market — I cover the area. Industrial around here is trading near $123/SF and leasing around $19/SF. I think it can be positioned to actually sell — got two minutes?"
3001 N Ocean Blvd,Hotel,Area 3130,Expired,8000000.0,5306000.0,0.0602,,293,"Hi, I saw 3001 N Ocean Blvd came off the market — I cover Ocean Blvd. Hotel around here is trading near $293/SF. I think it can be positioned to actually sell — got two minutes?"
616-626 SW 14th Ave,Multifamily,Area 3470,Expired,7950000.0,3783000.0,0.0481,15.4,97,"Hi, I saw 616-626 SW 14th Ave came off the market — I cover Davie Blvd · Las Olas Blvd. Multifamily around here is trading near $97/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
925 W Broward Blvd,Mixed Use,Area 3560,Expired,7600000.0,2923000.0,0.0327,20.2,110,"Hi, I saw 925 W Broward Blvd came off the market — I cover Broward Blvd · Sunrise Blvd. Mixed-use around here is trading near $110/SF and leasing around $20/SF. I think it can be positioned to actually sell — got two minutes?"
2000 S Federal Highway,Retail,Area 3480,Cancelled,7000000.0,2143000.0,0.0398,28.0,127,"Hi, I saw 2000 S Federal Highway came off the market — I cover Federal Hwy · SE 17th St. Retail around here is trading near $127/SF and leasing around $28/SF. I think it can be positioned to actually sell — got two minutes?"
2000 S Federal Highway,Retail,Area 3600,Cancelled,7000000.0,2987000.0,0.0398,28.0,177,"Hi, I saw 2000 S Federal Highway came off the market — I cover SE 17th St · Federal Hwy. Retail around here is trading near $177/SF and leasing around $28/SF. I think it can be positioned to actually sell — got two minutes?"
0000 N Main Street,Commercial (other),Area 3260,Expired,6500000.0,3975000.0,0.0521,26.5,159,"Hi, I saw 0000 N Main Street came off the market — I cover Sunrise Blvd · Oakland Park Blvd. Commercial around here is trading near $159/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
2640+2648+2667 NE 32nd Street,Hotel,Area 3250,Expired,6000000.0,6690000.0,0.1324,,224,"Hi, I saw 2640+2648+2667 NE 32nd Street came off the market — I cover Oakland Park Blvd. Hotel around here is trading near $224/SF. I think it can be positioned to actually sell — got two minutes?"
1995 E Oakland Park Blvd,Office,Area 3360,Expired,5999999.0,2109000.0,0.0887,17.0,63,"Hi, I saw 1995 E Oakland Park Blvd came off the market — I cover Oakland Park Blvd. Office around here is trading near $63/SF and leasing around $17/SF. I think it can be positioned to actually sell — got two minutes?"
1916 SW 11th St,Multifamily,Area 3990,Expired,5999999.0,3933000.0,0.0432,15.4,149,"Hi, I saw 1916 SW 11th St came off the market — I cover the area. Multifamily around here is trading near $149/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
1916 SW 11th Street,Multifamily,Area 3990,Expired,5800888.0,3933000.0,0.0447,15.4,149,"Hi, I saw 1916 SW 11th Street came off the market — I cover the area. Multifamily around here is trading near $149/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
1354 Bayview Drive,Multifamily,Area 3260,Expired,5450000.0,3396000.0,0.0347,15.4,176,"Hi, I saw 1354 Bayview Drive came off the market — I cover Sunrise Blvd · Oakland Park Blvd. Multifamily around here is trading near $176/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
1545 Miami Road,Multifamily,Area 3600,Expired,5295000.0,4825000.0,0.0371,15.4,241,"Hi, I saw 1545 Miami Road came off the market — I cover SE 17th St · Federal Hwy. Multifamily around here is trading near $241/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
431 NW 1st Avenue,Commercial (other),Area 3810,Expired,5000000.0,4223000.0,0.0432,26.5,265,"Hi, I saw 431 NW 1st Avenue came off the market — I cover Broward Blvd. Commercial around here is trading near $265/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
511 SE 5th Ave Unit#101/102,Restaurant,Area 3800,Expired,5000000.0,1594000.0,0.0412,22.6,184,"Hi, I saw 511 SE 5th Ave Unit#101/102 came off the market — I cover Andrews Ave · SE 17th St. Restaurant/bar around here is trading near $184/SF and leasing around $23/SF. I think it can be positioned to actually sell — got two minutes?"
1843 S Federal Highway,Commercial (other),Area 3800,Expired,4600000.0,2568000.0,0.0375,26.5,202,"Hi, I saw 1843 S Federal Highway came off the market — I cover Andrews Ave · SE 17th St. Commercial around here is trading near $202/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
1215 NE 17th Court,Commercial (other),Area 3160,Expired,4500000.0,2689000.0,0.1372,26.5,59,"Hi, I saw 1215 NE 17th Court came off the market — I cover Ocean Blvd · SE 17th St. Commercial around here is trading near $59/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
2648 NE 32nd Street,Hotel,Area 3250,Expired,4500000.0,5541000.0,0.1182,,277,"Hi, I saw 2648 NE 32nd Street came off the market — I cover Oakland Park Blvd. Hotel around here is trading near $277/SF. I think it can be positioned to actually sell — got two minutes?"
2817 E Oakland Park Boulevard,Commercial (other),Area 3250,Expired,4500000.0,3106000.0,0.0448,26.5,209,"Hi, I saw 2817 E Oakland Park Boulevard came off the market — I cover Oakland Park Blvd. Commercial around here is trading near $209/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
702-704 NE 1st Avenue,Commercial (other),Area 3380,Cancelled,4250000.0,3414000.0,0.0356,26.5,306,"Hi, I saw 702-704 NE 1st Avenue came off the market — I cover Wilton Dr · Federal Hwy. Commercial around here is trading near $306/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
2648 NE 32nd Street,Hotel,Area 3250,Expired,4200000.0,5541000.0,0.1267,,277,"Hi, I saw 2648 NE 32nd Street came off the market — I cover Oakland Park Blvd. Hotel around here is trading near $277/SF. I think it can be positioned to actually sell — got two minutes?"
817 NE 4th Avenue,Mixed Use,Area 3270,Expired,4000000.0,2505000.0,0.0448,20.2,131,"Hi, I saw 817 NE 4th Avenue came off the market — I cover Sunrise Blvd. Mixed-use around here is trading near $131/SF and leasing around $20/SF. I think it can be positioned to actually sell — got two minutes?"
