mls,address,submarket,asset_type,price_band,sqft,year_built,price,ppsf,pred_ppsf,ppsf_gap_pct,waterfront
A11710589,708 Spangler Blvd Unit#BAY7,Area 3050,Industrial,< $1M,1500.0,2004.0,895000.0,597.0,584.0,2.2,False
A11743959,2300 NW 6th St,Area 3120,Multifamily,$1–2.5M,13402.0,1959.0,1800000.0,134.0,158.0,-14.8,False
F10545299,525 Antioch Avenue,Area 3160,Multifamily,$2.5–5M,12500.0,1959.0,2700000.0,216.0,84.0,156.1,False
F10425450,3015 N Ocean Boulevard Unit#C-105,Area 3160,Commercial (other),< $1M,1938.0,,325000.0,168.0,235.0,-28.7,False
A11775992,3015 N Ocean Blvd Unit#C120,Area 3160,Office,< $1M,5200.0,1974.0,200000.0,38.0,65.0,-40.4,False
F10483757,3015 N Ocean Boulevard Unit#C-101,Area 3160,Commercial (other),< $1M,1938.0,,185000.0,95.0,235.0,-59.4,False
A11618230,2615 SW 2nd Ave,Area 3213,Industrial,$1–2.5M,10289.0,1952.0,1350000.0,131.0,209.0,-37.1,False
A11702199,1800 NW 9th Ave,Area 3250,Mixed Use,$2.5–5M,36491.0,1960.0,3500000.0,96.0,69.0,39.8,False
F10525141,2780 E Oakland Park Boulevard,Area 3260,Commercial (other),$2.5–5M,17001.0,1964.0,3450000.0,203.0,144.0,41.3,False
F10479999,2901 Middle River Drive,Area 3260,Multifamily,$2.5–5M,22496.0,1957.0,2700000.0,120.0,120.0,0.3,False
F10432211,16-20 NE 8th Avenue,Area 3270,Multifamily,$2.5–5M,12960.0,1955.0,2550000.0,197.0,160.0,22.7,False
F10451956,921 NE 16th Terrace,Area 3270,Multifamily,$1–2.5M,6750.0,1946.0,1015000.0,150.0,227.0,-33.7,False
F10543625,1007 SE 2nd Court,Area 3280,Multifamily,$1–2.5M,5500.0,1956.0,1950000.0,355.0,253.0,40.1,False
A11691076,1521 SE 2nd Ct Unit#1-8,Area 3280,Multifamily,$1–2.5M,5500.0,1961.0,1780000.0,324.0,253.0,27.9,False
F10532075,560 NE 15th Avenue,Area 3280,Multifamily,$1–2.5M,6192.0,1953.0,1195000.0,193.0,237.0,-18.7,False
A11771376,1310 NE 30th St Unit#1-5,Area 3330,Multifamily,$1–2.5M,11349.0,1960.0,1080000.0,95.0,172.0,-44.7,True
F10506173,1620 NE 12th Terrace Unit#1620-1630,Area 3360,Industrial,$1–2.5M,11736.0,1959.0,1575244.0,134.0,195.0,-31.0,False
A11631671,1823 - 1825 SW 1st Ave,Area 3360,Industrial,$1–2.5M,10000.0,1952.0,1075000.0,108.0,212.0,-49.2,False
F10530249,2300 NE 6th Avenue,Area 3370,Multifamily,$2.5–5M,13683.0,1971.0,2600000.0,190.0,151.0,25.7,False
F10469019,1515 NE 26th Street,Area 3370,Commercial (other),$1–2.5M,9998.0,1959.0,1765000.0,177.0,184.0,-4.3,False
F10482119,901 NE 30th Court,Area 3370,Commercial (other),$1–2.5M,16500.0,1968.0,1725000.0,105.0,141.0,-26.1,False
A11821328,2435 N Dixie Hwy,Area 3370,Multifamily,$1–2.5M,11662.0,1950.0,1395000.0,120.0,164.0,-27.1,False
F10494364,2435 N Dixie Highway,Area 3370,Commercial (other),$1–2.5M,11662.0,1950.0,1365000.0,117.0,170.0,-31.0,False
A11717708,3031 NE 21st Ter Unit#1-7,Area 3370,Multifamily,$1–2.5M,6003.0,1974.0,1200000.0,200.0,234.0,-14.7,False
F10437672,2132-2200 E Oakland Park Boulevard,Area 3370,Commercial (other),$1–2.5M,3429.0,1961.0,1175000.0,343.0,326.0,5.1,False
A11645293,2420-2426 N Dixie Hwy,Area 3370,Retail,$1–2.5M,6110.0,1965.0,1150000.0,188.0,156.0,20.9,False
F10486633,2520 N Dixie Highway,Area 3370,Commercial (other),$1–2.5M,9828.0,2000.0,1115000.0,113.0,187.0,-39.3,False
F10469034,2032 NE 26th Street Unit#1-6,Area 3370,Multifamily,< $1M,7004.0,1956.0,885000.0,126.0,215.0,-41.4,False
F10485692,1200 NE 7th Avenue Unit#6,Area 3370,Commercial (other),< $1M,1258.0,2006.0,580000.0,461.0,558.0,-17.4,False
A11927736,1350 NE 5th Ter Unit#1-28,Area 3380,Multifamily,$5–10M,35087.0,1972.0,6300000.0,180.0,119.0,51.1,False
A11772256,2010 Wilton Dr,Area 3380,Restaurant,$1–2.5M,7960.0,1962.0,2150000.0,270.0,200.0,35.2,False
F10483444,1215-1221 NE 17th Avenue,Area 3380,Multifamily,$1–2.5M,13512.0,1952.0,2051000.0,152.0,197.0,-22.9,False
F10472248,1241 NE 16th Terrace,Area 3380,Multifamily,$1–2.5M,11480.0,1969.0,1750000.0,152.0,215.0,-29.2,False
F10517299,1129 NE 16th Avenue Unit#1-5,Area 3380,Multifamily,$1–2.5M,6752.0,1964.0,1150000.0,170.0,285.0,-40.3,False
F10435691,1200 NE 7th Avenue Unit#1,Area 3380,Commercial (other),< $1M,1276.0,2007.0,575000.0,451.0,719.0,-37.3,False
F10322285,1211 NE 4th Avenue,Area 3400,Commercial (other),$2.5–5M,25024.0,1962.0,4500000.0,180.0,117.0,53.8,False
A11887948,1100 NE 4th Ave Unit#1-2,Area 3400,Restaurant,$1–2.5M,6250.0,1954.0,1140000.0,182.0,181.0,0.9,False
F10484556,723 NW 6th Avenue,Area 3450,Industrial,$2.5–5M,20250.0,1953.0,2575000.0,127.0,145.0,-12.6,False
A11923553,401 E Oakland Park Blvd,Area 3450,Mixed Use,< $1M,5268.0,1968.0,500000.0,95.0,192.0,-50.6,False
F10512931,701 NW 7th Terrace,Area 3460,Industrial,$1–2.5M,10125.0,1971.0,2050000.0,202.0,138.0,47.1,False
F10489400,1448 NW 6th Street,Area 3460,Mixed Use,< $1M,12217.0,1963.0,875000.0,72.0,80.0,-10.7,False
A11909736,828 NW 1st St,Area 3470,Industrial,$1–2.5M,13951.0,1957.0,2464500.0,177.0,142.0,24.7,False
F10459521,111 W Davie Boulevard,Area 3470,Mixed Use,$1–2.5M,15800.0,,1726650.0,109.0,85.0,27.8,False
A11972748,1415 SW 1st Street Unit#1-8,Area 3470,Multifamily,$1–2.5M,13802.0,1975.0,1550000.0,112.0,124.0,-9.5,False
A11690352,1851 SW 2nd Ave Unit#8,Area 3470,Industrial,< $1M,1488.0,1999.0,595000.0,400.0,468.0,-14.5,False
A11344372,1320 SW 26th St,Area 3490,Multifamily,$2.5–5M,9445.0,1946.0,3000000.0,318.0,190.0,67.6,False
F10465569,1620 SW 3 Avenue,Area 3500,Industrial,$2.5–5M,31764.0,1957.0,4050000.0,128.0,103.0,23.6,False
F10455487,516 SW Flagler Avenue,Area 3500,Commercial (other),$1–2.5M,4250.0,2003.0,1262500.0,297.0,272.0,9.4,False
F10455464,515 SW 1st Avenue,Area 3500,Commercial (other),$1–2.5M,5250.0,1990.0,1262500.0,240.0,242.0,-0.8,False
F10460731,632 SW 4th Avenue,Area 3500,Commercial (other),< $1M,6250.0,1971.0,700000.0,112.0,220.0,-49.2,False
F10462139,708 SE 17th Street,Area 3600,Commercial (other),$1–2.5M,12300.0,1958.0,1750000.0,142.0,238.0,-40.2,False
F10466055,2301 S Andrews Avenue,Area 3600,Retail,$1–2.5M,3921.0,1959.0,1200000.0,306.0,284.0,7.9,False
A11954137,1085 SE 17th St,Area 3600,Retail,< $1M,1200.0,1962.0,675000.0,562.0,533.0,5.6,False
F10521525,1085 SE 17th Street,Area 3600,Retail,< $1M,1200.0,1961.0,483600.0,403.0,533.0,-24.4,False
A11859675,601 NW 22 RD,Area 3650,Restaurant,< $1M,15756.0,,901000.0,57.0,111.0,-48.3,False
F10514756,735 & 745 NE & 745 5th Avenue Unit#1-5,Area 3700,Multifamily,$2.5–5M,10125.0,1959.0,3767690.0,372.0,183.0,103.4,False
F10439465,201 SE 2nd Street,Area 3700,Commercial (other),$2.5–5M,6997.0,1964.0,3200000.0,457.0,230.0,98.6,False
A11864949,412 N Andrews Ave,Area 3700,Retail,$1–2.5M,5625.0,1959.0,1600000.0,284.0,168.0,69.4,False
F10490057,1514 NE 4th Avenue,Area 3700,Retail,< $1M,12496.0,1961.0,950000.0,76.0,110.0,-30.8,False
F10461212,1133 SE 4th Avenue,Area 3800,Commercial (other),$1–2.5M,7000.0,1960.0,1400000.0,200.0,204.0,-2.0,False
F10468256,412 SE 13th Street,Area 3800,Commercial (other),< $1M,1412.0,1939.0,985000.0,698.0,477.0,46.3,False
F10479444,130 SE 29th Street,Area 3800,Industrial,< $1M,1671.0,1998.0,905000.0,542.0,488.0,10.9,False
A11819826,1314 SE 1st Ave,Area 3800,Office,< $1M,6250.0,1925.0,700000.0,112.0,100.0,11.9,False
F10505483,100 SE 20th Street,Area 3800,Commercial (other),< $1M,6776.0,1959.0,660000.0,97.0,208.0,-53.1,False
A11770215,217 SE 10th St,Area 3800,Mixed Use,< $1M,4633.0,1949.0,600000.0,130.0,182.0,-28.8,False
A11782606,215 SW 17th St,Area 3800,Office,< $1M,7380.0,1960.0,505000.0,68.0,92.0,-25.6,False
F10402950,808 W Broward Boulevard,Area 3810,Commercial (other),$2.5–5M,31542.0,1963.0,3450000.0,109.0,136.0,-19.7,False
A11776976,721 NW 3rd Ave,Area 3810,Multifamily,$1–2.5M,13500.0,1973.0,1950000.0,144.0,207.0,-30.3,False
A12040868,2901 SW 3rd Ave Unit#4,Unknown,Industrial,$1–2.5M,5170.0,2000.0,1725000.0,334.0,302.0,10.4,False
