mls,address,submarket,asset_type,status,deal_kind,price,sqft,units,price_per_unit,ppsf,pred_ppsf,ppsf_gap_pct,age,year_built,waterfront,bays,zoning,noi,implied_cap,market_cap,assumed_value,income_gap_pct,price_band
F10483757,3015 N Ocean Boulevard Unit#C-101,Area 3160,Commercial (other),Sold,Sale,185000.0,1938.0,,,95.0,235.0,-59.4,,,False,,CB,26264.0,0.142,0.07,375197.0,-50.7,< $1M
F10532075,560 NE 15th Avenue,Area 3280,Multifamily,Sold,Sale,1195000.0,6192.0,,,193.0,237.0,-18.7,73.0,1953.0,False,,RC-15,60766.0,0.0509,0.055,1104833.0,8.2,$1–2.5M
A11771376,1310 NE 30th St Unit#1-5,Area 3330,Multifamily,Sold,Sale,1080000.0,11349.0,5.0,216000.0,95.0,172.0,-44.7,66.0,1960.0,True,,R-1,111375.0,0.1031,0.055,2024992.0,-46.7,$1–2.5M
F10486633,2520 N Dixie Highway,Area 3370,Commercial (other),Sold,Sale,1115000.0,9828.0,,,113.0,187.0,-39.3,26.0,2000.0,False,1.0,LI,133189.0,0.1195,0.07,1902701.0,-41.4,$1–2.5M
F10451956,921 NE 16th Terrace,Area 3270,Multifamily,Sold,Sale,1015000.0,6750.0,,,150.0,227.0,-33.7,80.0,1946.0,False,,RMM-25,66242.0,0.0653,0.055,1204396.0,-15.7,$1–2.5M
F10468256,412 SE 13th Street,Area 3800,Commercial (other),Sold,Sale,985000.0,1412.0,,,698.0,477.0,46.3,87.0,1939.0,False,,RO,19135.0,0.0194,0.07,273363.0,260.3,< $1M
F10489400,1448 NW 6th Street,Area 3460,Mixed Use,Sold,Sale,875000.0,12217.0,,,72.0,80.0,-10.7,63.0,1963.0,False,0.0,NWRAC-MUW,114351.0,0.1307,0.0675,1694091.0,-48.3,< $1M
A11859675,601 NW 22 RD,Area 3650,Restaurant,Sold,Sale,901000.0,15756.0,,,57.0,111.0,-48.3,,,False,,,374363.0,0.4155,0.065,5759424.0,-84.4,< $1M
F10469034,2032 NE 26th Street Unit#1-6,Area 3370,Multifamily,Sold,Sale,885000.0,7004.0,6.0,147500.0,126.0,215.0,-41.4,70.0,1956.0,False,,ROSC-2,68734.0,0.0777,0.055,1249717.0,-29.2,< $1M
F10479444,130 SE 29th Street,Area 3800,Industrial,Sold,Sale,905000.0,1671.0,,,542.0,488.0,10.9,28.0,1998.0,False,,B-3,16192.0,0.0179,0.0625,259072.0,249.3,< $1M
A11710589,708 Spangler Blvd Unit#BAY7,Area 3050,Industrial,Sold,Sale,895000.0,1500.0,,,597.0,584.0,2.2,22.0,2004.0,False,1.0,IM-3,14535.0,0.0162,0.0625,232560.0,284.8,< $1M
