mls,address,submarket,asset_type,status,sqft,lease_rate_psf,year_built,annual_rent_est
A11844944,2933 E Las Olas Blvd,Area 3280,Restaurant,Active,5750.0,90.0,1988.0,517500.0
A11971258,2300 NE 6th Ave,Area 3370,Mixed Use,Active,13683.0,70.0,1972.0,957800.0
F10522678,2217 Wilton Drive Unit#2217,Area 3370,Retail,Active,48969.0,60.0,,2938100.0
F10494001,1930 E Sunrise Boulevard Unit#4,Area 3260,Retail,Rented,17695.0,60.0,,1061700.0
F10493998,1930 E Sunrise Boulevard Unit#9,Area 3260,Commercial (other),Rented,2101.0,60.0,,126100.0
F10500883,801 N Federal Highway,Area 3700,Commercial (other),Expired,3435.0,60.0,,206100.0
F10511719,2262 Wilton Drive,Area 3450,Retail,Expired,77828.0,55.0,,4280500.0
F10322328,801 N Federal Highway,Area 3700,Commercial (other),Expired,3435.0,55.0,,188900.0
F10499862,501 NE 5th Terrace Unit#700,Area 3270,Retail,Expired,229140.0,55.0,,12602700.0
A12046047,721 NE 3rd Ave,Area 3700,Office,Active,9368.0,52.0,1987.0,487100.0
A12030462,721 NE 3rd Ave Unit#A,Area 3700,Office,Active,9368.0,52.0,1987.0,487100.0
F10436905,307 SW 5th Street,Area 3470,Retail,Rented,14368.0,50.0,,718400.0
F10503334,545 NE 13th Street,Area 3380,Retail,Rented,7246.0,50.0,,362300.0
F10511728,2211 Wilton Drive,Area 3450,Commercial (other),Expired,48969.0,50.0,,2448400.0
F10501588,2000 S Federal Highway Unit#D,Area 3480,Retail,Cancelled,16875.0,50.0,,843800.0
F10494020,719 NE 2nd Avenue,Area 3560,Retail,Cancelled,6375.0,50.0,,318800.0
F10446634,2136 E Oakland Park Boulevard Unit#2136,Area 3370,Retail,Cancelled,3429.0,48.0,,164600.0
F10409228,235 S Fort Lauderdale Beach Boulevard,Area 3280,Retail,Cancelled,10111.0,47.47,,480000.0
F10505986,3020 N Federal Highway Unit#6,Area 3260,Retail,Expired,1000.0,46.8,,46800.0
F10486226,821 N Federal Highway,Area 3700,Retail,Active,1720.0,45.0,,77400.0
F10493990,1948 E Sunrise Boulevard,Area 3260,Retail,Active,3578.0,45.0,,161000.0
F10486631,702-704 NE 1st Avenue,Area 3380,Commercial (other),Cancelled,11156.0,45.0,,502000.0
F10493994,919 NE 20th,Area 3260,Retail,Rented,10000.0,45.0,,450000.0
F10436037,603 NE 13th Street,Area 3370,Retail,Expired,14491.0,40.0,,579600.0
F10498148,535 NE 13th Street Unit#2,Area 3380,Commercial (other),Expired,14491.0,40.0,,579600.0
F10496808,1416 NE 4th Avenue,Area 3370,Retail,Cancelled,6248.0,40.0,,249900.0
F10512095,920 NE 13th Street,Area 3560,Retail,Expired,35008.0,40.0,,1400300.0
F10464702,200 NE 3rd Avenue,Area 3460,Commercial (other),Expired,18349.0,40.0,,734000.0
A11596374,15 NW 9th Ave,Area 3470,Industrial,Sold,7000.0,40.0,1954.0,280000.0
F10322336,416 SW 1st Avenue,Area 3800,Commercial (other),Rented,22799.0,40.0,,912000.0
F10498150,603 NE 13th Street Unit#C,Area 3360,Commercial (other),Rented,14491.0,40.0,,579600.0
A12018487,2300 NE 6th Ave,Area 3370,Mixed Use,Active,13683.0,40.0,1971.0,547300.0
F10435706,1200 NE 7th Avenue Unit#1,Area 3380,Commercial (other),Cancelled,1276.0,39.5,,50400.0
F10509142,1429 NE 4th Avenue,Area 3380,Retail,Cancelled,798.0,39.1,,31200.0
F10541322,905 Sunrise Lane,Area 3160,Commercial (other),Rented,1010.0,39.0,,39400.0
F10556046,3020 N Federal Highway Unit#6,Area 3260,Retail,Active,1000.0,38.4,,38400.0
F10556048,3038 N Federal Highway Unit#1st Floor,Area 3260,Retail,Active,1000.0,38.4,,38400.0
A11870797,905 Sunrise Ln,Area 3160,Retail,Expired,1010.0,38.02,1952.0,38400.0
F10511622,900 NE 26th Avenue,Area 3380,Commercial (other),Expired,11743.0,38.0,,446200.0
F10480162,2455 E Sunrise Boulevard Unit#Penthouse,Area 3260,Commercial (other),Expired,12398.0,38.0,,471100.0
F10440727,1200 NE 7th Avenue Unit#3,Area 3380,Mixed Use,Rented,1258.0,37.2,,46800.0
A11998799,2866 E Oakland Park Blvd,Area 3280,Office,Sold,15010.0,36.0,1966.0,540400.0
F10530751,2101 N Andrews Avenue,Area 3390,Commercial (other),Active,84738.0,36.0,,3050600.0
A11998806,2876 E Oakland Park Blvd,Area 3280,Office,Active,12250.0,36.0,1963.0,441000.0
F10495690,801 NE 2nd Avenue Unit#120,Area 3810,Retail,Rented,11458.0,36.0,,412500.0
A11998773,2856 E Oakland Park Blvd,Area 3280,Office,Active,7505.0,36.0,1966.0,270200.0
A11350353,1865 Cordova Rd Unit#B215,Area 3280,Office,Expired,245865.0,35.0,2005.0,8605300.0
A11350330,1865 Cordova Rd Unit#B217,Area 3280,Office,Expired,245865.0,35.0,2005.0,8605300.0
F10421703,700 N Andrews Avenue,Area 3700,Retail,Expired,13720.0,35.0,,480200.0
F10522748,642 NE 3rd Avenue,Area 3700,Commercial (other),Active,7813.0,35.0,,273500.0
F10518243,1412 NE 4th Avenue,Area 3370,Commercial (other),Rented,6248.0,35.0,,218700.0
F10523092,907-911 NE 20th,Area 3260,Commercial (other),Rented,10000.0,35.0,,350000.0
F10440891,906 NE 26th Avenue,Area 3260,Commercial (other),Expired,10250.0,35.0,,358800.0
A11647486,350 SW 25th St,Area 3490,Mixed Use,Cancelled,32680.0,35.0,1987.0,1143800.0
F10419781,1133 SE 4th Avenue,Area 3800,Commercial (other),Cancelled,7000.0,35.0,,245000.0
A11350356,1811 Cordova Rd Unit#1811,Area 3280,Office,Expired,245865.0,35.0,2005.0,8605300.0
F10440621,201 SE 2nd Street,Area 3800,Commercial (other),Cancelled,6997.0,35.0,,244900.0
F10494022,700 N Andrews Avenue,Area 3700,Retail,Cancelled,13720.0,35.0,,480200.0
A11567376,2852 E Oakland Park Blvd,Area 3250,Retail,Expired,7505.0,35.0,1963.0,262700.0
