submarket,corridors,lease_psf,n_lease,n_active,n_leased,sale_psf,gross_yield
Area 3700,Federal Hwy · Andrews Ave,35.0,13,6,0,382.0,0.0916
Area 3160,Ocean Blvd · Sunrise Blvd,32.0,6,0,2,190.0,0.1682
Area 3270,Broward Blvd,32.0,3,0,0,197.0,0.1626
Area 3260,Federal Hwy · Sunrise Blvd,30.0,23,8,5,238.0,0.1261
Area 3280,Cordova Rd · Oakland Park Blvd,29.5,18,4,4,324.0,0.0912
Area 3400,Sunrise Blvd,28.0,3,1,0,148.0,0.1896
Area 3370,Oakland Park Blvd · Dixie Hwy,25.5,30,7,8,142.0,0.179
Area 3150,Davie Blvd · Oakland Park Blvd,25.0,5,2,0,209.0,0.1195
Area 3360,Federal Hwy · Oakland Park Blvd,25.0,5,1,1,144.0,0.1739
Area 3480,Federal Hwy,24.7,3,1,0,272.0,0.0908
Area 3470,,23.1,8,0,2,168.0,0.1375
Area 3380,Wilton Dr · Federal Hwy,23.0,18,3,5,284.0,0.081
Area 3460,,20.0,15,0,3,138.0,0.1446
Area 3450,Oakland Park Blvd · Wilton Dr,20.0,11,0,4,110.0,0.1811
Area 3390,Andrews Ave · Oakland Park Blvd,20.0,3,1,0,114.0,0.1759
Area 3560,Broward Blvd,18.0,11,1,1,216.0,0.0835
Area 3250,Oakland Park Blvd,17.0,5,3,0,247.0,0.0689
Area 3170,SE 17th St,13.4,3,1,1,1052.0,0.0127
Area 3040,,11.6,3,0,0,594.0,0.0195
Area 3800,Andrews Ave · SE 17th St,11.4,22,6,1,134.0,0.0848
Area 3490,,10.7,5,1,0,248.0,0.0432
Area 3130,Las Olas Blvd · SR-84,10.0,3,1,0,1181.0,0.0085
Area 3500,SE 17th St · Andrews Ave,8.2,5,0,2,171.0,0.0479
Area 3600,Andrews Ave,8.2,3,0,0,280.0,0.0293
