mls,address,submarket,asset_type,status,price,sqft,ppsf,pred_ppsf,ppsf_gap_pct,assumed_value,income_gap_pct
A11572479,2881 E Oakland Park Blvd,Area 3250,Office,Cancelled,21000000.0,37685.0,557.0,59.0,842.9,7487538.0,180.5
A11842347,955 S Federal Hwy,Area 3040,Office,Cancelled,12500000.0,15535.0,805.0,95.0,749.3,3086610.0,305.0
A11698022,2200 N Ocean Blvd Unit#CU3,Area 3160,Retail,Cancelled,7995000.0,12433.0,643.0,77.0,730.9,3040062.0,163.0
A11857454,202 NW 14th Ave Unit#202,Area 3460,Multifamily,Expired,5200000.0,2691.0,1932.0,329.0,487.2,480153.0,983.0
F10513010,125 N Birch Road,Area 3170,Commercial (other),Expired,23000000.0,28321.0,812.0,148.0,448.6,5482946.0,319.5
F10432503,347 N Birch Road,Area 3160,Multifamily,Expired,6895000.0,10000.0,690.0,129.0,435.7,1784291.0,286.4
F10494003,850 NE 13th Street Unit#A-D,Area 3560,Mixed Use,Expired,11250000.0,17220.0,653.0,139.0,371.2,2387840.0,371.1
A11690066,3020 + 3024 Seville St,Area 3130,Hotel,Expired,12000000.0,6250.0,1920.0,515.0,272.8,1955882.0,513.5
F10492704,1827 Middle River Drive,Area 3350,Commercial (other),Expired,13900000.0,24715.0,562.0,159.0,252.8,4784824.0,190.5
F10493575,2000 S Federal Highway,Area 3480,Retail,Cancelled,7000000.0,16875.0,415.0,127.0,226.9,4126200.0,69.6
F10483250,1147 Seabreeze Boulevard,Area 3170,Hotel,Expired,14750000.0,12976.0,1137.0,349.0,225.8,4060725.0,263.2
A11665921,3086 Harbor Dr,Area 3170,Hotel,Cancelled,14999000.0,13483.0,1112.0,342.0,225.4,4219386.0,255.5
A10547525,511 SE 5th Ave Unit#101/102,Area 3800,Restaurant,Expired,5000000.0,8664.0,577.0,184.0,214.3,3167025.0,57.9
A11624877,925 W Broward Blvd,Area 3560,Mixed Use,Expired,8900000.0,26576.0,335.0,110.0,204.0,3685205.0,141.5
F10438219,2100 Miami Road,Area 3170,Multifamily,Cancelled,10795000.0,21315.0,506.0,168.0,201.8,3803216.0,183.8
F10492389,900 Sunrise Lane,Area 3280,Retail,Cancelled,2200000.0,1849.0,1190.0,411.0,189.2,452109.0,386.6
A11572456,1995 E Oakland Park Blvd,Area 3360,Office,Expired,5999999.0,33482.0,179.0,63.0,184.6,6652455.0,-9.8
