mls,address,submarket,asset_type,status,price,sqft,ppsf,pred_ppsf,ppsf_gap_pct,assumed_value,income_gap_pct
F10455534,901 Sunrise Lane,Area 3270,Commercial (other),UnderContract,2400000.0,1108.0,2166.0,831.0,160.7,214509.0,1018.8
F10506407,431 NW 1st Avenue,Area 3810,Commercial (other),Active,5000000.0,6375.0,784.0,432.0,81.6,1234200.0,305.1
F10506416,114 NW 5th Street,Area 3810,Commercial (other),Active,6000000.0,8126.0,738.0,379.0,94.6,1573194.0,281.4
A11922150,637 NE 4th Ave,Area 3810,Multifamily,Active,3749000.0,6750.0,555.0,408.0,36.2,1204396.0,211.3
A11923542,2500 Wilton Dr,Area 3370,Mixed Use,Active,2299000.0,5664.0,406.0,244.0,66.6,785408.0,192.7
A11911133,1083 SE 17th St,Area 3600,Restaurant,Active,995000.0,1200.0,829.0,822.0,0.8,438646.0,126.8
A11979422,1143 NE 7th Ave,Area 3380,Mixed Use,UnderContract,1900000.0,6385.0,298.0,295.0,0.9,885387.0,114.6
A12026991,200 S Andrews Ave Unit#503,Area 3800,Office,Active,990000.0,2400.0,412.0,227.0,81.7,476850.0,107.6
F10547944,815 NE 13th Street,Area 3380,Commercial (other),Active,4900000.0,13525.0,362.0,276.0,31.3,2618440.0,87.1
A11948614,1730 NE 7th St Unit#1-5,Area 3270,Multifamily,Active,2149000.0,6633.0,324.0,310.0,4.4,1183520.0,81.6
F10391933,3001 NE 6 Avenue,Area 3370,Mixed Use,Active,2800000.0,11761.0,238.0,164.0,44.9,1630859.0,71.7
A11851609,15 NW 9th Ave,Area 3470,Industrial,Active,1799000.0,7000.0,257.0,277.0,-7.2,1085280.0,65.8
A11865042,1200 S Federal Hwy,Area 3480,Retail,Active,710000.0,1833.0,387.0,413.0,-6.2,448197.0,58.4
F10500865,"804-810 NE 4th Avenue Unit#804, 805 & 810",Area 3380,Commercial (other),Active,4900000.0,16250.0,302.0,250.0,20.5,3146000.0,55.8
A12023882,1210 NE 8th Ave,Area 3380,Flex,Active,1999000.0,6378.0,313.0,412.0,-23.9,1341202.0,49.0
F10536144,749 NE 16th Avenue,Area 3800,Multifamily,Active,2500000.0,9566.0,261.0,226.0,15.4,1706853.0,46.5
F10532006,2745 E Oakland Park Boulevard,Area 3250,Commercial (other),Active,2100000.0,7503.0,280.0,300.0,-6.8,1452581.0,44.6
F10532172,3015 N Ocean Boulevard Unit#C1-C8,Area 3160,Mixed Use,Active,1040000.0,5200.0,200.0,135.0,47.9,721067.0,44.2
F10554980,2617 NE 13th Court,Area 3260,Multifamily,Active,2475000.0,10400.0,238.0,244.0,-2.5,1855663.0,33.4
A12045322,620 SW 7th St Unit#1-6,Area 3470,Multifamily,Active,1749000.0,8075.0,217.0,223.0,-2.9,1440815.0,21.4
F10513760,101-105 SE 26 Street,Area 3570,Multifamily,Active,4000000.0,18898.0,212.0,178.0,18.9,3371953.0,18.6
F10513768,101-105 SE 26th Street,Area 3570,Multifamily,Active,4000000.0,18898.0,212.0,178.0,18.9,3371953.0,18.6
A12031317,1327 SE 2nd Ave,Area 3800,Office,Active,2100000.0,9289.0,226.0,110.0,104.8,1845608.0,13.8
F10541001,1400 S Federal Highway,Area 3600,Commercial (other),UnderContract,10500000.0,47950.0,219.0,157.0,39.7,9283120.0,13.1
A11879773,929 NE 17th Way,Area 3370,Special Purpose,Active,3995000.0,20250.0,197.0,172.0,14.9,3534300.0,13.0
