mls,address,submarket,asset_type,status,price_band,price,sqft,ppsf,pred_ppsf,ppsf_gap_pct,noi,implied_cap,market_cap,assumed_value,income_gap_pct,flag
A11953210,2455 E Sunrise Blvd Unit#CU9J,Area 3260,Office,Active,< $1M,320000.0,13263.0,24.0,103.0,-76.7,210815.0,0.6588,0.08,2635192.0,-87.9,Underpriced
F10550621,1313 S Andrews Avenue,Area 3800,Commercial (other),Active,$1–2.5M,2350000.0,27878.0,84.0,132.0,-36.1,377803.0,0.1608,0.07,5397181.0,-56.5,Underpriced
F10447470,1225 SE 2nd Avenue,Area 3800,Office,UnderContract,$1–2.5M,1995000.0,21789.0,92.0,70.0,30.6,346336.0,0.1736,0.08,4329202.0,-53.9,Underpriced
F10435807,701 W Las Olas Boulevard,Area 3470,Commercial (other),Active,$1–2.5M,1900000.0,20614.0,92.0,140.0,-34.2,279361.0,0.147,0.07,3990870.0,-52.4,Underpriced
A11992794,1518-1522 NE 4th Ave,Area 3370,Retail,Active,< $1M,750000.0,6248.0,120.0,209.0,-42.5,103122.0,0.1375,0.0675,1527733.0,-50.9,Underpriced
A11941918,2001-2007 NW 21st Ave,Area 3560,Mixed Use,UnderContract,< $1M,799900.0,11136.0,72.0,175.0,-58.9,104233.0,0.1303,0.0675,1544192.0,-48.2,Underpriced
A11978741,355 NW 32nd St Unit#1-6,Area 3720,Multifamily,Active,$1–2.5M,1300000.0,13800.0,94.0,210.0,-55.2,135428.0,0.1042,0.055,2462321.0,-47.2,Underpriced
A12048692,423 SE 19th St,Area 3800,Office,Active,< $1M,799000.0,6840.0,117.0,130.0,-10.0,108722.0,0.1361,0.08,1359022.0,-41.2,Underpriced
A12029539,1026 NW 9th Ave,Area 3424,Retail,Active,$1–2.5M,1050000.0,6751.0,156.0,206.0,-24.7,111424.0,0.1061,0.0675,1650725.0,-36.4,Underpriced
A12026724,1026 NW 9th Ave,Area 3424,Retail,Active,$1–2.5M,1050000.0,6751.0,156.0,206.0,-24.7,111424.0,0.1061,0.0675,1650725.0,-36.4,Underpriced
F10550299,201 SE 19th Street,Area 3800,Commercial (other),Active,< $1M,875000.0,6840.0,128.0,280.0,-54.3,92696.0,0.1059,0.07,1324224.0,-33.9,Underpriced
A11993577,834 NW 10th Terr,Area 3460,Industrial,Active,$1–2.5M,1750000.0,16875.0,104.0,142.0,-27.0,163519.0,0.0934,0.0625,2616300.0,-33.1,Underpriced
F10540017,100 SE 21st Street Unit#1-8,Area 3800,Multifamily,Pending,$1–2.5M,1750000.0,14299.0,122.0,183.0,-33.1,140325.0,0.0802,0.055,2551358.0,-31.4,Underpriced
F10546000,1100 NW 4th Street,Area 3480,Commercial (other),UnderContract,$2.5–5M,2900000.0,21450.0,135.0,172.0,-21.4,290690.0,0.1002,0.07,4152720.0,-30.2,Underpriced
A12052897,2209 NE 26th St,Area 3370,Hotel,Active,$5–10M,7995000.0,36407.0,220.0,195.0,12.4,968426.0,0.1211,0.085,11393249.0,-29.8,Underpriced
F10382163,1021 NW 1st Street,Area 3470,Commercial (other),UnderContract,< $1M,975000.0,7000.0,139.0,249.0,-44.0,94864.0,0.0973,0.07,1355200.0,-28.1,Underpriced
A12004590,1126 SE 2nd Ave,Area 3800,Mixed Use,Active,$1–2.5M,1100000.0,10954.0,100.0,156.0,-35.6,102529.0,0.0932,0.0675,1518955.0,-27.6,Underpriced
F10546525,751 NW 5th Street,Area 3460,Multifamily,Active,$1–2.5M,1399990.0,10125.0,138.0,162.0,-14.6,99363.0,0.071,0.055,1806595.0,-22.5,Underpriced
A11841391,848 NW 2nd Ave,Area 3810,Multifamily,UnderContract,< $1M,975000.0,6750.0,144.0,406.0,-64.4,66242.0,0.0679,0.055,1204396.0,-19.0,Underpriced
A11967447,505 SE 16th St,Area 3600,Hotel,Active,$5–10M,6000000.0,21450.0,280.0,373.0,-25.0,570570.0,0.0951,0.085,6712588.0,-10.6,Underpriced
F10556402,325 SW 26th Street,Area 3600,Mixed Use,Active,$2.5–5M,4250000.0,33723.0,126.0,136.0,-7.1,315647.0,0.0743,0.0675,4676256.0,-9.1,Fair
A11966949,1111 SW 4th St,Area 3470,Multifamily,Active,$2.5–5M,2940000.0,17500.0,168.0,148.0,13.4,171738.0,0.0584,0.055,3122509.0,-5.8,Fair
F10502298,212 SE 8th Street,Area 3800,Commercial (other),Active,$2.5–5M,2695000.0,14000.0,192.0,192.0,0.5,189728.0,0.0704,0.07,2710400.0,-0.6,Fair
F10552058,1901 SE 4th Avenue,Area 3800,Mixed Use,Active,$1–2.5M,1150000.0,8315.0,138.0,181.0,-23.5,77828.0,0.0677,0.0675,1153013.0,-0.3,Fair
F10522666,700 NE 13th Street,Area 3380,Retail,Active,$1–2.5M,1999000.0,8108.0,247.0,235.0,4.9,133821.0,0.0669,0.0675,1982532.0,0.8,Fair
A11947999,1225 NE 15th Ave Unit#1-9,Area 3380,Multifamily,Active,$1–2.5M,2399000.0,13011.0,184.0,273.0,-32.4,127685.0,0.0532,0.055,2321541.0,3.3,Fair
F10551939,1110 NW 7th Avenue,Area 3390,Multifamily,Active,$1–2.5M,2499999.0,13510.0,185.0,212.0,-12.9,132582.0,0.053,0.055,2410577.0,3.7,Fair
F10541521,1536 NW 6th Street,Area 3460,Mixed Use,Active,< $1M,675000.0,4680.0,144.0,181.0,-20.3,43805.0,0.0649,0.0675,648960.0,4.0,Fair
A11831403,842 NW 1st Ave,Area 3810,Multifamily,UnderContract,$1–2.5M,1900000.0,10126.0,188.0,327.0,-42.6,99373.0,0.0523,0.055,1806773.0,5.2,Fair
A11960453,201 SW 21st St,Area 3500,Industrial,Active,$2.5–5M,3495000.0,20827.0,168.0,175.0,-4.1,201814.0,0.0577,0.0625,3229018.0,8.2,Fair
A12016794,2401 NW 9th Ave Unit#1-8,Area 3010,Multifamily,Active,$1–2.5M,1999000.0,10061.0,199.0,249.0,-20.1,98735.0,0.0494,0.055,1795175.0,11.4,Overpriced
A11879773,929 NE 17th Way,Area 3370,Special Purpose,Active,$2.5–5M,3995000.0,20250.0,197.0,172.0,14.9,265072.0,0.0664,0.075,3534300.0,13.0,Overpriced
