asset_type,n,n_sold,n_live,n_failed,median_price,median_ppsf,sold_ppsf,months_supply
Commercial (other),96.0,20.0,13.0,63.0,1757500.0,194.5,178.5,11.7
Multifamily,90.0,21.0,16.0,53.0,1897500.0,177.5,170.0,13.7
Industrial,34.0,11.0,3.0,20.0,1737500.0,149.5,177.0,4.9
Mixed Use,33.0,5.0,9.0,19.0,1200000.0,136.0,96.0,32.4
Office,29.0,3.0,5.0,21.0,1200000.0,197.0,68.0,30.0
Retail,25.0,6.0,5.0,14.0,1990000.0,247.0,295.0,15.0
Hotel,11.0,0.0,2.0,9.0,8000000.0,347.0,,
Restaurant,8.0,3.0,1.0,4.0,2074250.0,364.5,182.0,6.0
Flex,3.0,0.0,1.0,2.0,2198672.0,345.0,,
Special Purpose,2.0,0.0,1.0,1.0,3247500.0,319.0,,
