submarket,asset_type,price_band,n,median_ppsf,median_price,median_sqft,share_pct
Area 30,Office,$2.5–5M,1,373.0,2800000.0,7505.0,100.0
Area 3010,Industrial,< $1M,1,130.0,875000.0,6750.0,50.0
Area 3010,Multifamily,$1–2.5M,1,199.0,1999000.0,10061.0,50.0
Area 3040,Office,$10M+,1,805.0,12500000.0,15535.0,50.0
Area 3040,Restaurant,$1–2.5M,1,384.0,1998000.0,5200.0,50.0
Area 3050,Industrial,< $1M,1,597.0,895000.0,1500.0,100.0
Area 3070,Office,< $1M,1,424.0,170000.0,401.0,100.0
Area 3090,Industrial,$1–2.5M,1,40.0,1295000.0,32374.0,100.0
Area 3112,Industrial,< $1M,1,146.0,985000.0,6750.0,100.0
Area 3120,Multifamily,$1–2.5M,2,134.0,1800000.0,13402.0,100.0
Area 3130,Hotel,$5–10M,1,442.0,8000000.0,18110.0,50.0
Area 3130,Hotel,$10M+,1,1920.0,12000000.0,6250.0,50.0
Area 3150,Commercial (other),$1–2.5M,1,209.0,2499000.0,11950.0,100.0
Area 3160,Commercial (other),< $1M,5,168.0,325000.0,1938.0,41.7
Area 3160,Commercial (other),$2.5–5M,1,99.0,4500000.0,45568.0,8.3
Area 3160,Mixed Use,$1–2.5M,1,200.0,1040000.0,5200.0,8.3
Area 3160,Multifamily,$1–2.5M,1,414.0,1575000.0,3801.0,8.3
Area 3160,Multifamily,$2.5–5M,1,216.0,2700000.0,12500.0,8.3
Area 3160,Multifamily,$5–10M,1,690.0,6895000.0,10000.0,8.3
Area 3160,Office,< $1M,1,38.0,200000.0,5200.0,8.3
Area 3160,Retail,$5–10M,1,643.0,7995000.0,12433.0,8.3
Area 3170,Commercial (other),$2.5–5M,1,1352.0,2500000.0,1849.0,16.7
Area 3170,Commercial (other),$10M+,1,812.0,23000000.0,28321.0,16.7
Area 3170,Hotel,$10M+,3,1112.0,14750000.0,12976.0,50.0
Area 3170,Multifamily,$10M+,1,506.0,10795000.0,21315.0,16.7
Area 3213,Industrial,$1–2.5M,1,131.0,1350000.0,10289.0,100.0
Area 3250,Commercial (other),$1–2.5M,1,280.0,2100000.0,7503.0,10.0
Area 3250,Commercial (other),$2.5–5M,3,253.0,3800000.0,15000.0,30.0
Area 3250,Hotel,$2.5–5M,2,218.0,4350000.0,20004.0,20.0
Area 3250,Hotel,$5–10M,1,201.0,6000000.0,29865.0,10.0
Area 3250,Mixed Use,$2.5–5M,1,96.0,3500000.0,36491.0,10.0
Area 3250,Office,$2.5–5M,1,380.0,2850000.0,7505.0,10.0
Area 3250,Office,$10M+,1,557.0,21000000.0,37685.0,10.0
Area 3260,Commercial (other),< $1M,7,320.0,423000.0,1322.0,29.2
Area 3260,Commercial (other),$1–2.5M,4,184.0,1349000.0,9390.0,16.7
Area 3260,Commercial (other),$2.5–5M,2,244.0,3485000.0,14700.0,8.3
Area 3260,Commercial (other),$5–10M,1,260.0,6500000.0,25000.0,4.2
Area 3260,Multifamily,$1–2.5M,1,238.0,2475000.0,10400.0,4.2
Area 3260,Multifamily,$2.5–5M,5,245.0,3349000.0,13650.0,20.8
Area 3260,Multifamily,$5–10M,1,282.0,5450000.0,19298.0,4.2
Area 3260,Office,< $1M,2,25.0,335000.0,13263.0,8.3
Area 3260,Retail,$1–2.5M,1,133.0,1990000.0,15000.0,4.2
Area 3270,Commercial (other),< $1M,1,526.0,824000.0,1568.0,7.7
Area 3270,Commercial (other),$1–2.5M,2,1170.0,2348000.0,7108.0,15.4
Area 3270,Commercial (other),$2.5–5M,2,304.0,3309000.0,13375.0,15.4
Area 3270,Flex,$5–10M,1,875.0,5000000.0,5715.0,7.7
Area 3270,Mixed Use,$2.5–5M,1,209.0,4000000.0,19125.0,7.7
Area 3270,Multifamily,$1–2.5M,4,157.0,1500000.0,8156.0,30.8
Area 3270,Multifamily,$2.5–5M,2,186.0,2642000.0,14292.0,15.4
Area 3280,Commercial (other),< $1M,1,30.0,299000.0,10082.0,14.3
Area 3280,Commercial (other),$2.5–5M,1,167.0,2500000.0,15003.0,14.3
