"","MLS # Link","St","Area","Address","","Current Price","ZN","Year Built","Prop Type","Style of Property","Prop Type/Type of Building","Type of Property","Property SqFt","Waterfront Property (Y/N)","Sale Price","#Bays"
"1","B26013550","A","3160","841 N Fort Lauderdale Beach Boulevard","","$18,192,200","SLA","1974","COM/Sale","","","Retail","","","",""
"1","B26027512","A","3160","125 N Birch Road","","$18,000,000","IOA","1947","COM/Sale","","","Multifamily","","","",""
"1","B26019308","A","3500","901 S Andrews Avenue","","$12,000,000","RAC-RPO","1959","COM/Sale","","","Mixed Use","","","",""
"1","B26019377","A","3160","3134 NE 9th Street","","$9,721,350","SLA","1958","COM/Sale","","","Retail","","","",""
"1","A12052897","A","3370","2209 NE 26th St","","$7,995,000","¤RM-12","1957","COM/Sale","","Hotel/Motel","Hotel","36,407","","",""
"1","B26041866","A","3370","1471 NE 26th Street","","$7,500,000","TOC EAST","1962","COM/Sale","","Office/Warehouse Combination, Office Space, Retail Space, School","Retail","","","",""
"1","A11967447","A","3600","505 SE 16th St","","$6,000,000","¤RO","1960","COM/Sale","Hotel Non-Waterfront","Apartments, Commercial/Residential Income","Hotel","21,450","No","",""
"1","F10506416","A","3810","114 NW 5th Street","","$6,000,000","RAC-UV","1959","COM/Sale","","Warehouse Space","Commercial","8,126","","",""
"1","B26048153","A","3260","3000 N Federal Highway","","$5,000,000","B-1","1958","COM/Sale","","Mall Enclosed, Retail Space, School, Shopping Center, Strip Store","Commercial","","","",""
"1","F10506407","A","3810","431 NW 1st Avenue","","$5,000,000","RAC-UV","","COM/Sale","","Warehouse Space","Commercial","6,375","","",""
"1","F10547944","A","3380","815 NE 13th Street"," ","$4,900,000","CB","1961","COM/Sale","","Office/Warehouse Combination, Office Space, Retail Space, School","Commercial","13,525","","",""
"1","F10500865","A","3380","804-810 NE 4th Avenue Unit#804, 805 & 810","","$4,900,000","RAC-UV","1958","COM/Sale","","Warehouse Space","Commercial","16,250","","",""
"1","R11142630","A","3600","811 SE 16th Street"," ","$4,800,000","RMM-25","1969","COM/Sale","","Mall Enclosed, Shopping Center, Strip Store","Multifamily","","","",""
"1","B26019243","A","3160","853 N Fort Lauderdale Beach Boulevard","","$4,559,050","SLA","1964","COM/Sale","","","Retail","","","",""
"1","F10556402","A","3600","325 SW 26th Street"," ","$4,250,000","B-2","2001","COM/Sale","","Mini Warehouse, Office/Warehouse Combination, Office Space, Retail Space, School, Special Purpose, Store/Warehouse Combination, Warehouse Space, Wholesale","Mixed Use","33,723","","",""
"1","F10513768","A","3570","101-105 SE 26th Street","","$4,000,000","B-3","1972","COM/Sale","","","Multifamily","18,898","","",""
"1","F10513760","A","3570","101-105 SE 26 Street","","$4,000,000","","1975","COM/Sale","","","Multifamily","18,898","","",""
"1","A11879773","A","3370","929 NE 17th Way"," ","$3,995,000","¤RMM-25","","COM/Sale","","Industrial, Residential-Multi-Family","Special Purpose","20,250","No","",""
"1","B26019024","A","3500","625-631 S Andrews Avenue","","$3,800,000","RAC-CC","1961","COM/Sale","","","Retail","","","",""
"1","A11922150","A","3810","637 NE 4th Ave"," ","$3,749,000","¤RAC-UV","2023","COM/Sale","","Apartments, Commercial/Residential Income","Income/MultiFamily","6,750","No","",""
"1","A11960453","A","3500","201 SW 21st St","","$3,495,000","¤RM-15","1959","COM/Sale","","Mini Warehouse, Warehouse Space","Industrial","20,827","","","15"
"1","R11142640","A","3280","105 NE 16th Terrace"," ","$3,300,000","RC-15","1953","COM/Sale","","","Multifamily","","","",""
"1","A11966949","A","3470","1111 SW 4th St"," ","$2,940,000","¤RML-25","1976","COM/Sale","","Apartments","Income/MultiFamily","17,500","","",""
"1","F10391933","A","3370","3001 NE 6 Avenue"," ","$2,800,000","tocw","1957","COM/Sale","","Warehouse Space","Mixed Use","11,761","","",""
"1","A11965191","A","3800","200 E Andrews Ave Unit#300","","$2,750,000","¤RAC-CC","2006","COM/Sale","","Office Space, Other Type","Office","0","","",""
"1","F10502298","A","3800","212 SE 8th Street","","$2,695,000","RAC-CC","1986","COM/Sale","","","Commercial","14,000","","",""
"1","B26004494","A","3470","1122 W Broward Boulevard","","$2,650,000","B-1","1954","COM/Sale","","Retail Space, School","Retail","","","",""
"1","B26052973","A","3380","1301 NE 16TH Terrace Unit#1-9","","$2,600,000","RC-15","1949","COM/Sale","","","Multifamily","","","",""
"1","F10536144","A","3800","749 NE 16th Avenue","","$2,500,000","RMM-25","1963","COM/Sale","","","Multifamily","9,566","","",""
"1","F10551939","A","3390","1110 NW 7th Avenue"," ","$2,499,999","RD-15","1954","COM/Sale","","","Multifamily","13,510","","",""
"1","F10554980","A","3260","2617 NE 13th Court","","$2,475,000","RMM-25","1948","COM/Sale","","","Multifamily","10,400","","",""
"1","B26054776","A","3370","2206 NE 26TH","","$2,450,000","B-1","1957","COM/Sale","","Office/Warehouse Combination, Office Space, Retail Space, School","Retail","","","",""
"1","B26031058","A","3370","806 NE 16th Place Unit#1-8","","$2,450,000","RDS-15","1970","COM/Sale","","","Multifamily","","","",""
"1","A11947999","A","3380","1225 NE 15th Ave Unit#1-9"," ","$2,399,000","¤RM-15","1968","COM/Sale","","Commercial/Residential Income, Residential-Multi-Family","Income/MultiFamily","13,011","","",""
"1","F10550621","A","3800","1313 S Andrews Avenue","","$2,350,000","SRAC-SAe","1926","COM/Sale","","Office/Warehouse Combination, Office Space, Warehouse Space","Commercial","27,878","","",""
"1","A11923542","A","3370","2500 Wilton Dr"," ","$2,299,000","¤A & E DI","2012","COM/Sale","Special Purpose","Restaurant/Bar, Special Purpose","Mixed Use","5,664","No","",""
"1","B26028545","A","3370","1325/1329/1333 NE 5th Terrace Unit#1","","$2,295,000","RM-15","1948","COM/Sale","","","Multifamily","","","",""
"1","A11948614","A","3270","1730 NE 7th St Unit#1-5"," ","$2,149,000","¤RCS-15","1961","COM/Sale","","Apartments, Residential-Multi-Family","Income/MultiFamily","6,633","","",""
"1","F10532006","A","3250","2745 E Oakland Park Boulevard","","$2,100,000","CB","1960","COM/Sale","","Warehouse Space","Commercial","7,503","","",""
