"","MLS # Link","St","Area","Address","","Current Price","ZN","Year Built","Prop Type","Style of Property","Prop Type/Type of Building","Type of Property","Property SqFt","Waterfront Property (Y/N)","Sale Price","#Bays"
"1","A11572479","C","3250","2881 E Oakland Park Blvd","","$21,000,000","¤CB","1969","COM/Sale","","Free Standing, Professional","Office","37,685","","",""
"1","A11665921","C","3170","3086 Harbor Dr","","$14,999,000","¤RMH-25","1951","COM/Sale","Hotel Non-Waterfront","Hotel/Motel","Hotel","13,483","No","",""
"1","A11842347","C","3040","955 S Federal Hwy","","$12,500,000","¤RAC-RPO","1974","COM/Sale","","Professional","Office","15,535","","",""
"1","A11425211","C","3170","3005 Alhambra St","","$12,400,000","","1941","COM/Sale","Hotel Non-Waterfront","Hotel/Motel","Hotel","12,500","No","",""
"1","F10438219","C","3170","2100 Miami Road","","$10,795,000","RMM-25","2023","COM/Sale","","Hotel/Motel","Multifamily","21,315","","","0"
"1","A11698022","C","3160","2200 N Ocean Blvd Unit#CU3","","$7,995,000","¤PUD","2018","COM/Sale","Commercial Retail","Condominium","Retail","12,433","Yes","",""
"1","F10493575","C","3480","2000 S Federal Highway","","$7,000,000","B-1","1968","COM/Sale","","Mall Enclosed, Shopping Center, Strip Store, Warehouse Space","Retail","16,875","","",""
"1","F10497615","C","3600","2000 S Federal Highway","","$7,000,000","B-1","1968","COM/Sale","","Office/Warehouse Combination, Office Space, Retail Space, School, Warehouse Space","Retail","16,875","","",""
"1","A11594999","C","3580","2001 W State Road 84 Unit#412-3","","$5,500,000","¤PUD","2009","COM/Sale","","Condominium, Free Standing","Industrial","11,800","","",""
"1","F10551745","C","3360","3061 N Federal Highway","","$4,495,000","","1993","COM/Sale","","Retail Space, School, Warehouse Space","Commercial","","","",""
"1","F10486612","C","3380","702-704 NE 1st Avenue","","$4,250,000","RAC-UV","1964","COM/Sale","","Office/Warehouse Combination, Office Space, Retail Space, School, Warehouse Space","Commercial","11,156","","",""
"1","F10418800","C","3800","200 S Andrews Avenue Unit#3rd floor","","$3,800,000","","","COM/Sale","","Office/Warehouse Combination, Office Space, Warehouse Space","Commercial","","","",""
"1","A11646889","C","3600","2120 S Federal Hwy","","$3,495,000","¤B-1","2011","COM/Sale","Commercial Retail","Professional","Retail","12,150","","","4"
"1","F10467536","C","3270","15 SE 9th Avenue","","$3,250,000","RO","1960","COM/Sale","","","Commercial","7,500","","",""
"1","F10499110","C","3370","1408, 1404 NE ","","$3,200,000","RM-15","1961","COM/Sale","","Office/Warehouse Combination, Office Space, Retail Space, School, Warehouse Space","Retail","32,741","","",""
"1","F10499336","C","3800","200 S Andrews Avenue Unit#3rd floor","","$3,000,000","","","COM/Sale","","Office/Warehouse Combination, Office Space, Warehouse Space","Commercial","","","",""
"1","F10414807","C","3470","1115 Tequesta Street","","$2,999,990","RML-25","1928","COM/Sale","","","Multifamily","17,500","","",""
"1","A11823943","C","3470","828 NW 1st St","","$2,975,000","¤B-3","1957","COM/Sale","Mixed Use","Automotive, Free Standing","Industrial","13,951","No","","8"
"1","R11053108","C","3370","1800 NE 26th Street","","$2,825,000","B-2","1965","COM/Sale","","","Special Purpose","","Yes","",""
"1","A11579197","C","3280","92 Hendricks Isle","","$2,750,000","¤RMM-25","1952","COM/Sale","","Commercial/Residential Income, Residential-Multi-Family","Income/MultiFamily","6,250","Yes","",""
"1","F10396875","C","3380","3047 N Federal Highway","","$2,500,000","B-1","1959","COM/Sale","","Mall Enclosed, Medical Office, Shopping Center, Strip Store","Commercial","3,130","","",""
"1","A11480161","C","3700","835 NE 3rd Ave","","$2,499,999","¤NWRAC-MU","1975","COM/Sale","","Restaurant/Bar","Restaurant/Entertainment","6,375","","","0"
"1","F10463127","C","3150","415 SE 12th Street","","$2,499,000","MO","","COM/Sale","","","Commercial","11,950","","",""
"1","F10492389","C","3280","900 Sunrise Lane","","$2,200,000","SLA","1968","COM/Sale","","Office/Warehouse Combination, Office Space, Retail Space, School, Warehouse Space","Retail","1,849","","",""
"1","F10418787","C","3800","200 S Andrews Avenue Unit#201","","$2,000,000","RAC-CC,MEDICAL","1986","COM/Sale","","Medical Office, Office/Warehouse Combination, Office Space, Residential-Single Family, Warehouse Space","Commercial","","","",""
"1","F10507916","C","3370","820 NE 21st Drive","","$1,980,000","Rs-5","","COM/Sale","","Hotel/Motel","Multifamily","","","",""
"1","F10447022","C","3390","200-204 NW 17th Court Unit#1-8","","$1,950,000","RML-25","1966","COM/Sale","","","Multifamily","8,518","","",""
"1","F10544162","C","3400","700 NW 7th Avenue","","$1,950,000","I-1","","COM/Sale","","Heavy Manufacturing, Light Manufacturing, Warehouse Space","Industrial","16,875","","",""
"1","F10461720","C","3370","2500 Wilton Drive","","$1,890,000","B-2","2011","COM/Sale","","","Commercial","5,664","","","0"
"1","A11681312","C","3120","2300 NW 6th St","","$1,800,000","¤NWRAC-MU","1960","COM/Sale","","Apartments","Income/MultiFamily","13,402","No","",""
"1","A11652916","C","3800","511 SE 5th Ave Unit#11","","$1,740,000","¤RAC-CC","2005","COM/Sale","","Commercial/Residential Income, Office Space","Office","4,540","","",""
