"","MLS # Link","St","Area","Address","","Current Price","ZN","Year Built","Prop Type","Style of Property","Prop Type/Type of Building","Type of Property","Property SqFt","Waterfront Property (Y/N)","Sale Price","#Bays"
"1","F10474240","CS","3170","701 Bayshore Drive","","$11,000,000","IOA","1957","COM/Sale","","Hotel/Motel","Hotel","","","$11,000,000",""
"1","A11927736","CS","3380","1350 NE 5th Ter Unit#1-28","","$6,300,000","¤RM-15","1972","COM/Sale","","Apartments","Income/MultiFamily","35,087","","$6,300,000",""
"1","F10322285","CS","3400","1211 NE 4th Avenue","","$4,500,000","","1962","COM/Sale","","Warehouse Space","Commercial","25,024","","$4,500,000",""
"1","F10514756","CS","3700","735 & 745 NE & 745 5th Avenue Unit#1-5","","$3,767,690","RAC-UV","1959","COM/Sale","","Warehouse Space","Multifamily","10,125","","$3,767,690",""
"1","F10371713","CS","3500","220 SW 31st Street","","$30","INDUSTRI","1974","COM/Sale","","","Commercial","18,597","","$30","2"
"1","F10402950","CS","3810","808 W Broward Boulevard","","$3,450,000","B-1","1963","COM/Sale","","","Commercial","31,542","","$3,450,000",""
"1","F10465569","CS","3500","1620 SW 3 Avenue","","$4,050,000","B-3","1957","COM/Sale","","Heavy Manufacturing, Light Manufacturing","Industrial","31,764","","$4,050,000","12"
"1","A11344372","CS","3490","1320 SW 26th St","","$3,000,000","¤B-2","1946","COM/Sale","","Apartments","Income/MultiFamily","9,445","","$3,000,000",""
"1","B26018225","CS","3600","1545 Miami Road","","$3,900,000","RMM-25","1973","COM/Sale","","","Multifamily","","","$3,900,000",""
"1","F10525141","CS","3260","2780 E Oakland Park Boulevard","","$3,450,000","CB","1964","COM/Sale","","Office/Warehouse Combination, Office Space, Retail Space, School, Warehouse Space","Commercial","17,001","","$3,450,000","3"
"1","A11702199","CS","3250","1800 NW 9th Ave","","$3,500,000","¤RDS-15","1960","COM/Sale","","Church, School","Mixed Use","36,491","","$3,500,000",""
"1","F10439465","CS","3700","201 SE 2nd Street","","$3,200,000","RAC-CC","1964","COM/Sale","","Office/Warehouse Combination, Office Space","Commercial","6,997","","$3,200,000",""
"1","F10545299","CS","3160","525 Antioch Avenue","","$2,700,000","NBRA","1959","COM/Sale","","","Multifamily","12,500","","$2,700,000",""
"1","F10484556","CS","3450","723 NW 6th Avenue","","$2,575,000","I","1953","COM/Sale","","Heavy Manufacturing, Light Manufacturing","Industrial","20,250","","$2,575,000","7"
"1","F10479999","CS","3260","2901 Middle River Drive","","$2,700,000","RMM-25","1957","COM/Sale","","","Multifamily","22,496","","$2,700,000",""
"1","F10530249","CS","3370","2300 NE 6th Avenue","","$2,600,000","B-2 A&E Overlay","1971","COM/Sale","","","Multifamily","13,683","","$2,600,000",""
"1","F10432211","CS","3270","16-20 NE 8th Avenue","","$2,550,000","RMM-25","1955","COM/Sale","","Medical Office, Office/Warehouse Combination, Office Space","Multifamily","12,960","","$2,550,000",""
"1","F10458288","CS","3250","3045 N Federal Highway","","$2,300,000","B-1","1958","COM/Sale","","Mall Enclosed, Shopping Center, Strip Store","Commercial","","","$2,300,000",""
"1","A11909736","CS","3470","828 NW 1st St","","$2,464,500","¤B-3","1957","COM/Sale","Mixed Use","Automotive, Free Standing","Industrial","13,951","No","$2,464,500","8"
"1","A11772256","CS","3380","2010 Wilton Dr","","$2,150,000","¤A & E DI","1962","COM/Sale","Commercial Retail","Restaurant/Bar, Retail Space","Restaurant/Entertainment","7,960","No","$2,150,000",""
"1","F10523192","CS","3500","620 W Las Olas Boulevard","","$2,100,000","","","COM/Sale","","","Commercial","","","$2,100,000",""
"1","F10483444","CS","3380","1215-1221 NE 17th Avenue","","$2,051,000","RC-15","1952","COM/Sale","","Warehouse Space","Multifamily","13,512","","$2,051,000",""
"1","F10459521","CS","3470","111 W Davie Boulevard","","$1,726,650","","","COM/Sale","","","Mixed Use","15,800","","$1,726,650",""
"1","F10462139","CS","3600","708 SE 17th Street","","$1,750,000","B-1","1958","COM/Sale","","Office/Warehouse Combination, Office Space, Retail Space, School","Commercial","12,300","","$1,750,000","6"
"1","F10543625","CS","3280","1007 SE 2nd Court","","$1,950,000","RMM-25","1956","COM/Sale","","Hotel/Motel","Multifamily","5,500","","$1,950,000",""
"1","R11041532","CS","3280","1721 NE 8 Street","","$1,750,000","RMM-25","1966","COM/Sale","","","Multifamily","","","$1,750,000",""
"1","A11776976","CS","3810","721 NW 3rd Ave","","$1,950,000","¤RMM-25","1973","COM/Sale","","Apartments","Income/MultiFamily","13,500","","$1,950,000",""
"1","F10472248","CS","3380","1241 NE 16th Terrace","","$1,750,000","RC-15","1969","COM/Sale","","Warehouse Space","Multifamily","11,480","","$1,750,000",""
"1","F10512931","CS","3460","701 NW 7th Terrace","","$2,050,000","I","1971","COM/Sale","","Heavy Manufacturing, Light Manufacturing, Retail Space, School, Warehouse Space","Industrial","10,125","","$2,050,000",""
