neighborhood,band,sold_2y,active,months_supply,market
Almar Estates,<$1M,9,6,16.0,Buyer's market
Altessa Wilton Manors,<$1M,0,8,999.0,Deep buyer's market
Amadale,<$1M,9,0,0.0,Seller's market
Aquablu,$1M–$2M,3,1,8.0,Balanced
Aquablu,$2M–$3M,3,2,16.0,Buyer's market
Artist Colony,<$1M,0,3,999.0,Deep buyer's market
Atlantic Hotel,<$1M,3,12,96.0,Deep buyer's market
Atlantic Towers,<$1M,6,1,4.0,Seller's market
Atlantic Towers Co Op,<$1M,1,8,192.0,Deep buyer's market
Auberge Beach Residences,$2M–$3M,4,0,0.0,Seller's market
Auberge Beach Residences,$3M–$5M,5,1,4.8,Seller's market
Avenue Lofts,<$1M,7,3,10.3,Balanced
Babco Heights,<$1M,5,3,14.4,Buyer's market
Babco Manors,<$1M,3,1,8.0,Balanced
Babco Park,<$1M,8,4,12.0,Buyer's market
Bal Harbour,$1M–$2M,3,1,8.0,Balanced
Bamboo Flats,<$1M,4,0,0.0,Seller's market
Bayshore Embassy,<$1M,1,3,72.0,Deep buyer's market
Bayshore Towers,<$1M,10,4,9.6,Balanced
Beach Way Heights,$3M–$5M,1,3,72.0,Deep buyer's market
Beach Way Heights,$5M–$10M,4,3,18.0,Buyer's market
Belle Isles,<$1M,3,0,0.0,Seller's market
Berkley South,<$1M,21,8,9.1,Balanced
Beta Grove River Oaks,<$1M,3,0,0.0,Seller's market
Boulevard Estates Amen,<$1M,2,5,60.0,Deep buyer's market
Breakwater Towers,<$1M,11,3,6.5,Balanced
Breakwater Towers Co Op,<$1M,3,7,56.0,Deep buyer's market
Breakwater Towers Co Op Breakwater Towers,<$1M,4,5,30.0,Deep buyer's market
Britannia,<$1M,5,0,0.0,Seller's market
Burton Point,<$1M,5,3,14.4,Buyer's market
Camelot Shores,<$1M,9,0,0.0,Seller's market
Capistrano Townhomes,<$1M,4,0,0.0,Seller's market
Carlton Tower,<$1M,7,2,6.9,Balanced
Carver Park,<$1M,7,3,10.3,Balanced
Casa Murano,$3M–$5M,3,0,0.0,Seller's market
Cascade Holly Heights,<$1M,4,1,6.0,Balanced
Chateau Mar,<$1M,5,0,0.0,Seller's market
Chateau Park,<$1M,4,0,0.0,Seller's market
Citrus Isles,$1M–$2M,5,0,0.0,Seller's market
City View Townhomes,<$1M,6,1,4.0,Seller's market
Cliff Lake Villas,<$1M,3,3,24.0,Deep buyer's market
Cliff Lake Villas Co Op,<$1M,0,3,999.0,Deep buyer's market
Club,<$1M,4,0,0.0,Seller's market
Club Resort Residence,<$1M,22,3,3.3,Seller's market
Club Resort Residences,<$1M,0,14,999.0,Deep buyer's market
Colee Hammock,<$1M,5,1,4.8,Seller's market
Colee Hammock,$1M–$2M,13,4,7.4,Balanced
Colee Hammock,$2M–$3M,7,3,10.3,Balanced
Coral Cove,<$1M,5,1,4.8,Seller's market
Coral Cove Assoc Co Op,<$1M,3,0,0.0,Seller's market
Coral Estates,<$1M,11,0,0.0,Seller's market
Coral Gardens,<$1M,11,1,2.2,Seller's market
Coral Gardens,$1M–$2M,4,0,0.0,Seller's market
Coral Isles,$3M–$5M,7,0,0.0,Seller's market
Coral Isles,$5M–$10M,5,4,19.2,Buyer's market
Coral Isles,$10M+,1,3,72.0,Deep buyer's market
Coral Point,<$1M,8,1,3.0,Seller's market
Coral Point,$1M–$2M,6,3,12.0,Buyer's market
Coral Ridge,<$1M,5,1,4.8,Seller's market
Coral Ridge,$1M–$2M,31,2,1.5,Seller's market
Coral Ridge,$2M–$3M,8,3,9.0,Balanced
Coral Ridge,$3M–$5M,18,4,5.3,Seller's market
Coral Ridge,$5M–$10M,10,7,16.8,Buyer's market
Coral Ridge,$10M+,1,3,72.0,Deep buyer's market
Coral Ridge Galt,<$1M,5,2,9.6,Balanced
Coral Ridge Galt,$1M–$2M,51,7,3.3,Seller's market
Coral Ridge Galt,$2M–$3M,20,2,2.4,Seller's market
Coral Ridge Galt,$3M–$5M,10,7,16.8,Buyer's market
Coral Ridge Galt,$5M–$10M,2,5,60.0,Deep buyer's market
Coral Shores,<$1M,12,4,8.0,Balanced
Coral Shores,$1M–$2M,7,4,13.7,Buyer's market
Corinthian,<$1M,8,3,9.0,Balanced
Corinthian On Intraco Corinthian,<$1M,2,3,36.0,Deep buyer's market
Corinthian On Intracoa,<$1M,0,4,999.0,Deep buyer's market
Croissant Park,<$1M,28,6,5.1,Seller's market
Croissant Park,$1M–$2M,6,1,4.0,Seller's market
Cromwell East,<$1M,5,3,14.4,Buyer's market
Cromwell West,<$1M,4,4,24.0,Deep buyer's market
Cypress Arms,<$1M,3,0,0.0,Seller's market
Cypress Cove,<$1M,4,1,6.0,Balanced
Del Lago Isles,$10M+,0,3,999.0,Deep buyer's market
Devonshire,<$1M,6,2,8.0,Balanced
Dorsey Park First,<$1M,2,3,36.0,Deep buyer's market
Dorsey Park Second,<$1M,2,4,48.0,Deep buyer's market
Dorsey Park Th,<$1M,5,2,9.6,Balanced
Dorsey Park Third,<$1M,3,3,24.0,Deep buyer's market
Drake Tower,<$1M,13,5,9.2,Balanced
East Point Towers,<$1M,25,13,12.5,Buyer's market
Edge On,<$1M,4,0,0.0,Seller's market
Edge On Th,<$1M,3,2,16.0,Buyer's market
Edgewater Estates,$1M–$2M,12,1,2.0,Seller's market
Edgewater Townhomes,<$1M,5,1,4.8,Seller's market
Ellington,<$1M,4,0,0.0,Seller's market
Embassy Tower,<$1M,7,1,3.4,Seller's market
