target,target_neighborhood,target_list,basis,comp_address,comp_sold_price,comp_ppsf,comp_sqft
513 Middle River Drive,Sunrise,55000000,same street,797 Middle River Drive,7600000,1087.0,6994
513 Middle River Drive,Sunrise,55000000,same street,639 Middle River Dr,7200000,1202.0,5990
513 Middle River Drive,Sunrise,55000000,same street,1400 Middle River Drive,4510000,999.0,4515
513 Middle River Drive,Sunrise,55000000,same street,1710 Middle River Dr,3150000,846.0,3722
513 Middle River Drive,Sunrise,55000000,same street,644 Middle River Dr,3300000,936.0,3526
625 San Marco Drive,Coral Isles,44995000,same street,441 San Marco Dr,8100000,1423.0,5692
625 San Marco Drive,Coral Isles,44995000,same street,310 San Marco Dr,3950000,1086.0,3637
625 San Marco Drive,Coral Isles,44995000,same street,330 San Marco Dr,2950000,1562.0,1888
733 Middle River Drive,Sunrise Intracoastal,41900000,same street,797 Middle River Drive,7600000,1087.0,6994
733 Middle River Drive,Sunrise Intracoastal,41900000,same street,639 Middle River Dr,7200000,1202.0,5990
733 Middle River Drive,Sunrise Intracoastal,41900000,same street,1400 Middle River Drive,4510000,999.0,4515
733 Middle River Drive,Sunrise Intracoastal,41900000,same street,1710 Middle River Dr,3150000,846.0,3722
733 Middle River Drive,Sunrise Intracoastal,41900000,same street,644 Middle River Dr,3300000,936.0,3526
516 Mola Avenue,Venice,39999999,same street,423 Mola Ave,2650000,408.0,6500
516 Mola Avenue,Venice,39999999,same street,400 Mola Ave,8633000,1430.0,6036
1 Isla Bahia Drive,Harbor Beach,35900000,same street,84 Isla Bahia Dr,34000000,2903.0,11714
1 Isla Bahia Drive,Harbor Beach,35900000,same street,38 Isla Bahia Dr,12250000,1507.0,8130
1 Isla Bahia Drive,Harbor Beach,35900000,same street,3 Isla Bahia Drive,9286200,1389.0,6686
1 Isla Bahia Drive,Harbor Beach,35900000,same street,4 Isla Bahia Drive,7800000,1475.0,5287
525 Isle Of Capri Drive,Las Olas,35000000,same street,505 Isle Of Capri Dr,3180000,1285.0,2474
525 Isle Of Capri Drive,Las Olas,35000000,same street,314 Isle Of Capri Dr,2900000,1426.0,2033
725 Middle River Dr,Sunrise,33000000,same street,797 Middle River Drive,7600000,1087.0,6994
725 Middle River Dr,Sunrise,33000000,same street,639 Middle River Dr,7200000,1202.0,5990
725 Middle River Dr,Sunrise,33000000,same street,1400 Middle River Drive,4510000,999.0,4515
725 Middle River Dr,Sunrise,33000000,same street,1710 Middle River Dr,3150000,846.0,3722
725 Middle River Dr,Sunrise,33000000,same street,644 Middle River Dr,3300000,936.0,3526
2716 Aqua Vista Boulevard,Sea Isles,28000000,same street,2328 Aqua Vista Blvd,9200000,855.0,10760
2716 Aqua Vista Boulevard,Sea Isles,28000000,same street,2509 Aqua Vista Blvd,13776000,1123.0,12262
2716 Aqua Vista Boulevard,Sea Isles,28000000,same street,2300 Aqua Vista Blvd,19500000,2398.0,8132
2716 Aqua Vista Boulevard,Sea Isles,28000000,same street,2519 Aqua Vista Blvd,19000000,2357.0,8060
2716 Aqua Vista Boulevard,Sea Isles,28000000,same street,2430 Aqua Vista Blvd,5100000,834.0,6114
2500 Mercedes Dr,Harbor Beach,27500000,same street,2521 Mercedes Dr,7550000,1009.0,7484
