neighborhood,sample_txns,avg_homes_sold_90d,raw_ppsf_recent,raw_dom_recent,raw_s2l_recent,price_drop_rate,sold_above_rate,months_supply,list_ppsf_recent,first_year,last_period,norm_ppsf,ppsf_cagr,norm_dom,norm_s2l,discount_pct,raw_discount_pct,vs_city_pct,confidence,value_rank,appreciation_rank,buyer_leverage,leverage_rank
North Beach Neighborhood District,26,2.0,,,,,0.03896103895974026,,,2012,2023-11,1451.3,0.0793459585842875,143.0,0.9274977420541353,7.25,,233.8,Low,1,51,0.479,11
Central Beach,28,1.9,,,,,0.03614457831204819,,,2012,2023-11,1174.8,0.015787415397364946,141.0,0.925314355099028,7.47,,170.2,Low,2,68,0.493,10
Seven Isles,94,2.2,1290.6,238.3,0.912411463645,,0.03146853147027972,,1453.3,2012,2026-03,1154.8,0.07584202558502584,178.0,0.8883010060262072,11.17,8.76,165.6,Medium,3,57,1.352,1
Nurmi Isles,30,1.3,979.3,330.0,0.8757102433666667,,0.03225806451612903,,1376.3,2013,2026-03,1108.1,0.056421811578053926,158.0,0.8888164079214317,11.12,12.43,154.9,Low,4,65,1.169,2
Harbor Beach,63,1.6,856.7,142.3,0.93452982423,,0.09278350515360825,,1587.8,2012,2026-03,978.6,0.06297617318384763,161.0,0.8948008392625341,10.52,6.55,125.1,Medium,5,62,1.109,3
Lauderdale Harbours,37,1.5,1095.9,58.4,0.9481068162285714,,0.05309734513185841,,1922.1,2012,2026-03,969.8,0.08348359520770243,121.0,0.9108098846717745,8.92,5.19,123.1,Low,6,48,0.526,8
Las Olas Isles,81,1.9,1078.3,268.2,0.9111541176083333,,0.035156249999609375,,1514.5,2012,2026-03,943.6,0.08550403585049726,168.0,0.9051755490969356,9.48,8.88,117.0,Medium,7,47,1.02,4
Lauderdale Beach,35,1.5,1161.9,217.9,0.8813077562357142,,0.08333333333333333,,1331.0,2014,2026-03,842.5,0.13787764731096508,157.0,0.9253171738994482,7.47,11.87,93.8,Low,8,7,0.634,6
Riviera Isles,30,1.3,1448.1,110.9,0.9427644247636363,,0.16129032257741935,,1466.5,2012,2026-03,806.5,0.1066050504049274,115.0,0.9263167961001514,7.37,5.72,85.5,Low,9,26,0.249,21
Harbour Inlet,48,1.5,802.2,165.8,0.9369625862727274,,0.02027027027027027,,930.6,2012,2026-03,801.2,0.08242635985992552,161.0,0.9227443207583131,7.73,6.3,84.3,Medium,10,49,0.706,5
