neighborhood,band,n_sold,n_live,sold_ppsf,ask_ppsf,gap_pct,verdict,median_sold_price
Aquablu,$1M–$2M,3,1,772.0,,,,1700000.0
Aquablu,$2M–$3M,3,2,745.0,820.0,10.0,Overpriced,2375000.0
Auberge Beach Residences,$2M–$3M,4,0,1238.0,,,,2300000.0
Auberge Beach Residences,$3M–$5M,5,1,1363.0,,,,4250000.0
Bal Harbour,$1M–$2M,3,1,644.0,,,,1295000.0
Bal Harbour,$2M–$3M,2,2,878.0,875.0,-0.3,Fairly priced,2000000.0
Beach Way Heights,$2M–$3M,2,1,1070.0,,,,2850000.0
Beach Way Heights,$3M–$5M,1,3,,1083.0,,,3600000.0
Beach Way Heights,$5M–$10M,4,3,985.0,983.0,-0.2,Fairly priced,6166500.0
Breakwater,$1M–$2M,2,1,850.0,,,,1150000.0
Breakwater,$2M–$3M,2,0,1722.0,,,,2900000.0
Colee Hammock,$1M–$2M,13,4,682.0,630.0,-7.6,Fairly priced,1300000.0
Colee Hammock,$2M–$3M,7,3,746.0,807.0,8.2,Fairly priced,2250000.0
Colee Hammock,$3M–$5M,2,2,917.0,1006.0,9.8,Fairly priced,3400000.0
Coral Isles,$2M–$3M,2,0,1964.0,,,,2962500.0
Coral Isles,$3M–$5M,7,0,1097.0,,,,4150000.0
Coral Isles,$5M–$10M,5,4,1423.0,1356.0,-4.7,Fairly priced,7250000.0
Coral Isles,$10M+,1,3,,2126.0,,,13700000.0
Coral Ridge,$1M–$2M,31,2,618.0,768.0,24.4,Overpriced,1450000.0
Coral Ridge,$2M–$3M,8,3,831.0,1048.0,26.1,Overpriced,2387500.0
Coral Ridge,$3M–$5M,18,4,1002.0,1129.0,12.7,Overpriced,3850000.0
Coral Ridge,$5M–$10M,10,7,1130.0,1135.0,0.5,Fairly priced,5525000.0
Coral Ridge,$10M+,1,3,,2035.0,,,10000000.0
Coral Ridge Galt,$1M–$2M,51,7,620.0,778.0,25.5,Overpriced,1300000.0
Coral Ridge Galt,$2M–$3M,20,2,880.0,1033.0,17.5,Overpriced,2525000.0
Coral Ridge Galt,$3M–$5M,10,7,936.0,994.0,6.3,Fairly priced,3425000.0
Coral Ridge Galt,$5M–$10M,2,5,1208.0,1475.0,22.2,Overpriced,7870000.0
Coral Ridge Galt,$10M+,1,2,,1737.0,,,13900000.0
Four Seasons,$2M–$3M,1,2,,1924.0,,,2550000.0
Four Seasons,$3M–$5M,6,9,1774.0,2009.0,13.2,Overpriced,3925000.0
Four Seasons,$5M–$10M,5,2,2130.0,2506.0,17.7,Overpriced,8126000.0
Gould Isles,$5M–$10M,3,2,1268.0,1252.0,-1.3,Fairly priced,5975000.0
Gould Isles,$10M+,1,2,,1506.0,,,27800000.0
Halls,$1M–$2M,7,0,745.0,,,,1290000.0
Halls,$2M–$3M,2,1,954.0,,,,2805000.0
Harbor Beach,$1M–$2M,9,3,688.0,920.0,33.7,Overpriced,1650000.0
Harbor Beach,$2M–$3M,4,1,955.0,,,,2145000.0
Harbor Beach,$3M–$5M,11,2,987.0,1662.0,68.4,Overpriced,3550000.0
Harbor Beach,$5M–$10M,4,2,1338.0,1426.0,6.6,Fairly priced,7342500.0
Harbor Beach,$10M+,2,4,1799.0,2402.0,33.5,Overpriced,14300000.0
Harbour Heights,$1M–$2M,9,3,699.0,807.0,15.5,Overpriced,1500000.0
Harbour Heights,$2M–$3M,2,2,658.0,1115.0,69.3,Overpriced,2683500.0
Harbour Heights,$3M–$5M,2,1,1100.0,,,,3982625.0
Harbour Heights,$5M–$10M,0,3,,1249.0,,,
Holmberg Mc Kees,$1M–$2M,7,1,703.0,,,,1300000.0
