status,mls,area,address,neighborhood,list_price,sale_price,units,style,sqft,year_built,parking,pool,waterfront,value,ppu,ppsf,ppsf_v,tier,age
Active,A11822054,3600,824 SE 12th Ct,Everglade Land Sales Co,15000000.0,,4.0,I04,,2025.0,28.0,False,False,15000000.0,3750000.0,,,Quadplex (4),1.0
Active,A12014895,3460,225 NW 14th Ave,Seminole Forest,4880000.0,,4.0,I04,1250.0,2007.0,2.0,False,False,4880000.0,1220000.0,3904.0,,Quadplex (4),19.0
Active,A11778453,3270,425 NE 8th St,Progresso,4000000.0,,4.0,I04,2903.0,1964.0,4.0,False,False,4000000.0,1000000.0,1377.8849466069582,1377.8849466069582,Quadplex (4),62.0
Active,A12008442,3380,1122 NE 10,Progresso,2995000.0,,2.0,I02,2814.0,2025.0,4.0,True,False,2995000.0,1497500.0,1064.321250888415,1064.321250888415,Duplex (2),1.0
Active,F10555291,3450,560-564 NE 34th Street,Oakland Park Second,2600000.0,,4.0,,6930.0,1970.0,,True,False,2600000.0,650000.0,375.18037518037517,375.18037518037517,Quadplex (4),56.0
Active,A12007353,3280,1305 SE 1st St,Colee Hammock,2499000.0,,4.0,I04,4219.0,1980.0,5.0,False,False,2499000.0,624750.0,592.3204550841432,592.3204550841432,Quadplex (4),46.0
Active,A11969365,3370,2201 NE 14th Ave,Edgewater Estates St,2497000.0,,9.0,I04,7551.0,1959.0,14.0,False,False,2497000.0,277444.44444444444,330.6846775261555,330.6846775261555,5+ units,67.0
Active,A12045150,3270,1215 E Broward Blvd,Dames Young,2490000.0,,4.0,I04,3880.0,1951.0,0.0,False,False,2490000.0,622500.0,641.7525773195877,641.7525773195877,Quadplex (4),75.0
Active,B26042759,3270,615 & 617 NE 9th Avenue,Progresso,2235000.0,,4.0,,4655.0,1957.0,,True,False,2235000.0,558750.0,480.1288936627283,480.1288936627283,Quadplex (4),69.0
Active,A12044962,3270,1730 NE 7th St unit 1-5,Victoria Park,2149000.0,,5.0,I04,3157.0,1960.0,6.0,False,False,2149000.0,429800.0,680.709534368071,680.709534368071,5+ units,66.0
Active,R11113803,3270,625 NE 13th Avenue,Progresso,2089000.0,,4.0,,3789.0,1954.0,,True,False,2089000.0,522250.0,551.3328054895751,551.3328054895751,Quadplex (4),72.0
Active,B26011035,3390,1026-1044 NW 7th Avenue,Progresso,2050000.0,,4.0,,6024.0,1949.0,,False,False,2050000.0,512500.0,340.3054448871182,340.3054448871182,Quadplex (4),77.0
Active,A11959199,3480,847 SW 29th St,Woodlawn,1850000.0,,2.0,I02,2447.0,2025.0,2.0,False,False,1850000.0,925000.0,756.0277891295464,756.0277891295464,Duplex (2),1.0
Active,A11902800,3810,926 - 932 NW 2nd St,Seminole Olivers,1790000.0,,4.0,I04,1811.0,2023.0,12.0,False,False,1790000.0,447500.0,988.404196576477,988.404196576477,Quadplex (4),3.0
Active,A12045284,3470,620 sw 7th St unit 1-6,Pinewood Place,1749000.0,,4.0,I04,2809.0,1960.0,6.0,False,False,1749000.0,437250.0,622.6415094339623,622.6415094339623,Quadplex (4),66.0
Active,F10472240,3130,4548 N Ocean,Lauderdale By Sea,1725000.0,,4.0,,1150.0,1973.0,,False,False,1725000.0,431250.0,1500.0,1500.0,Quadplex (4),53.0
Active,F10540264,3160,2613-2615 NE 33rd Avenue,Lauderdale Beach Ext,1700000.0,,2.0,,2189.0,1953.0,,True,False,1700000.0,850000.0,776.6103243490178,776.6103243490178,Duplex (2),73.0
Active,F10554588,3380,1501 NE 7th Avenue,Terrace Condos Inc,1620000.0,,4.0,,794.0,1973.0,,True,False,1620000.0,405000.0,2040.3022670025189,,Quadplex (4),53.0
Active,A12019409,3390,811-817 NW 3rd Ave,Progresso,1599000.0,,4.0,I04,1032.0,2022.0,9.0,False,False,1599000.0,399750.0,1549.4186046511627,1549.4186046511627,Quadplex (4),4.0
Active,B26048230,3370,50 NE 30th Court Unit#1-2,Almar Estates,1525000.0,,4.0,,2215.0,1969.0,,True,True,1525000.0,381250.0,688.4875846501129,688.4875846501129,Quadplex (4),57.0
Active,A11972678,3250,1236 NE 18th Ave,Lake Ridge,1499000.0,,3.0,I03,3569.0,1955.0,2.0,True,True,1499000.0,499666.6666666667,420.0056038105912,420.0056038105912,Triplex (3),71.0
Active,A12052846,3450,1099 NE 35th St,Oakland Park Second,1499000.0,,4.0,I04,3858.0,1985.0,8.0,False,False,1499000.0,374750.0,388.54328667703476,388.54328667703476,Quadplex (4),41.0
Active,A12039042,3460,440 NE 1st Ave,North Lauderdale,1450000.0,,2.0,I02,1337.0,1958.0,2.0,False,False,1450000.0,725000.0,1084.5175766641735,1084.5175766641735,Duplex (2),68.0
Active,A11946433,3470,640 SW 16th Ave,Riverside,1450000.0,,4.0,I04,4855.0,1976.0,5.0,False,False,1450000.0,362500.0,298.66117404737383,298.66117404737383,Quadplex (4),50.0
Active,F10554505,3130,258 Basin Drive,Silver Shores,1395000.0,,2.0,,1620.0,1955.0,,False,False,1395000.0,697500.0,861.1111111111111,861.1111111111111,Duplex (2),71.0
Active,F10519002,3470,11 SW 11th Avenue,Waverly Place,1395000.0,,2.0,,2480.0,1922.0,,False,False,1395000.0,697500.0,562.5,562.5,Duplex (2),104.0
Active,A12048001,3270,1634 NE 4th Pl,Middle River Park,1375000.0,,4.0,I04,2779.0,1966.0,5.0,False,False,1375000.0,343750.0,494.78229578985247,494.78229578985247,Quadplex (4),60.0
Active,A12010891,3470,608 SW 16th Ave,Riverside,1375000.0,,4.0,I04,4855.0,1970.0,5.0,False,False,1375000.0,343750.0,283.21318228630275,283.21318228630275,Quadplex (4),56.0
Active,A12022835,3080,1109 NE 16th Ter,Progresso,1355000.0,,4.0,I04,2276.0,1952.0,5.0,True,False,1355000.0,338750.0,595.3427065026362,595.3427065026362,Quadplex (4),74.0
Active,A12040148,3130,4325 Bougainvilla Dr,Lauderdale By Sea,1350000.0,,2.0,I02,1910.0,1953.0,5.0,False,False,1350000.0,675000.0,706.8062827225131,706.8062827225131,Duplex (2),73.0
Active,A11978701,3130,4512 Seagrape Dr,Silver Shores Laud,1350000.0,,2.0,I02,2377.0,1960.0,8.0,False,False,1350000.0,675000.0,567.9427850231384,567.9427850231384,Duplex (2),66.0
Active,A11974108,3470,620 SW 10th St,Croissant Park,1350000.0,,2.0,I02,1376.0,1964.0,7.0,False,False,1350000.0,675000.0,981.1046511627907,981.1046511627907,Duplex (2),62.0
Active,B26021184,3500,634 SW 4th Avenue Unit#1-2,Ft Lauderdale,1350000.0,,2.0,,1658.0,1970.0,,False,False,1350000.0,675000.0,814.2340168878167,814.2340168878167,Duplex (2),56.0
Active,B26010851,3260,2633 Middle River Drive Unit#1-6,Coral Ridge Galt,1349000.0,,2.0,,4854.0,1957.0,,False,False,1349000.0,674500.0,277.91512154923777,277.91512154923777,Duplex (2),69.0
Active,F10542774,3130,4436 Seagrape Drive,Silver Shores Laud,1335000.0,,2.0,,2090.0,1957.0,,False,False,1335000.0,667500.0,638.755980861244,638.755980861244,Duplex (2),69.0
Active,B26012263,3140,4532 Poinciana Street,Silver Shores,1325000.0,,4.0,,2145.0,1964.0,,True,False,1325000.0,331250.0,617.7156177156177,617.7156177156177,Quadplex (4),62.0
Active,A12016812,3600,830 SE 14th St,Everglade Land Sales Co,1320000.0,,4.0,I04,1902.0,2021.0,6.0,False,False,1320000.0,330000.0,694.006309148265,694.006309148265,Quadplex (4),5.0
Active,B26007551,3370,2025 NE 26th Street Unit#1-3,Coral Gardens,1300000.0,,2.0,,1876.0,1954.0,,True,False,1300000.0,650000.0,692.9637526652452,692.9637526652452,Duplex (2),72.0
Active,B26007332,3370,2017 NE 26th Street,Coral Gardens,1300000.0,,2.0,,1876.0,1954.0,,True,False,1300000.0,650000.0,692.9637526652452,692.9637526652452,Duplex (2),72.0
