status,mls,area,address,neighborhood,sub_raw,list_price,sale_price,acre,psqft,lot_desc,zn,style,ptype,waterfront,road,lot_sqft,density,is_dock,acre_band,value,land_ppsf,corner,cul_de_sac,interior,irregular,oversized,flood,east_us1,west_us1
Active,B26042914,3280,1000 Riviera Isle Drive,Kents Isles,KENTS ISLAND 15-22 B,29950000.0,,1.21,,"1 To Less Than 2 Acre Lot, East Of US 1",RS-8,,Unimproved Agri/Recreatn/Moblhome,True,Paved Road,52707.6,Single-family,False,1–2 ac,29950000.0,568.2292496717741,False,False,False,False,False,False,True,False
Active,B26013046,3490,1031 SW 28th Street,Edgewood,EDGEWOOD,9900000.0,,5.24,,5 To Less Than 10 Acre Lot,RD-15,,Unimproved Agri/Recreatn/Moblhome,False,,228254.40000000002,Multifamily,False,5–10 ac,9900000.0,43.37265787647467,False,False,False,False,False,False,False,False
Active,B26049914,3170,2455 Del Lago Drive,Del Lago Isles,DEL LAGO ISLE,8299000.0,,0.36,,"1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre",RS-4.4,,Unimproved Agri/Recreatn/Moblhome,True,Paved Road,15681.599999999999,Single-family,False,0.25–0.5 ac,8299000.0,529.2189572492604,False,False,False,False,False,False,False,False
Active,B26050094,3160,2900 N Atlantic Boulevard,Lauderdale Beach,LAUDERDALE BEACH,7800000.0,,0.223,,"Less Than 1/4 Acre Lot, Less Than 1 Acre",RS-8,,Unimproved Agri/Recreatn/Moblhome,True,,9713.880000000001,Single-family,False,< 0.25 ac,7800000.0,802.9747124732855,False,False,False,False,False,False,False,False
Active,A12017623,3600,1776 SE 9th St,Rio Vista,RIO VISTA ISLES,5490000.0,,0.21,9375.0,Less Than 1/4 Acre Lot,¤RS-4.4,Zoned Residential,Residential,True,"City/County Maintained, Other Road, Paved Road",9375.0,Single-family,False,< 0.25 ac,5490000.0,585.6,False,False,False,False,False,False,False,False
Active,B26010531,3130,3 Winnebago Road,Sea Ranch Lakes,SEA RANCH LAKES,5300000.0,,0.3137,,"1/4 To Less Than 1/2 Acre Lot, Corner Lot, Cul-De-Sac Lot, Interior Lot, Irregular Lot, Less Than 1 Acre",R-1,,Unimproved Agri/Recreatn/Moblhome,False,,13664.771999999999,Single-family,False,0.25–0.5 ac,5300000.0,387.85864850141667,True,True,True,True,False,False,False,False
Active,B26002550,3280,455 Bontona Avenue,Venice,VENICE RESUB OF BLKS 5 & 6,4490000.0,,0.2904,,"1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre",RS-8,,Unimproved Agri/Recreatn/Moblhome,True,City/County Maintained,12649.824,Single-family,False,0.25–0.5 ac,4490000.0,354.94564983670915,False,False,False,False,False,False,False,False
Active,A12038921,3270,840 NE 19th Way,Gateway Park,GATEWAY PARK AMENDED,4200000.0,,0.4,17340.0,,¤RO,Zoned Multifamily,Residential,False,,17340.0,Multifamily,False,0.25–0.5 ac,4200000.0,242.21453287197232,False,False,False,False,False,False,False,False
Active,F10536983,3490,1711 SW 30th Place,Oaklane St,OAKLANE 1ST ADD 80-7 B,4000000.0,,2.28,99532.0,2 To Less Than 3 Acre Lot,RS-8,Zoned Residential,Unimproved Agri/Recreatn/Moblhome,False,,99532.0,Single-family,False,2–3 ac,4000000.0,40.18808021540811,False,False,False,False,False,False,False,False
Active,B26011653,3280,646 Flamingo-a Drive,Riviera,RIVIERA,3950000.0,,0.2296,,"Less Than 1/4 Acre Lot, Less Than 1 Acre",RS-8,,Unimproved Agri/Recreatn/Moblhome,True,"City/County Maintained, Paved Road",10001.376,Single-family,False,< 0.25 ac,3950000.0,394.94565547780627,False,False,False,False,False,False,False,False
Active,B26022228,3280,310 Coral Way,Coral Isles,CORAL ISLES,3750000.0,,0.25,,"1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre",RS-4.4,,Unimproved Agri/Recreatn/Moblhome,True,Paved Road,10890.0,Single-family,False,0.25–0.5 ac,3750000.0,344.3526170798898,False,False,False,False,False,False,False,False
Active,A11985772,3160,3337 NE 16th Pl,Las Olas,LAS OLAS BY THE SEA EXT,3500000.0,,0.1722,6000.0,,¤RS-8,Zoned Residential,Residential,True,,6000.0,Single-family,False,< 0.25 ac,3500000.0,583.3333333333334,False,False,False,False,False,False,False,False
Active,F10543779,3570,1551 Davie Boulevard,Riverside,RIVERSIDE NO 3,3250000.0,,1.1,49530.0,,RM15,Zoned Residential,Unimproved Agri/Recreatn/Moblhome,False,City/County Maintained,49530.0,Single-family,False,1–2 ac,3250000.0,65.61679790026247,False,False,False,False,False,False,False,False
Active,F10546046,3260,2501 Middle River Drive,Coral Ridge Galt,CORAL RIDGE GALT ADD 27-4,2899000.0,,0.32,13551.0,,RS-4.4,Zoned Residential,Unimproved Agri/Recreatn/Moblhome,True,,13551.0,Single-family,False,0.25–0.5 ac,2899000.0,213.9325511032396,False,False,False,False,False,False,False,False
Active,F10553996,3260,2405 Middle River Drive,Coral Ridge Galt,CORAL RIDGE GALT ADD 27-4,2788800.0,,0.2326,10131.0,,RS-4.4,Zoned Residential,Unimproved Agri/Recreatn/Moblhome,True,,10131.0,Single-family,False,< 0.25 ac,2788800.0,275.27391175599644,False,False,False,False,False,False,False,False
Active,F10532034,3121,239 Hibiscus Avenue,Silver Shores,SILVER SHORES,2700000.0,,0.31,13909.0,"1/4 To Less Than 1/2 Acre Lot, Corner Lot, Less Than 1 Acre",RD-10,Zoned Duplex,Unimproved Agri/Recreatn/Moblhome,True,,13909.0,Duplex,False,0.25–0.5 ac,2700000.0,194.11891580990726,True,False,False,False,False,False,False,False
Active,F10495012,3600,1524 SE 14th Street,Lauderdale Harbors,LAUDERDALE HARBORS SEC A,2695000.0,,0.1767,7700.0,"Less Than 1/4 Acre Lot, Interior Lot, Less Than 1 Acre",RS-8,Zoned Residential,Unimproved Agri/Recreatn/Moblhome,True,"City/County Maintained, Paved Road",7700.0,Single-family,False,< 0.25 ac,2695000.0,350.0,False,False,True,False,False,False,False,False
Active,A12052219,3600,1642 SE 14th St,Lauderdale Harbors Sectio,LAUDERDALE HARBORS SECTIO,2650000.0,,0.18,7700.0,,¤RS-8,Zoned Residential,Residential,True,,7700.0,Single-family,False,< 0.25 ac,2650000.0,344.15584415584414,False,False,False,False,False,False,False,False
Active,F10531641,3130,4433 Poinciana Street,Lauderdale By Sea,LAUDERDALE BY THE SEA,2593080.0,,0.3571,15555.0,1/4 To Less Than 1/2 Acre Lot,RM-25,Zoned Multifamily,Unimproved Agri/Recreatn/Moblhome,False,,15555.0,Multifamily,False,0.25–0.5 ac,2593080.0,166.7039537126326,False,False,False,False,False,False,False,False
Active,A12016820,3480,1321 mandarin isle,Citrus Isles,CITRUS ISLES,2550000.0,,0.25,,1/4 To Less Than 1/2 Acre Lot,,Zoned Residential,Residential,True,,10890.0,Single-family,False,0.25–0.5 ac,2550000.0,234.15977961432506,False,False,False,False,False,False,False,False
Active,B26013595,3240,5320 NE 32nd Avenue,Landings,LANDINGS FIRST SEC,2495000.0,,0.238,,"Less Than 1/4 Acre Lot, Less Than 1 Acre",RS-8,,Unimproved Agri/Recreatn/Moblhome,True,,10367.279999999999,Single-family,False,< 0.25 ac,2495000.0,240.66100269308828,False,False,False,False,False,False,False,False
Active,F10550414,3160,2930 Center Avenue,Lauderdale Beach,LAUDERDALE BEACH 4-2 B,2390000.0,,0.136,5952.0,"Less Than 1/4 Acre Lot, East Of US 1",RS-8,Zoned Residential,Unimproved Agri/Recreatn/Moblhome,False,,5952.0,Single-family,False,< 0.25 ac,2390000.0,401.5456989247312,False,False,False,False,False,False,True,False
Active,F10537030,3470,1136 Pina Del Rio,Riversound,RIVERSOUND,1949000.0,,0.33,,,,Zoned Residential,Unimproved Agri/Recreatn/Moblhome,True,,14374.800000000001,Single-family,False,0.25–0.5 ac,1949000.0,135.5844950886273,False,False,False,False,False,False,False,False
Active,A11918277,3240,1501 NE 26th Ave,Coral Ridge,CORAL RIDGE,1935000.0,,0.27,11821.0,,¤RM-15,Zoned Residential,Residential,False,Legal Access Road,11821.0,Single-family,False,0.25–0.5 ac,1935000.0,163.6917350477963,False,False,False,False,False,False,False,False
Active,B26048481,3470,333 SW 14th Way,River Highlands,RIVER HIGHLANDS,1650000.0,,0.03,,"Less Than 1/4 Acre Lot, Less Than 1 Acre",RS-8,,Unimproved Agri/Recreatn/Moblhome,True,"Paved Road, Private Road",1306.8,Single-family,False,< 0.25 ac,1650000.0,1262.6262626262626,False,False,False,False,False,False,False,False
Active,F10555433,3550,2014 NW 28th Street,Middle River Gardens,MIDDLE RIVER GARDENS 22-4,1575000.0,,0.0,14998.0,,R-1,Zoned Multifamily,Unimproved Agri/Recreatn/Moblhome,False,Gravel/Lime Rock Road,14998.0,Multifamily,False,0.25–0.5 ac,1575000.0,105.01400186691559,False,False,False,False,False,False,False,False
Active,F10519940,3370,1100 NE 23rd Drive,Wilton Manors,WILTON MANORS,1450000.0,,0.32,14153.0,"1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre",B-2,Zoned Multifamily,Unimproved Agri/Recreatn/Moblhome,False,"City/County Maintained, Paved Road",14153.0,Multifamily,False,0.25–0.5 ac,1450000.0,102.45177700840811,False,False,False,False,False,False,False,False
Active,B26021643,3500,638 SW 4th Avenue,Ft Lauderdale,FT LAUDERDALE B-40,1350000.0,,0.1435,,"Less Than 1/4 Acre Lot, Less Than 1 Acre",RAC-SMU,,Unimproved Agri/Recreatn/Moblhome,False,,6250.86,Multifamily,False,< 0.25 ac,1350000.0,215.97028248912952,False,False,False,False,False,False,False,False
Active,A12024087,3360,1816-1818 Middle River Dr,Livermore Estates,LIVERMORE ESTATES,1290000.0,,9776.0,4184.0,,¤RC-15,Zoned Duplex,Other,False,,4184.0,Duplex,False,< 0.25 ac,1290000.0,308.3173996175908,False,False,False,False,False,False,False,False
Active,B26033259,3270,622 NE 8th Avenue,Progresso,PROGRESSO,1150000.0,,0.1549,,"Less Than 1/4 Acre Lot, Less Than 1 Acre",RMM-25,,Unimproved Agri/Recreatn/Moblhome,False,City/County Maintained,6747.444,Multifamily,False,< 0.25 ac,1150000.0,170.43490838901366,False,False,False,False,False,False,False,False
Active,B26053930,3270,640 NE 8th Avenue,Progresso,PROGRESSO,1100000.0,,0.155,,"Less Than 1/4 Acre Lot, East Of US 1, Interior Lot, Less Than 1 Acre",RMM-25,,Unimproved Agri/Recreatn/Moblhome,False,City/County Maintained,6751.8,Multifamily,False,< 0.25 ac,1100000.0,162.91951775822744,False,False,True,False,False,False,True,False
Active,B26037347,3370,1409 NE 24th Court,Wilton Manors,WILTON MANORS,1050000.0,,0.2619,,"1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre",RM-16,,Unimproved Agri/Recreatn/Moblhome,False,Paved Road,11408.364000000001,Multifamily,False,0.25–0.5 ac,1050000.0,92.03773652383461,False,False,False,False,False,False,False,False
Active,F10518590,3450,1338 - 1384 NE   1384 35th Street,Oakland Park First,OAKLAND PARK FIRST ADD 2-,999999.0,,0.37,16007.0,1/4 To Less Than 1/2 Acre Lot,R-2,Zoned Multifamily,Unimproved Agri/Recreatn/Moblhome,False,,16007.0,Multifamily,False,0.25–0.5 ac,999999.0,62.47260573499094,False,False,False,False,False,False,False,False
Active,A11684524,3600,615 SE 7th St,Rio Vista,RIO VISTA C J HECTORS RES,950000.0,,0.1411,6150.0,,¤RS-8,Zoned Residential,Residential,False,,6150.0,Single-family,False,< 0.25 ac,950000.0,154.47154471544715,False,False,False,False,False,False,False,False
Active,B26050628,3370,234 NE 21st Court,Wilton Manors,WILTON MANORS,949900.0,,0.2115,,"Less Than 1/4 Acre Lot, Less Than 1 Acre, Oversized Lot",RS-5,,,False,,9212.94,Single-family,False,< 0.25 ac,949900.0,103.10498060336873,False,False,False,False,True,False,False,False
Active,F10529682,3480,1516 SW 15th Terrace,Shady Banks On New River,SHADY BANKS ON NEW RIVER,925000.0,,0.4268,18592.0,"1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre",RS-8,Zoned Residential,Unimproved Agri/Recreatn/Moblhome,False,"City/County Maintained, Paved Road",18592.0,Single-family,False,0.25–0.5 ac,925000.0,49.7525817555938,False,False,False,False,False,False,False,False
Active,B26004916,3370,2056 NE 9th Avenue,Wilton Manors,WILTON MANORS,895000.0,,0.2394,,"Less Than 1/4 Acre Lot, Less Than 1 Acre",RM-16,,Unimproved Agri/Recreatn/Moblhome,False,City/County Maintained,10428.264,Multifamily,False,< 0.25 ac,895000.0,85.82444786591518,False,False,False,False,False,False,False,False
Active,F10537964,3460,900 NW 2nd Street,Seminole Olivers,SEMINOLE ADD F R OLIVERS,895000.0,,0.3213,14000.0,1/4 To Less Than 1/2 Acre Lot,RMM-25,Zoned Multifamily,Unimproved Agri/Recreatn/Moblhome,False,City/County Maintained,14000.0,Multifamily,False,0.25–0.5 ac,895000.0,63.92857142857143,False,False,False,False,False,False,False,False
Active,A12028828,3460,1102 NW 6th St,Tuskegee Park,TUSKEGEE PARK,850000.0,,0.1456,6342.0,,¤NWRAC-MU,Zoned Multifamily,Residential,False,,6342.0,Multifamily,False,< 0.25 ac,850000.0,134.02712078208768,False,False,False,False,False,False,False,False
Active,B26031043,3480,2009 SW 18th Avenue,River Oaks,RIVER OAKS,699000.0,,0.25,,"1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre",RD-15,,Unimproved Agri/Recreatn/Moblhome,False,Other Road,10890.0,Multifamily,False,0.25–0.5 ac,699000.0,64.18732782369146,False,False,False,False,False,False,False,False
Active,A12031847,3390,201 NW 11th St,Progresso,PROGRESSO,649000.0,,0.23,10122.0,,¤RD-15,Zoned Duplex,Residential,False,,10122.0,Duplex,False,< 0.25 ac,649000.0,64.11776328788777,False,False,False,False,False,False,False,False
