rank,neighborhood,geo_type,norm_ppsf,vs_city_pct,waterfront_ppsf,dry_ppsf,new_premium_pct,median_sale_price,median_discount_pct,dom,appreciation_since_2020,failure_rate,n_high_ticket,n_over_10m,n_live_repriced,asking_ppsf,should_be_ppsf,ask_vs_sold_pct,ht_listed_total,ht_suggested_total,suggested_adjust_pct,sold_n
1,Lauderdale Beach,Barrier island / beach,923.9,98.6,,932.5,,2675000,7.51,157.0,5.7,62.5,8,1,8.0,1230.0,1015.0,21.2,41239998.0,34022998.0,-17.5,12
2,Four Seasons,Barrier island / beach,876.5,88.4,2031.7,1764.1,452.4,3850000,6.95,,,72.1,14,1,22.0,1846.0,1784.0,3.5,68930000.0,66586380.0,-3.4,17
3,Coral Isles,Finger-isle waterfront,838.6,80.2,1275.2,,,4465000,6.63,,,37.5,7,3,7.0,1480.0,1275.0,16.1,104888000.0,90308568.0,-13.9,15
4,Halls,Mainland inland,761.2,63.6,,779.3,,1257500,6.84,,,25.0,2,0,,,,,5985000.0,,,12
5,Idlewyld,Mainland inland,750.2,61.2,1622.7,732.9,88.4,2522500,9.01,,81.5,46.7,6,2,6.0,1307.0,812.0,60.9,47690000.0,29615490.0,-37.9,16
6,Harbor Beach,Barrier island / beach,745.1,60.1,1139.2,732.2,,3212500,5.17,161.0,115.3,51.6,12,4,12.0,1126.0,920.0,22.4,123617998.0,100995904.0,-18.3,30
7,Nurmi Isles,Finger-isle waterfront,745.1,60.1,1070.8,,61.8,5325000,5.6,158.0,34.6,60.5,15,2,15.0,1342.0,1071.0,25.3,86097706.0,68705969.0,-20.2,17
8,Colee Hammock,Mainland inland,738.9,58.8,,682.0,27.7,1527500,7.23,146.0,57.9,47.2,9,0,10.0,772.0,686.0,12.4,24040899.0,21372359.0,-11.1,28
9,Rio Vista,Mainland inland,706.5,51.8,1123.5,758.9,1.9,2300000,7.09,127.0,110.6,47.7,30,3,31.0,962.0,800.0,20.2,152038000.0,126495616.0,-16.8,91
10,Venice,Finger-isle waterfront,704.7,51.5,1123.3,,19.4,4675000,11.38,,,63.6,7,2,7.0,1270.0,1124.0,13.0,78374999.0,69361874.0,-11.5,12
11,Lauderdale Harbors,Intracoastal / canal waterfront,699.1,50.2,1094.4,564.1,,2132500,6.77,,,38.1,7,0,7.0,913.0,860.0,6.2,28609999.0,26950619.0,-5.8,26
12,Harbour Heights,Mainland inland,698.4,50.1,,668.9,,1812500,8.81,,,54.8,9,0,9.0,950.0,700.0,35.6,34519999.0,25441239.0,-26.3,14
13,Oceanage,Barrier island / beach,680.9,46.3,799.3,780.9,,1017500,6.25,,,34.6,4,0,5.0,830.0,799.0,3.9,5294000.0,5098122.0,-3.7,17
14,Coral Ridge,Mainland inland,665.9,43.1,1047.9,713.6,47.5,2000000,5.25,127.0,112.1,36.0,19,3,20.0,1096.0,793.0,38.2,114868500.0,83164794.0,-27.6,73
15,Coral Ridge Galt,Barrier island / beach,629.0,35.2,926.7,628.2,46.7,1515000,6.47,133.0,121.7,47.6,23,2,25.0,994.0,701.0,41.8,103643898.0,73068948.0,-29.5,89
16,Victoria Park,Mainland inland,604.7,30.0,,589.5,33.0,1317500,4.49,114.0,58.6,49.8,26,0,44.0,649.0,590.0,10.0,61490000.0,55894410.0,-9.1,146
17,Edgewater Estates,Intracoastal / canal waterfront,549.0,18.0,718.6,,,1232500,4.46,,,33.3,1,0,,,,,1275000.0,,,14
18,Wilton Manors,Mainland inland,544.0,16.9,,593.4,50.4,915000,3.81,,,54.0,2,0,4.0,608.0,597.0,1.8,3399000.0,3337818.0,-1.8,23
19,Lake Ridge,Mainland inland,536.3,15.3,,533.7,10.5,865000,3.75,117.0,69.0,63.3,3,0,7.0,625.0,528.0,18.4,4039000.0,3412955.0,-15.5,22
20,South New River Isles,Finger-isle waterfront,535.7,15.1,714.6,,,1029375,4.64,,,55.9,11,0,11.0,1000.0,715.0,39.9,21243900.0,15189388.0,-28.5,26
21,Sunset Manors,Mainland inland,532.9,14.5,,514.3,,895000,5.62,,,42.9,0,0,,,,,,,,20
22,Tropical Manors,Mainland inland,530.9,14.1,,575.4,,875000,2.76,,,52.8,1,0,8.0,567.0,588.0,-3.6,1295000.0,1342915.0,3.7,17
23,Middle River Estates,Mainland inland,529.2,13.7,618.6,527.6,,820000,3.49,,,46.5,3,0,3.0,657.0,551.0,19.2,5889000.0,4940871.0,-16.1,23
24,Riverside,Mainland inland,519.8,11.7,,509.5,,569950,3.04,,,60.0,0,0,,,,,,,,12
25,Coral Gardens,Mainland inland,510.3,9.7,625.7,502.4,,850000,5.03,,,40.0,0,0,,,,,,,,15
26,Lauderdale,Mainland inland,501.6,7.8,,463.0,13.0,590000,3.74,,,47.8,4,0,12.0,496.0,463.0,7.2,5488000.0,5120304.0,-6.7,47
27,Poinsettia Heights,Mainland inland,496.2,6.6,631.5,513.4,45.0,847500,4.11,101.0,61.5,46.7,5,0,7.0,847.0,524.0,61.6,10999000.0,6808381.0,-38.1,40
28,Highland Estates,Mainland inland,485.8,4.4,,481.4,,578750,4.42,,,20.0,0,0,4.0,284.0,482.0,-41.1,,,69.7,16
29,Coral Shores,Mainland inland,485.1,4.3,743.9,495.4,,910000,2.4,109.0,45.6,36.4,5,0,9.0,537.0,501.0,7.2,7854000.0,7327782.0,-6.7,21
30,Coral Estates,Mainland inland,478.7,2.9,,487.1,,727450,3.56,,,36.8,0,0,,,,,,,,12
31,Lauderdale Park,Mainland inland,476.3,2.4,,458.8,,630000,2.91,105.0,115.0,61.1,3,0,8.0,592.0,459.0,29.1,3974000.0,3079850.0,-22.5,21
32,Hillbrook,Mainland inland,468.6,0.7,,452.0,,882500,1.83,,,47.8,0,0,4.0,442.0,452.0,-2.3,,,2.3,12
33,Venetian Condominium,Barrier island / beach,467.6,0.5,553.3,,,787500,6.14,,,50.0,1,0,,,,,4499000.0,,,14
34,Shady Banks,Mainland inland,467.2,0.4,639.9,418.7,,639250,4.86,105.0,61.4,56.1,0,0,3.0,430.0,427.0,0.7,,,-0.7,18
35,Croissant Park,Mainland inland,465.1,0.0,545.1,467.6,22.3,584500,3.95,101.0,45.3,56.4,3,0,9.0,521.0,484.0,7.6,7040000.0,6540160.0,-7.1,34
36,Middle River Manor,Intracoastal / canal waterfront,452.6,-2.7,628.6,,,1137500,4.0,,,58.1,5,0,6.0,729.0,620.0,17.7,7459000.0,6340150.0,-15.0,18
37,Middle River Terrace,Mainland inland,447.4,-3.8,,414.6,,600000,5.77,89.0,52.7,57.1,0,0,,,,,,,,15
38,Point Americas,Barrier island / beach,447.3,-3.9,541.0,,,882859,7.81,,,58.2,14,0,20.0,697.0,541.0,28.8,25168000.0,19530368.0,-22.4,28
39,Progresso,Mainland inland,445.9,-4.2,,409.1,46.4,545000,3.38,,,54.2,23,0,109.0,472.0,410.0,15.3,39015997.0,33904901.0,-13.1,242
40,Coral Point,Intracoastal / canal waterfront,443.6,-4.7,574.4,,,985000,5.63,,,60.5,4,0,5.0,672.0,574.0,17.1,6493950.0,5545833.0,-14.6,15
41,Gill Isles,Finger-isle waterfront,443.3,-4.7,541.1,,,845500,7.52,,,62.2,4,0,4.0,688.0,538.0,27.7,4745000.0,3710590.0,-21.8,14
42,Las Olas,Intracoastal / canal waterfront,418.4,-10.1,708.5,468.1,39.7,1185000,5.6,,,60.8,49,3,82.0,703.0,627.0,12.1,166698898.0,148695417.0,-10.8,163
43,Watergarden,Intracoastal / canal waterfront,413.8,-11.1,589.9,526.9,,710000,4.59,,,46.5,4,0,17.0,601.0,572.0,5.1,5340000.0,5083680.0,-4.8,46
44,River Oaks,Mainland inland,392.6,-15.6,,412.7,,822000,6.06,83.0,70.1,32.1,4,0,7.0,441.0,413.0,6.8,4965499.0,4652672.0,-6.3,19
45,Jenada Villas,Mainland inland,385.3,-17.2,368.8,388.8,,589500,2.92,,,56.9,0,0,7.0,391.0,378.0,3.4,,,-3.3,22
46,Essex Tower,Mainland inland,369.0,-20.7,,384.6,,415000,6.24,,,42.9,0,0,7.0,459.0,386.0,19.1,,,-15.9,16
47,Vantage View,Barrier island / beach,361.5,-22.3,423.9,431.3,,476500,3.85,,,74.5,0,0,10.0,472.0,432.0,9.4,,,-8.5,14
48,Lauderdale Manors,Mainland inland,355.5,-23.6,,335.3,,369950,0.19,73.0,62.9,41.0,0,0,23.0,349.0,335.0,4.2,,,-4.0,102
49,Symphony,Intracoastal / canal waterfront,339.7,-27.0,509.3,,,642500,2.68,,,40.7,0,0,,,,,,,,16
50,Marina Landings,Mainland inland,338.5,-27.3,,438.0,,1205000,0.0,,,28.6,5,0,5.0,441.0,438.0,0.7,6138000.0,6095034.0,-0.7,25
51,Waverly Las Olas,Mainland inland,335.5,-27.9,,383.5,,485000,4.21,,,54.9,0,0,7.0,356.0,383.0,-7.0,,,7.6,23
52,Lauderdale Villas,Mainland inland,316.3,-32.0,,306.1,,442500,0.0,,,61.5,0,0,6.0,358.0,306.0,17.0,,,-14.5,20
53,Tarpon River,Mainland inland,314.5,-32.4,,424.2,11.2,820000,3.83,111.0,52.6,47.2,7,0,9.0,496.0,424.0,17.0,12223000.0,10450665.0,-14.5,28
54,Lauderdale Tower,Intracoastal / canal waterfront,314.3,-32.5,397.3,,,282000,5.93,,,55.6,0,0,7.0,429.0,396.0,8.2,,,-7.7,12
55,Nuriver Landing,Intracoastal / canal waterfront,300.9,-35.3,432.4,427.2,,512500,3.15,,,47.7,0,0,9.0,384.0,432.0,-11.1,,,12.5,34
56,Marine Tower,Intracoastal / canal waterfront,298.3,-35.9,398.4,,,552500,6.95,,,53.8,0,0,11.0,343.0,386.0,-11.1,,,12.5,12
57,Berkley South,Barrier island / beach,297.4,-36.1,,299.2,,295000,5.44,,,46.2,0,0,8.0,265.0,300.0,-11.7,,,13.2,21
58,Village East,Mainland inland,297.3,-36.1,,348.7,,338750,4.93,,,59.4,0,0,11.0,342.0,348.0,-1.9,,,1.8,26
59,White Egret,Barrier island / beach,291.9,-37.3,,326.4,,367500,3.99,,,51.7,0,0,,,,,,,,14
60,Sole Fort Lauderdale,Downtown high-rise,291.3,-37.4,,315.0,,295000,2.74,,,50.0,0,0,3.0,382.0,315.0,21.3,,,-17.5,15
61,Wilton Station,Mainland inland,269.6,-42.1,325.5,324.7,,490000,3.51,,,42.4,0,0,5.0,372.0,325.0,14.5,,,-12.6,49
62,Manor Grove Village Two,Mainland inland,269.5,-42.1,,300.0,,237500,1.86,,,55.6,0,0,,,,,,,,12
63,Manor Grove Village Four,Mainland inland,261.5,-43.8,,264.4,,290000,3.6,,,34.6,0,0,4.0,266.0,264.0,0.6,,,-0.8,17
64,Sunrise Tower,Intracoastal / canal waterfront,239.2,-48.6,293.2,,,275000,8.03,,,25.0,0,0,,,,,,,,15
65,Marina Oaks,Mainland inland,239.2,-48.6,,260.4,,198400,3.0,,,39.1,0,0,7.0,303.0,260.0,16.5,,,-14.2,14
66,Villa Medici,Mainland inland,229.4,-50.7,,254.0,,535000,2.18,,,60.0,0,0,,,,,,,,12
