status,area,neighborhood,list_price,sale_price,beds,fbaths,hbaths,sqft,ptype,year_built,garage,pool,waterfront,lot_sqft,baths,age,ask_ppsf,sale_ppsf,discount,geo
Active,3260,Sunrise,55000000.0,,6,11,4.0,15079.0,Single Family,2026.0,8.0,True,True,16539.0,13.0,0.0,3647.4567278997283,,,AREA_3260
Active,3280,Coral Isles,44995000.0,,6,7,3.0,10160.0,Single Family,2025.0,8.0,True,True,19164.0,8.5,1.0,4428.641732283465,,,Coral Isles
Active,3260,Sunrise Intracoastal,41900000.0,,6,7,4.0,11838.0,Single Family,2023.0,4.0,True,True,16291.0,9.0,3.0,3539.4492312890693,,,AREA_3260
Active,3280,Venice,39999999.0,,6,7,2.0,9995.0,Single Family,2020.0,8.0,True,True,37526.0,8.0,6.0,4002.000900450225,,,Venice
Active,3280,Merritt Isles,39995000.0,,7,6,1.0,8132.0,Single Family,1990.0,2.0,True,True,49581.0,6.5,36.0,4918.22429906542,,,AREA_3280
Active,3170,Harbor Beach,35900000.0,,6,8,5.0,14000.0,Single Family,1998.0,4.0,True,True,31000.0,10.5,28.0,2564.285714285714,,,Harbor Beach
Active,3280,Las Olas,35000000.0,,7,8,1.0,10000.0,Single Family,2026.0,6.0,True,True,14070.0,8.5,0.0,3500.0,,,Las Olas
Active,3260,Sunrise,33000000.0,,7,9,1.0,11133.0,Single Family,2026.0,4.0,True,True,16524.0,9.5,0.0,2964.1606036108865,,,AREA_3260
Active,3170,Del Lago Isles,29995000.0,,6,7,2.0,8725.0,Single Family,2025.0,4.0,True,True,16500.0,8.0,1.0,3437.8223495702005,,,AREA_3170
Active,3170,Lucille Isles,29900000.0,,7,10,2.0,10400.0,Single Family,2026.0,3.0,True,True,14243.0,11.0,0.0,2875.0,,,AREA_3170
Active,3280,Sea Isles,28000000.0,,5,5,5.0,10345.0,Single Family,2014.0,5.0,True,True,26266.0,7.5,12.0,2706.6215563073947,,,AREA_3280
Active,3170,Harbor Beach,27500000.0,,7,6,1.0,6250.0,Single Family,2005.0,3.0,True,True,21256.0,6.5,21.0,4400.0,,,Harbor Beach
Active,3170,Del Lago Isles,24950000.0,,6,7,0.0,8343.0,Single Family,2026.0,4.0,True,True,15750.0,7.0,0.0,2990.5309840584923,,,AREA_3170
Active,3170,Isla Bahia,24900000.0,,6,7,2.0,9135.0,Single Family,2026.0,8.0,True,True,14300.0,8.0,0.0,2725.7799671592775,,,AREA_3170
Active,3170,Del Lago Isles,24900000.0,,7,7,2.0,10428.0,Single Family,2010.0,3.0,True,True,18000.0,8.0,16.0,2387.802071346375,,,AREA_3170
Active,3160,St Regis Residences,22000000.0,,4,4,1.0,4982.0,Condo,2027.0,4.0,False,True,,4.5,,4415.897230028101,,,AREA_3160
Active,3260,Sunrise,21900000.0,,5,7,0.0,9138.0,Single Family,2020.0,4.0,True,True,16787.0,7.0,6.0,2396.585686145765,,,AREA_3260
Active,3600,Rio Vista,20995000.0,,7,8,1.0,8600.0,Single Family,2026.0,4.0,True,True,17402.0,8.5,0.0,2441.279069767442,,,Rio Vista
Active,3170,St Regis Residences,20500000.0,,5,4,1.0,5777.0,Condo,2028.0,4.0,False,True,0.0,4.5,,3548.554613120997,,,AREA_3170
Active,3170,Harbor Beach,20000000.0,,7,6,2.0,8923.0,Single Family,1988.0,3.0,True,True,19500.0,7.0,38.0,2241.398632746834,,,Harbor Beach
Active,3280,Idlewyld,19950000.0,,5,6,3.0,7666.0,Single Family,1959.0,7.0,True,True,35195.0,7.5,67.0,2602.400208713801,,,Idlewyld
