status,neighborhood,ptype,list_price,sqft,ask_ppsf,pred_ppsf,gap_pct,waterfront,flag
Active,Four Seasons,Condo,499000.0,1982.0,252.0,1083.0,-76.8,True,Underpriced
Active,Four Seasons,Condo,460000.0,1630.0,282.0,1111.0,-74.6,True,Underpriced
Active,Four Seasons,Condo,519000.0,1700.0,305.0,1074.0,-71.6,True,Underpriced
Active,Carver Park,Single Family,319900.0,1408.0,227.0,769.0,-70.5,False,Underpriced
Active,East Point Towers Condomin,Condo,185000.0,1005.0,184.0,518.0,-64.5,True,Underpriced
Active,Club Resort Residences,Condo,250000.0,978.0,256.0,660.0,-61.3,True,Underpriced
Pending,Lauderdale Manors,Single Family,155000.0,1248.0,124.0,316.0,-60.7,False,Underpriced
Active,Four Seasons,Condo,820000.0,1952.0,420.0,1065.0,-60.6,True,Underpriced
Active,Four Seasons,Condo,820000.0,1770.0,463.0,1101.0,-57.9,True,Underpriced
Active,Dorsey Park Third,Single Family,439000.0,1432.0,307.0,718.0,-57.3,False,Underpriced
Pending,Four Seasons,Condo,849000.0,1770.0,480.0,1110.0,-56.8,True,Underpriced
Active,Four Seasons,Condo,895000.0,1770.0,506.0,1135.0,-55.4,True,Underpriced
Pending,Village Harbor Beach Co,Condo,175000.0,900.0,194.0,432.0,-55.0,False,Underpriced
Active,Club Resort Residences,Condo,179000.0,584.0,307.0,679.0,-54.9,True,Underpriced
Active,Club Resort Residences,Condo,265000.0,868.0,305.0,669.0,-54.4,True,Underpriced
Active,Edgewood,Single Family,479000.0,2191.0,219.0,457.0,-52.2,False,Underpriced
Active,Club Resort Residences,Condo,179900.0,533.0,338.0,689.0,-51.0,True,Underpriced
Pending,Harwick House Inc,Condo,150000.0,670.0,224.0,448.0,-50.1,False,Underpriced
Active,Four Seasons,Condo,584900.0,1402.0,417.0,834.0,-50.0,False,Underpriced
Active,North Lauderdale,Single Family,569900.0,1205.0,473.0,942.0,-49.8,False,Underpriced
Active,North Lauderdale,Single Family,569900.0,1196.0,477.0,943.0,-49.5,False,Underpriced
Pending,Lauderdale Manors,Single Family,232000.0,1318.0,176.0,337.0,-47.8,False,Underpriced
Active,Mayfair Arms Co Op Mayfair Arms,Condo,325000.0,1150.0,283.0,534.0,-47.1,True,Underpriced
Active,Lauderdale Homesites Firs,Single Family,350000.0,850.0,412.0,774.0,-46.8,False,Underpriced
Active,Sky Harbour East,Condo,599000.0,2161.0,277.0,514.0,-46.1,True,Underpriced
Pending,Almeda,Single Family,550000.0,2090.0,263.0,486.0,-45.9,False,Underpriced
Active,Embassy Tower Inc,Condo,235000.0,900.0,261.0,479.0,-45.5,False,Underpriced
Active,Majestic Gardens Condomini Majestic Gardens Condomin,Condo,105000.0,760.0,138.0,253.0,-45.4,False,Underpriced
Pending,Lauderdale Tower,Condo,172000.0,730.0,236.0,427.0,-44.8,True,Underpriced
Active,Village Harbor Beach,Condo,165000.0,685.0,241.0,429.0,-43.9,False,Underpriced
Pending,Everglades House,Condo,775000.0,2650.0,292.0,520.0,-43.7,True,Underpriced
Active,Atlantic Towers Co Op,Condo,314900.0,1329.0,237.0,421.0,-43.7,False,Underpriced
Pending,Lauderdale,Single Family,1295000.0,3050.0,425.0,753.0,-43.6,False,Underpriced
Pending,Lauderdale Beach Surf Apts,Condo,249000.0,800.0,311.0,550.0,-43.5,True,Underpriced
Active,Holiday Heights,Single Family,1395000.0,2496.0,559.0,987.0,-43.4,False,Underpriced
Pending,Progresso,Single Family,364000.0,1392.0,261.0,453.0,-42.3,False,Underpriced
Active,Club Resort Residences,Condo,229500.0,584.0,393.0,679.0,-42.2,True,Underpriced
Active,Village Harbor Beach Co,Condo,169900.0,685.0,248.0,429.0,-42.2,False,Underpriced
Active,Tennis Club Ii Courts Cond,Condo,135000.0,968.0,139.0,241.0,-42.1,False,Underpriced
Active,Atlantic Towers Co Op,Condo,299000.0,1293.0,231.0,398.0,-41.9,False,Underpriced
Active,Cliff Lake Villas,Condo,184900.0,800.0,231.0,397.0,-41.8,True,Underpriced
Active,Club Resort Residences,Condo,238500.0,584.0,408.0,695.0,-41.2,True,Underpriced
Active,Coral Brook,Single Family,949000.0,2485.0,382.0,647.0,-41.0,True,Underpriced
Active,Port,Condo,419900.0,1475.0,285.0,483.0,-41.0,False,Underpriced
