neighborhood,basis_type,geo_type,norm_ppsf,sold_ppsf_median,sold_n,waterfront_share,waterfront_ppsf,dry_ppsf,waterfront_premium_local_pct,n_waterfront,median_sale_price,median_sqft,median_discount_pct,house_ppsf,condo_ppsf,townhouse_ppsf,n_house,n_condo,n_townhouse,new_ppsf,existing_ppsf,new_premium_pct,new_n,implied_land_ppsf,median_lot_sqft,median_year_built,vs_city_pct,failure_rate,failed_median_overpricing,failed_n
Lauderdale Beach,Single Family,Barrier island / beach,923.9,1014.8,12,0.17,,932.5,,2,2675000,2625,7.51,1014.8,,,12,0,0,,932.5,,2,137.4,7033.0,1961,98.6,62.5,2.7,20
Four Seasons,Condo,Barrier island / beach,876.5,1784.1,17,0.59,2031.7,1764.1,15.2,10,3850000,2069,6.95,,1784.1,,0,17,0,2004.1,362.8,452.4,13,,,2022,88.4,72.1,17.3,44
Coral Isles,Single Family,Finger-isle waterfront,838.6,1275.2,15,1.0,1275.2,,,15,4465000,4650,6.63,1275.2,,,15,0,0,,1275.2,,2,149.5,10500.0,1980,80.2,37.5,30.2,9
Halls,Single Family,Mainland inland,761.2,779.3,12,0.0,,779.3,,0,1257500,1814,6.84,779.3,,,12,0,0,,776.0,,2,56.7,7800.0,1948,63.6,25.0,-10.5,4
Idlewyld,Single Family,Mainland inland,750.2,812.6,16,0.25,1622.7,732.9,121.4,4,2522500,3098,9.01,812.6,,,16,0,0,1424.8,756.2,88.4,4,121.4,8250.0,1986,61.2,46.7,14.7,14
Harbor Beach,Single Family,Barrier island / beach,745.1,920.7,30,0.47,1139.2,732.2,55.6,14,3212500,3253,5.17,920.7,,,30,0,0,,908.3,,3,83.5,13527.0,1969,60.1,51.6,24.6,32
Nurmi Isles,Single Family,Finger-isle waterfront,745.1,1070.8,17,1.0,1070.8,,,17,5325000,5197,5.6,1151.4,,870.4,16,0,1,1599.2,988.5,61.8,4,174.1,10800.0,2000,60.1,60.5,9.1,26
Colee Hammock,Single Family,Mainland inland,738.9,686.3,28,0.04,,682.0,,1,1527500,2266,7.23,746.0,,485.2,19,0,9,822.2,643.8,27.7,6,95.6,6250.0,1988,58.8,47.2,-6.0,25
Rio Vista,Single Family,Mainland inland,706.5,799.9,91,0.3,1123.5,758.9,48.0,27,2300000,2790,7.09,803.6,218.7,390.5,89,1,1,815.3,799.9,1.9,14,119.3,6779.0,1978,51.8,47.7,2.7,83
Venice,Single Family,Finger-isle waterfront,704.7,1123.3,12,1.0,1123.3,,,12,4675000,4558,11.38,1123.3,,,12,0,0,1184.5,992.4,19.4,4,174.2,9431.0,2001,51.5,63.6,-17.1,21
Lauderdale Harbors,Single Family,Intracoastal / canal waterfront,699.1,859.9,26,0.62,1094.4,564.1,94.0,16,2132500,2249,6.77,859.9,,,26,0,0,,855.1,,3,105.7,7700.0,1953,50.2,38.1,12.0,16
Harbour Heights,Single Family,Mainland inland,698.4,700.9,14,0.21,,668.9,,3,1812500,2482,8.81,700.9,,,14,0,0,,702.4,,1,68.0,9375.0,1963,50.1,54.8,19.6,17
Oceanage,Condo,Barrier island / beach,680.9,799.3,17,0.76,799.3,780.9,2.4,13,1017500,1273,6.25,,799.3,,0,17,0,,799.3,,0,,,1973,46.3,34.6,-2.2,9
Coral Ridge,Single Family,Mainland inland,665.9,793.3,73,0.3,1047.9,713.6,46.8,22,2000000,3000,5.25,854.1,657.3,374.7,62,2,9,1038.1,703.9,47.5,17,75.6,11515.0,1995,43.1,36.0,10.9,41
Coral Ridge Galt,Single Family,Barrier island / beach,629.0,700.8,89,0.33,926.7,628.2,47.5,29,1515000,2342,6.47,701.6,,305.5,88,0,1,974.3,664.2,46.7,10,53.2,10003.0,1956,35.2,47.6,17.8,81
Victoria Park,Single Family,Mainland inland,604.7,589.8,146,0.01,,589.5,,1,1317500,2446,4.49,668.7,225.3,470.6,83,11,52,695.3,522.7,33.0,47,96.3,6500.0,2004,30.0,49.8,11.1,145
