neighborhood,sample_txns,avg_homes_sold_90d,raw_ppsf_recent,raw_dom_recent,raw_s2l_recent,price_drop_rate,sold_above_rate,months_supply,list_ppsf_recent,first_year,last_period,norm_ppsf,ppsf_cagr,discount_pct,raw_discount_pct,vs_city_pct,confidence
Bay Colony,113,2.4,273.7,157.8,0.8958788460380953,,0.07204610950806917,,318.6,2012,2026-03,351.5,0.05470943599521361,10.41,10.41,-32.0,Medium
Bay Colony Club,71,1.9,275.1,205.9,0.8439324805181818,,0.0821917808196347,,299.0,2012,2026-03,314.3,0.07376017913068678,15.61,15.61,-39.2,Medium
Beach Way Heights,17,1.1,384.4,111.4,0.964543137975,,0.10526315789473684,,427.1,2014,2026-03,422.4,0.07166169171956649,3.55,3.55,-18.3,Low
Bermuda Riviera,29,1.5,273.2,50.5,0.941071633,,0.03409090909090909,,341.3,2012,2026-03,456.8,0.053700445527159246,5.89,5.89,-11.6,Low
Beverly Heights,37,1.6,436.5,144.0,0.9511313400692308,,0.08108108107927928,,531.9,2012,2026-03,522.4,0.05282015682050978,4.89,4.89,1.1,Low
Birch Oceanfront,110,2.5,487.8,97.0,0.9519480843852941,,0.05847953216403509,,547.1,2012,2026-03,523.0,0.06848025898945687,4.81,4.81,1.2,Medium
Central Beach,931,16.7,647.1,134.0,0.9224360612933054,,0.08773156238947222,,749.8,2012,2026-03,761.0,0.06850043131688288,7.76,7.76,47.2,High
Central Beach Entertainment District,117,2.4,559.9,149.0,0.9168537576346155,,0.07627118644124292,,624.2,2012,2026-03,724.2,0.03384725961197632,8.31,8.31,40.1,Medium
Colee Hammock,39,1.5,309.4,178.2,0.9075596408529412,,0.08196721311475409,,404.3,2012,2026-03,507.3,0.05515203708966787,9.24,9.24,-1.9,Low
Coral Ridge,167,3.2,371.8,103.4,0.935493866823913,,0.08897485493222436,,431.7,2012,2026-03,433.5,0.08690876049896268,6.45,6.45,-16.1,High
Coral Ridge Country Club Estates,331,6.0,321.2,139.1,0.9366445528558823,,0.09028459273885181,,344.1,2012,2026-03,382.3,0.06555070855266187,6.34,6.34,-26.0,High
Coral Ridge Galt,81,2.0,304.9,97.2,0.9061402601,,0.1147540983577869,,450.7,2012,2026-03,418.7,0.08739124256128572,9.39,9.39,-19.0,Medium
Coral Ridge Isles,68,1.7,233.9,111.6,0.9566324453,,0.20289855072512078,,270.2,2012,2026-03,275.0,0.09253576602276792,4.34,4.34,-46.8,Medium
Croissant Park,2,1.0,,,,,0.0,,,2013,2017-11,293.5,,,,-43.2,Low
Croissant Park River,2,1.0,,,,,0.0,,,2017,2020-08,300.8,,,,-41.8,Low
