neighborhood,sample_txns,avg_homes_sold_90d,raw_ppsf_recent,raw_dom_recent,raw_s2l_recent,price_drop_rate,sold_above_rate,months_supply,list_ppsf_recent,first_year,last_period,norm_ppsf,ppsf_cagr,discount_pct,raw_discount_pct,vs_city_pct,confidence
Beach Way Heights,13,1.1,610.6,21.0,0.9691011236000001,,0.15384615384615385,,508.1,2012,2026-03,463.8,0.09548921679056432,3.09,3.09,15.4,Low
Beverly Heights,25,1.5,649.0,104.0,0.9846964526428571,,0.039473684210526314,,626.5,2012,2026-03,573.6,0.051153884586293996,1.53,1.53,42.7,Low
Birch Oceanfront,6,1.1,,,,,0.3333333333333333,,,2015,2022-11,574.4,0.11630601123650508,,,42.9,Low
Central Beach,14,1.7,679.2,126.5,0.9262156448,,0.19565217392608697,,778.2,2013,2026-03,835.7,0.06692710859811313,7.38,7.38,107.9,Low
City View,40,1.7,326.2,94.0,0.9504463113999999,,0.199999999995,,342.1,2013,2026-03,361.4,0.09163632504954267,4.96,4.96,-10.1,Medium
Colee Hammock,26,1.2,467.2,224.2,1.0049116415400001,,0.0641025641025641,,588.5,2012,2026-03,557.1,0.06691941874430452,-0.49,-0.49,38.6,Low
Coral Ridge,92,2.2,443.1,91.9,0.9480000613874999,,0.0539568345323741,,508.7,2012,2026-03,476.1,0.047648357386691265,5.2,5.2,18.5,Medium
Coral Ridge Country Club Estates,24,1.2,256.7,418.2,0.8730202404999999,,0.20833333333333334,,613.6,2012,2026-03,419.9,0.08945456628922299,12.7,12.7,4.5,Low
Coral Ridge Galt,12,1.2,344.6,153.2,0.945617918275,,0.08333333333333333,,387.1,2015,2026-03,459.8,0.04859756201951981,5.44,5.44,14.4,Low
Coral Ridge Isles,4,1.0,,,,,0.0,,,2012,2023-11,302.1,0.0921178459671006,,,-24.8,Low
Coral Shores,1,1.0,308.2,128.5,0.9588623454499999,,0.0,,307.0,2025,2026-03,379.9,,4.11,4.11,-5.5,Low
Croissant Park,54,1.8,361.1,140.1,0.8713190580428573,,0.18292682926646342,,474.4,2012,2026-03,322.3,0.05880708375479693,12.87,12.87,-19.8,Medium
Croissant Park River,2,1.0,,,,,0.0,,,2019,2022-10,330.4,,,,-17.8,Low
Dillard Park,2,1.2,,,,,0.0,,,2023,2024-02,193.7,,,,-51.8,Low
Dolphin Isles,3,1.0,,,,,0.0,,,2013,2024-10,553.6,0.04813947926524387,,,37.7,Low
Dorsey-Riverbend,22,1.2,260.5,83.3,0.9765490805333332,,0.35384615384769236,,255.0,2012,2026-03,173.5,0.10473953628079502,2.35,2.35,-56.8,Low
Downtown Fort Lauderdale,17,1.1,396.2,200.5,0.981732630525,,0.17307692307692307,,351.2,2012,2026-03,585.2,0.04928833987781123,1.83,1.83,45.6,Low
Edgewood,47,1.9,318.3,126.7,0.9820065486846153,,0.16666666666805557,,328.9,2013,2026-03,260.6,0.08659274907555825,1.8,1.8,-35.2,Medium
Flagler Village,33,1.3,433.1,257.0,0.9285664093285713,,0.09183673469387756,,341.0,2012,2026-03,492.3,0.07908548827649042,7.14,7.14,22.5,Low
Galt Mile,1,1.0,,,,,0.0,,,2024,2024-10,540.7,,,,34.5,Low
Galt Ocean Mile,1,1.0,,,,,0.0,,,2024,2024-10,450.2,,,,12.0,Low
Harbordale,74,2.0,344.7,141.7,0.9319755251826087,,0.09251101321762115,,388.5,2012,2026-03,425.5,0.07353907788739567,6.8,6.8,5.9,Medium
Harbour Isles of Fort Lauderdale,6,1.0,941.6,482.0,0.9417304297,,0.0,,,2015,2026-03,707.1,0.10187630504973222,5.83,5.83,75.9,Low
Hendricks & Venice Isles,40,1.6,810.4,14.0,0.9571247994,,0.0,,793.1,2012,2026-03,775.4,0.07228016197692311,4.29,4.29,92.9,Medium
Home Beautiful Park,16,1.3,,,,,0.13043478260869565,,,2012,2023-07,225.2,0.16412465311377833,,,-44.0,Low
Imperial Point,1,1.0,,,,,0.0,,,2021,2021-08,278.5,,,,-30.7,Low
Knoll Ridge,6,1.1,,,,,0.16666666666666666,,,2012,2024-04,309.5,0.06514069188893368,,,-23.0,Low
Lake Estates,5,1.2,,,,,0.0,,,2013,2024-03,437.0,0.07360703265608604,,,8.7,Low
Lake Ridge,126,2.6,369.4,101.6,0.9748177895242424,,0.14099216709947782,,434.9,2012,2026-03,412.4,0.08690410943789084,2.52,2.52,2.6,High
Las Olas Isles,2,1.0,,,,,0.0,,,2020,2023-04,671.2,,,,67.0,Low
Las Olas Park,18,1.3,546.6,104.2,0.9616662348399998,,0.034482758620689655,,507.8,2013,2026-03,516.2,0.04727562275854247,3.83,3.83,28.4,Low
Lauder del Mar,1,1.0,,,,,0.0,,,2013,2013-04,917.7,,,,128.3,Low
Lauderdale Beach,2,1.0,717.0,189.0,0.8388888889,,0.0,,1010.3,2018,2025-11,599.4,,16.11,16.11,49.1,Low
Lauderdale Park,7,1.1,,,,,0.0,,,2012,2024-03,304.5,0.08263335312862297,,,-24.2,Low
Livermore Estates,23,1.3,512.6,87.9,0.9486585516833334,,0.0,,615.8,2012,2026-03,420.5,0.07500516975460547,5.13,5.13,4.6,Low
Middle River Park,14,1.2,690.0,87.7,0.9746296296111111,,0.14285714285714285,,560.1,2013,2026-02,468.6,0.06634894539330682,2.54,2.54,16.6,Low
Middle River Terrace,32,1.4,280.4,88.2,0.969171659275,,0.031914893613829785,,336.7,2012,2026-03,313.2,0.05711792829574747,3.08,3.08,-22.1,Low
North Beach Neighborhood District,7,3.1,679.2,126.5,0.9262156448,,0.120000000024,,,2018,2026-03,1032.4,,7.38,7.38,156.9,Low
Palm Aire Village East,42,1.5,261.6,217.6,0.9490475918384615,,0.23622047243700786,,289.4,2012,2026-03,224.7,0.12613102519219055,5.1,5.1,-44.1,Medium
Palm Aire Village West,3,1.0,238.5,153.0,0.9538490888,,0.0,,,2012,2026-03,220.1,0.09022393279159568,4.62,4.62,-45.2,Low
Poinciana Park,6,1.0,,,,,0.16666666666666666,,,2012,2024-08,336.7,0.10922456553031235,,,-16.2,Low
Poinsettia Heights,26,1.4,482.7,44.0,0.9260938743000001,,0.2307692307679487,,530.3,2014,2026-02,379.2,0.0801433771496105,7.39,7.39,-5.7,Low
Port Royale,5,1.0,303.0,116.0,0.953271028,,0.0,,,2016,2025-05,424.2,0.04544820238593705,4.67,4.67,5.5,Low
Progresso Village,74,2.0,316.4,108.4,0.9122009022777777,,0.12162162161981982,,348.6,2012,2026-03,289.2,0.09418805590898471,8.78,8.78,-28.0,Medium
Rio Vista,6,1.5,,,,,0.0,,,2020,2022-04,554.1,0.3126771513005071,,,37.9,Low
River Garden Sweeting Estate,3,1.0,234.3,172.2,1.0069398472500002,,1.0,,254.8,2023,2026-03,143.0,0.03951397137977142,-0.69,-0.69,-64.4,Low
River Oaks,48,1.4,268.6,142.1,0.9891117181444444,,0.18620689655172415,,303.4,2012,2026-03,338.9,0.06744765024333477,1.09,1.09,-15.7,Medium
River of Croissant Park,33,1.4,540.3,191.2,0.8910190828000001,,0.119999999999,,530.0,2014,2026-03,345.8,0.0743540524699009,10.9,10.9,-14.0,Low
Riverside Park,35,1.5,303.3,169.9,0.9380828219090909,,0.19090909091000002,,380.3,2012,2026-03,306.2,0.0941289348354315,6.19,6.19,-23.8,Low
Rock Island,2,1.0,,,,,0.0,,,2017,2022-06,175.7,,,,-56.3,Low
Sailboat Bend,52,1.5,315.9,75.9,0.9561255375875001,,0.11392405063164557,,319.9,2012,2026-03,442.8,0.0957298543009002,4.39,4.39,10.2,Medium
Seminole Forest,21,1.2,260.5,83.3,0.9765490805333332,,0.3709677419370968,,255.0,2012,2026-03,211.2,0.10473953628079502,2.35,2.35,-47.5,Low
South Middle River,54,1.6,271.5,264.2,0.9539921765,,0.07142857142738095,,334.2,2012,2026-03,248.5,0.07551649910444969,4.6,4.6,-38.2,Medium
Sunrise Intracoastal,1,1.0,,,,,0.0,,,2020,2020-07,466.7,,,,16.1,Low
Tarpon River,107,2.3,408.1,124.6,0.933159756869697,,0.11111111111080246,,427.9,2012,2026-03,363.3,0.08123296133460434,6.68,6.68,-9.6,Medium
Twinlakes,1,1.0,,,,,0.0,,,2020,2020-03,224.2,,,,-44.2,Low
Victoria Park,317,5.9,468.9,89.3,0.9563824831549669,,0.07062436028664278,,490.0,2012,2026-03,473.8,0.07925549232321205,4.36,4.36,17.9,High
Waverly Place,20,1.1,390.1,34.5,0.972024163675,,0.04918032786885246,,396.6,2012,2026-03,378.4,0.07044589850401439,2.8,2.8,-5.8,Low
