neighborhood,n_live,n_sold_comps,ask_ppsf,sold_ppsf,model_ppsf,gap_pct,verdict,list_total,should_be_total
Poinsettia Heights,7,40,847.0,524.0,514.0,61.6,Overpriced,12598000,8317000
Idlewyld,6,16,1307.0,812.0,1152.0,60.9,Overpriced,47690000,22418000
Riviera,3,8,2166.0,1360.0,1669.0,59.3,Overpriced,34840000,21071000
Selene Oceanfront Residen,6,10,1390.0,918.0,1087.0,51.4,Overpriced,24190000,15320000
Coral Ridge Galt,25,89,994.0,701.0,910.0,41.8,Overpriced,105479898,60982000
Riverside Park,4,11,567.0,401.0,427.0,41.4,Overpriced,15796888,4229000
South New River Isles,11,26,1000.0,715.0,764.0,39.9,Overpriced,21243900,15542000
Coral Ridge,20,73,1096.0,793.0,1046.0,38.2,Overpriced,115768500,69640000
Harbour Heights,9,14,950.0,700.0,742.0,35.6,Overpriced,34519999,20633000
Club Resort Residence,3,22,459.0,340.0,342.0,34.8,Overpriced,1474000,1116000
Lauderdale Park,8,21,592.0,459.0,476.0,29.1,Overpriced,7425000,5954000
Point Americas,20,28,697.0,541.0,576.0,28.8,Overpriced,30208000,23876000
Gill Isles,4,14,688.0,538.0,606.0,27.7,Overpriced,4745000,3553000
Sunrise East,4,9,508.0,403.0,550.0,26.1,Overpriced,4617000,3858000
Nurmi Isles,15,17,1342.0,1071.0,752.0,25.3,Overpriced,86097706,66390000
Harbor Beach,12,30,1126.0,920.0,910.0,22.4,Overpriced,123617998,59372000
Petite,4,9,652.0,536.0,548.0,21.7,Overpriced,4794900,3813000
Holmberg Mc Kees,5,11,935.0,770.0,1076.0,21.4,Overpriced,15044900,11997000
Sole Fort Lauderdale,3,15,382.0,315.0,344.0,21.3,Overpriced,1153999,1030000
Lauderdale Beach,8,12,1230.0,1015.0,1106.0,21.2,Overpriced,41239998,27316000
Rio Vista,31,91,962.0,800.0,1026.0,20.2,Overpriced,153028000,93037000
East Point Towers,13,25,257.0,214.0,219.0,20.1,Overpriced,4180400,3484000
Riverside Amen,4,8,746.0,622.0,605.0,19.9,Overpriced,10474000,8245000
Babco Park,4,8,458.0,382.0,388.0,19.9,Overpriced,3017999,2627000
