status,band,address,neighborhood,ptype,sqft,asked,ask_ppsf,supported_ppsf,over_pct,suggested_list,reduce_by,pitch
Expired,$10M+,1700 Brickell Dr,Colee Hammock,Single Family,12284,30000000,2442.0,1591.0,53.5,19544000,10456000,"Listed 53% over supported value — comparable Colee Hammock homes sell near $686/sqft. Suggested list $19,544,000."
Cancelled,$10M+,725 Poinciana Drive,Idlewyld,Single Family,9000,21990000,2443.0,1642.0,48.8,14778000,7212000,"Listed 49% over supported value — comparable Idlewyld homes sell near $813/sqft. Suggested list $14,778,000."
Cancelled,$10M+,2880 NE 28th St,Coral Ridge Galt,Single Family,8315,17900000,2153.0,1391.0,54.8,11566000,6334000,"Listed 55% over supported value — comparable Coral Ridge Galt homes sell near $701/sqft. Suggested list $11,566,000."
Expired,$10M+,2549 Mercedes Dr,Harbor Beach,Single Family,6812,15000000,2202.0,1595.0,38.1,10865000,4135000,"Listed 38% over supported value — comparable Harbor Beach homes sell near $921/sqft. Suggested list $10,865,000."
Expired,$10M+,409 Isle Of Capri Dr,Las Olas,Single Family,5788,14999999,2592.0,1697.0,52.7,9822000,5178000,"Listed 53% over supported value — comparable Las Olas homes sell near $627/sqft. Suggested list $9,822,000."
Expired,$10M+,1957 SE 21 Ave,Harbour Heights,Single Family,6632,13500000,2036.0,1515.0,34.4,10047000,3453000,"Listed 34% over supported value — comparable Harbour Heights homes sell near $701/sqft. Suggested list $10,047,000."
Expired,$10M+,24 Fiesta Way,Nurmi Isles,Single Family,6479,13500000,2084.0,1457.0,43.0,9440000,4060000,"Listed 43% over supported value — comparable Nurmi Isles homes sell near $1,071/sqft. Suggested list $9,440,000."
TempOff,$10M+,310 Coral Way,Coral Isles,Single Family,6200,12900000,2081.0,1524.0,36.5,9449000,3451000,"Listed 37% over supported value — comparable Coral Isles homes sell near $1,275/sqft. Suggested list $9,449,000."
Expired,$10M+,1900 Intracoastal Drive,Coral Ridge,Single Family,6139,12500000,2036.0,1355.0,50.3,8318000,4182000,"Listed 50% over supported value — comparable Coral Ridge homes sell near $793/sqft. Suggested list $8,318,000."
Expired,$10M+,1957 SE 21 Ave,Harbour Heights,Single Family,6632,12465000,1880.0,1515.0,24.1,10047000,2418000,"Listed 24% over supported value — comparable Harbour Heights homes sell near $701/sqft. Suggested list $10,047,000."
