status,band,address,neighborhood,ptype,sqft,asked,ask_ppsf,supported_ppsf,over_pct,suggested_list,reduce_by,pitch
Active,$10M+,1822 SE 9th Street,Rio Vista,Single Family,8600,20995000,2441.0,1581.0,54.4,13597000,7398000,"Listed 54% over supported value — comparable Rio Vista homes sell near $800/sqft. Suggested list $13,597,000."
Active,$10M+,515 Lido Drive,Coral Isles,Single Family,7877,16750000,2126.0,1873.0,13.5,14754000,1996000,"Listed 14% over supported value — comparable Coral Isles homes sell near $1,275/sqft. Suggested list $14,754,000."
Active,$10M+,525 N Fort Lauderdale Beach Boulevard Unit#2201,Four Seasons,Condo,5766,14995000,2601.0,1631.0,59.5,9404000,5591000,"Listed 59% over supported value — comparable Four Seasons homes sell near $1,784/sqft. Suggested list $9,404,000."
Active,$10M+,2893 NE 27th Street,Coral Ridge Galt,Single Family,7500,13500000,1800.0,1266.0,42.2,9495000,4005000,"Listed 42% over supported value — comparable Coral Ridge Galt homes sell near $701/sqft. Suggested list $9,495,000."
Active,$10M+,400 Mola Avenue,Venice,Single Family,6036,12995000,2153.0,1461.0,47.4,8819000,4176000,"Listed 47% over supported value — comparable Venice homes sell near $1,123/sqft. Suggested list $8,819,000."
Active,$10M+,1900 Intracoastal Drive,Coral Ridge,Single Family,6139,12495000,2035.0,1355.0,50.2,8318000,4177000,"Listed 50% over supported value — comparable Coral Ridge homes sell near $793/sqft. Suggested list $8,318,000."
Active,$10M+,1719 SE 10th Street,Rio Vista,Single Family,7171,12495000,1742.0,1206.0,44.4,8648000,3847000,"Listed 44% over supported value — comparable Rio Vista homes sell near $800/sqft. Suggested list $8,648,000."
Active,$10M+,24 Fiesta Way,Nurmi Isles,Single Family,6479,12388000,1912.0,1457.0,31.2,9440000,2948000,"Listed 31% over supported value — comparable Nurmi Isles homes sell near $1,071/sqft. Suggested list $9,440,000."
Active,$10M+,1529 Middle River Drive,Coral Ridge,Single Family,6718,11995000,1786.0,1491.0,19.8,10017000,1978000,"Listed 20% over supported value — comparable Coral Ridge homes sell near $793/sqft. Suggested list $10,017,000."
Active,$10M+,2848 NE 26th Pl,Coral Ridge Galt,Single Family,6274,10500000,1674.0,1299.0,28.9,8150000,2350000,"Listed 29% over supported value — comparable Coral Ridge Galt homes sell near $701/sqft. Suggested list $8,150,000."
Active,$5M–$10M,2010 Intracoastal Dr,Coral Ridge,Single Family,4991,9799000,1963.0,1451.0,35.3,7242000,2557000,"Listed 35% over supported value — comparable Coral Ridge homes sell near $793/sqft. Suggested list $7,242,000."
Active,$5M–$10M,440 Mola Ave,Venice,Single Family,6545,9200000,1406.0,1129.0,24.5,7389000,1811000,"Listed 25% over supported value — comparable Venice homes sell near $1,123/sqft. Suggested list $7,389,000."
Active,$5M–$10M,156 Fiesta Way,Nurmi Isles,Single Family,6446,8999000,1396.0,1202.0,16.1,7748000,1251000,"Listed 16% over supported value — comparable Nurmi Isles homes sell near $1,071/sqft. Suggested list $7,748,000."
Pending,$5M–$10M,1528 SE 11th Street,Rio Vista,Single Family,4935,8950000,1814.0,1457.0,24.5,7190000,1760000,"Listed 25% over supported value — comparable Rio Vista homes sell near $800/sqft. Suggested list $7,190,000."
Active,$5M–$10M,2870 NE 24th Place,Coral Ridge Galt,Single Family,5003,7250000,1449.0,1055.0,37.3,5278000,1972000,"Listed 37% over supported value — comparable Coral Ridge Galt homes sell near $701/sqft. Suggested list $5,278,000."
Active,$5M–$10M,2718 NE 17th Street,Coral Ridge,Single Family,5015,7100000,1416.0,1251.0,13.2,6274000,826000,"Listed 13% over supported value — comparable Coral Ridge homes sell near $793/sqft. Suggested list $6,274,000."
Active,$5M–$10M,525 N Fort Lauderdale Beach Boulevard Unit#1801,Four Seasons,Condo,2634,6750000,2563.0,1612.0,59.0,4246000,2504000,"Listed 59% over supported value — comparable Four Seasons homes sell near $1,784/sqft. Suggested list $4,246,000."
Active,$5M–$10M,163 Nurmi Drive,Nurmi Isles,Single Family,4279,6600000,1542.0,1046.0,47.4,4476000,2124000,"Listed 47% over supported value — comparable Nurmi Isles homes sell near $1,071/sqft. Suggested list $4,476,000."
Active,$5M–$10M,1212 E Lake Drive,Harbor Beach,Single Family,5917,6150000,1039.0,918.0,13.2,5432000,718000,"Listed 13% over supported value — comparable Harbor Beach homes sell near $921/sqft. Suggested list $5,432,000."
Active,$5M–$10M,2401 N Atlantic Boulevard,Lauderdale Beach,Single Family,4283,5995000,1400.0,1096.0,27.7,4694000,1301000,"Listed 28% over supported value — comparable Lauderdale Beach homes sell near $1,015/sqft. Suggested list $4,694,000."
Active,$5M–$10M,2000 Harbourview Drive,Harbour Heights,Single Family,4964,5995000,1208.0,1088.0,11.0,5401000,594000,"Listed 11% over supported value — comparable Harbour Heights homes sell near $701/sqft. Suggested list $5,401,000."
Active,$5M–$10M,333 Las Olas Way Unit#4206,Las Olas,Condo,8329,5800000,696.0,449.0,55.0,3740000,2060000,"Listed 55% over supported value — comparable Las Olas homes sell near $627/sqft. Suggested list $3,740,000."
Active,$5M–$10M,2809 NE 24th Pl,Coral Ridge Galt,Single Family,4255,5599999,1316.0,1037.0,26.9,4412000,1188000,"Listed 27% over supported value — comparable Coral Ridge Galt homes sell near $701/sqft. Suggested list $4,412,000."
Active,$5M–$10M,525 N Fort Lauderdale Beach Boulevard Unit#901,Four Seasons,Condo,2184,5350000,2450.0,1579.0,55.2,3449000,1901000,"Listed 55% over supported value — comparable Four Seasons homes sell near $1,784/sqft. Suggested list $3,449,000."
Active,$3M–$5M,506 Victoria Terrace,Victoria Park,Single Family,5086,4995000,982.0,714.0,37.5,3631000,1364000,"Listed 38% over supported value — comparable Victoria Park homes sell near $590/sqft. Suggested list $3,631,000."
