street,neighborhood,geo_type,sold_ppsf,model_ppsf,premium_vs_nbhd,waterfront_share,median_price,n_sold,n_active
Isla Bahia Dr,Isla Bahia,Finger-isle waterfront,1491.0,1308.0,-1.1,1.0,10768100,4,6
Pelican Dr,Pelican Isles,Finger-isle waterfront,1468.0,1171.0,-18.7,1.0,5350000,5,2
Solar Isle Dr,Riviera,Intracoastal / canal waterfront,1432.0,1210.0,5.4,1.0,4512500,4,2
Delmar Pl,Gould Isles,Intracoastal / canal waterfront,1387.0,1612.0,0.0,1.0,6569723,4,5
Nurmi Dr,Nurmi Isles,Finger-isle waterfront,1362.0,1078.0,27.2,1.0,6912500,4,1
Royal Palm Dr,Nurmi Isles,Finger-isle waterfront,1232.0,1215.0,15.0,1.0,7300000,5,0
Coral Way,Coral Isles,Finger-isle waterfront,1224.0,1252.0,-4.0,1.0,5225000,10,3
Aqua Vista Blvd,Lauderdale Isles Re Amend,Finger-isle waterfront,1192.0,1279.0,4.9,1.0,8700000,8,5
Royal Plz Dr,Stilwell Isles,Finger-isle waterfront,1158.0,1134.0,-2.0,1.0,4950000,6,3
Grace Dr,Harbor Beach,Barrier island / beach,1139.0,1090.0,23.7,1.0,3300000,4,0
Sea Island Dr,Seven Isles,Finger-isle waterfront,1138.0,1067.0,2.7,1.0,4370000,7,0
SE 11th St,Rio Vista,Finger-isle waterfront,1123.0,1030.0,40.4,0.67,2704500,6,6
Coconut Isle Dr,Venice,Finger-isle waterfront,1122.0,1098.0,-0.1,1.0,4800000,7,2
N Seabreeze Blvd,Selene Oceanfront Residen,Barrier island / beach,1090.0,1028.0,18.7,0.93,2060000,15,19
SE 14th St,Lauderdale Harbors,Intracoastal / canal waterfront,1067.0,863.0,24.1,0.75,1801000,8,3
Isle Of Palms Dr,Stilwell Isles,Finger-isle waterfront,1060.0,1220.0,-10.3,1.0,6305000,4,5
Castilla Isle,Lauderdale Shores Reamen,Intracoastal / canal waterfront,1028.0,1201.0,-17.3,1.0,4000000,7,0
Fiesta Way,Nurmi Isles,Finger-isle waterfront,988.0,1193.0,-7.7,1.0,4247500,9,5
