"","MLS # Link","St","Area","Address","","Current Price","Style of Property","Type of Property","Total Acreage","Lot SqFt","Location","ZN","Road Description","Land Improvements","For Lease","Sale Price"
"1","F10555481","A","3280","2617 Aqua Vista Boulevard"," ","$12,900,000","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","0.3000","","","RESIDENTIAL","","No Bldg Included","",""
"1","F10556354","A","3270","724-746 NE 3rd Avenue"," ","$9,453,125","Income (Other)","","1.0200","44,250","Central Business District, Urban Area Development","RAC-UV","City/County Maintained","","",""
"1","A11817348","A","3360","1700 E Commercial Blvd","","$4,350,000","Income (Other)","Residential","0.0000","¤15,141","Central Business District","¤CB","Legal Access Road, City/County Maintained","","",""
"1","B26038056","A","3480","2060 SW 16th Court","","$3,295,000","","Unimproved Agri/Recreatn/Moblhome","1.3400","58,617","","RS-8","Paved Road","","",""
"1","B26040453","A","3450","3301 N Dixie Highway","","$2,600,000","","Unimproved Agri/Recreatn/Moblhome","0.6100","16,063","City Location","DCW","City/County Maintained","","",""
"1","B26013064","A","3260","2212 NE 17th Place"," ","$2,200,000","","Unimproved Agri/Recreatn/Moblhome","0.2200","","","RS-8","Paved Road","","",""
"1","F10365069","A","3370","1212 NE 26th St"," ","$2,000,000","Unimproved Multi Family (5+Units)","Income/MultiFamily","0.5200","22,859","Central Business District","LI","Legal Access Road","","",""
"1","F10458964","A","3390","1091 NE 4th Avenue"," ","$1,690,000","Other Style","","0.4300","18,100","City Location","CB","Public Road","","",""
"1","F10518998","A","3470","11 SW 11th Avenue"," ","$1,395,000","Income (Other)","Unimproved Agri/Recreatn/Moblhome","0.3600","","Corner Location, Corner Lot","RMM-25","City/County Maintained, Paved Road","Home","",""
"1","F10396465","A","3700","540 NE 1st Avenue"," ","$870,000","Unimproved Multi Family (5+Units)","","0.1400","","Central Business District, City Location, Inside Lot, Urban Area Development","RAC-UV","","Cleared Land, No Bldg Included","No",""
"1","A11745751","A","3470","1023 W Las Olas Blvd"," ","$760,000","Other Style","","0.2230","9,720","City Location","¤RML-25","Other Road","","",""
"1","B26033788","A","3370","1219 NE 5th Terrace"," ","$747,850","","Unimproved Agri/Recreatn/Moblhome","0.2325","","","RMM-25","City/County Maintained, Paved Road","","",""
"1","B26052395","A","3810","436-440 NW 7th Terrace","","$670,000","","Unimproved Agri/Recreatn/Moblhome","0.1463","","City Location, Urban Area Development","RMM-25","Paved Road","Cleared Land","",""
"1","B26054351","A","3380","1732 NE 15TH Avenue","","$550,000","","Unimproved Agri/Recreatn/Moblhome","0.2242","","","RS-8","Other Road","","",""
"1","A11895168","A","3422","833 NW 12th Ave"," ","$549,999","Other Style","Income/MultiFamily","0.2060","¤8,975","City Location, Other Location","¤RMM-25","Other Road, Public Road","","",""
"1","A12008222","A","3480","2711 SW 15th Ave","","$375,000","Unimproved Multi Family (5+Units)","","0.1400","¤6,200","City Location, Corner Lot, Near Airport","¤RD-15","Public Road","","",""
"1","B26044445","A","3480","1200 Davie Boulevard","","$200,000","","","0.1000","","City Location, Other Location","RMH-25","Paved Road, Private Road","","",""
"1","B26027774","A","3460","727 NW 10th Avenue"," ","$189,000","","Unimproved Agri/Recreatn/Moblhome","0.0800","3,485","","RMM-25","Paved Road","","",""
"1","F10551090","A","3490","325 SW 26th Street"," ","$15,000","Unimproved Industrial/Mfg/Warehouse","","0.7000","33,723","City Location, Industrial Park, Near Business Park, Near Seaport","B-2","City/County Maintained","","Yes",""
"1","F10549870","A","3480","1525 SW 18th Terrace","","$1,500","Boat Dock or Dockominium","","0.1380","","Cul-De-Sac Location","RS-8","Paved Road, Public Road","","Yes",""
"1","F10499403","AC","3800","1225 SE 2nd Avenue","","$1,995,000","Other Style","","0.5000","","City Location, Corner Location, Corner Lot, Near Airport, Near School, Near Seaport, Urban Area Development","ROC","City/County Maintained, Paved Road","","No",""
"1","A11916722","AC","3260","2866 NE 30th St","","$1,500,000","Unimproved Multi Family (5+Units)","Income/MultiFamily","0.2300","¤10,006","Dead-End Location","¤RMM-25","City/County Maintained","","",""
"1","A12025029","AC","3380","0000 NE 11 AVENUE","","$165,000","Other Style","","0.0000","¤3,375","City Location, Inside Lot","00-01","Public Road","Cleared Land","",""
