"","MLS # Link","St","Area","Address","","Current Price","Style of Property","Type of Property","Total Acreage","Lot SqFt","Location","ZN","Road Description","Land Improvements","For Lease","Sale Price"
"1","A11806947","C","3240","200 N Federal Hwy","","$8,000,000","Unimproved Multi Family (5+Units)","Commercial","1.0000","35,000","City Location","¤RAC-EMU","Legal Access Road","","No",""
"1","F10484496","C","3360","4399 N DIXIE HWY","","$5,700,000","Unimproved Business/Commercial","Commercial","0.4810","20,951","Central Business District, City Location, Corner Location, Corner Lot","B-3","City/County Maintained, Main Thoroughfare, U.S. Highway","","",""
"1","A10738831","C","3280","313-317 Hendricks Isle","","$5,000,000","Income (Other)","Income/MultiFamily","1.0000","15,625","Beach Area, Central Business District, City Location, Urban Area Development","RMM-25","Legal Access Road, City/County Maintained, Public Road","","",""
"1","A11852675","C","3580","840 SW 24th St","","$4,995,000","Unimproved Business/Commercial","","1.1800","51,400","City Location, Corner Lot, Near Airport, Near Seaport","¤B-1","Legal Access Road, City/County Maintained, State Road","","",""
"1","A11948941","C","3280","801 SE 11th Ct","","$4,150,000","Income (Other)","Residential","0.0000","¤8,674","City Location","¤RS-8","Public Road","","",""
"1","F10440867","C","3800","311 SE 7th St","","$1,995,000","Other Style","Commercial","0.1900","8,400","Central Business District, City Location","RAC-CC","Public Road","Home","",""
"1","A11751033","C","3250","1383 NE 34th Ct","","$1,850,000","Other Style","Residential","0.5700","24,803","City Location, Corner Location, Corner Lot, Near Business Park","TD- townhome Distric","City/County Maintained, Public Road","Home","",""
"1","A11928787","C","3460","501 NW 7th Ter","","$1,600,000","Unimproved Multi Family (5+Units)","Other","0.4650","¤20,250","Central Business District, City Location, Corner Location, Corner Lot","¤RMM-25","City/County Maintained, Public Road","","",""
"1","A11702176","C","3250","1795 NW 8th Ave","","$850,000","Unimproved Business/Commercial","","0.3270","¤14,248","City Location, Corner Location, Corner Lot","¤RDS-15","Public Road","","",""
"1","A11810729","C","3424","833 NW 12th Ave","","$599,000","Other Style","","0.2000","¤8,975","City Location, Other Location","¤RMM-25","Other Road","","",""
"1","A11742280","C","3450","3361 NE 11th Ave","","$599,000","Other Style","","0.0000","¤12,918","Other Location","¤DCW","Public Road","","",""
"1","A11622441","C","3460","833-839 NW 12th Ave","","$499,000","Unimproved Multi Family (5+Units)","Other","0.2100","¤8,975","City Location, Urban Area Development","¤RMM-25","County Road","","",""
"1","R10999207","C","3570","1000 Sistrunk Boulevard","","$475,000","","Commercial","","6,920","City Location","RAC-MUW","Public Road","Cleared Land","",""
"1","R10999198","C","3570","000 Sistrunk Boulevard","","$475,000","","Commercial","","6,282","City Location","RAC-MUW","Paved Road","Cleared Land","",""
"1","A11742281","C","3450","3381 NE 11th Ave","","$399,000","Other Style","","0.0000","¤5,877","Other Location","¤DCW","Public Road","","",""
"1","A11767323","C","3600","902 SE 13th St","","$399,000","Unimproved Multi Family (5+Units)","","0.0780","¤3,375","Other Location","RML-25","Public Road","","",""
"1","A11695929","C","3390","1717 NW 7th Ter","","$199,999","Other Style","Residential","0.1799","¤7,838","Inside Lot","¤RDS-15","Public Road","","",""
"1","A11516739","C","3460","654 NW 22nd Rd","","$185,000","Unimproved Business/Commercial","Commercial","5,003.0000","¤5,003","Other Location","¤CB","Legal Access Road, Public Road","","",""
"1","A11744703","C","3560"," NW 14 Ave","","$69,999","Other Style","Commercial","0.0500","¤2,475","City Location","¤RM-15","City/County Maintained","","",""
"1","A11744697","C","3560"," NW 14 Ave","","$69,999","Other Style","Commercial","0.0500","¤2,475","City Location","¤RM-15","City/County Maintained","","",""
"1","A11744371","C","3560"," NW 7 Pl","","$69,999","Unimproved Single Family (5+ Lots)","Commercial","0.0500","¤2,475","City Location","¤RM-15","City/County Maintained","","",""
"1","F10436889","C","3140","900 NE 20th Avenue","","$3,500","Boat Dock or Dockominium","","0.5000","8,407","City Location","B-1","","No Bldg Included","",""
"1","F10474378","C","3260","1821 Middle River Drive","","$850","Boat Dock or Dockominium","","0.0000","24,797","City Location","RM-15","Public Road","No Bldg Included","Yes",""
"1","F10516263","W","3270","2505 N Dixie Hwy","","$6,150,000","Other Style","Other","0.5950","25,936","Central Business District, City Location, Corner Location, Urban Area Development","","Legal Access Road","","",""
"1","F10519710","W","3800","121 Rose Dr","","$1,700,000","Other Style","Commercial","0.8500","37,406","Central Business District, City Location, Cul-De-Sac Location","ROA","City/County Maintained","","",""
"1","A12040733","W","3370","1128 NE 2nd Ave","","$425,000","Other Style","","0.2325","¤10,129","City Location, Inside Lot, Other Location","¤RD-15","Legal Access Road, City/County Maintained","","",""
"1","F10404453","X","5940 Florida Other"," Other","","$23,713,300","Unimproved Business/Commercial","Unimproved Agri/Recreatn/Moblhome","100.0000","4,399,746","Other Location","","","Nursery","",""
"1","F10478791","X","3170","125 N Birch","","$23,000,000","Other Style","Commercial","0.6500","28,321","Beach Area","","City/County Maintained","","",""
"1","F10492467","X","3390","601 W Sunrise Boulevard","","$18,000,000","Unimproved Business/Commercial","Unimproved Agri/Recreatn/Moblhome","0.8000","35,131","Central Business District","B-1","City/County Maintained","","",""
"1","A11576011","X","3810","620 NE 2nd St","","$15,000,000","Unimproved Multi Family (5+Units)","","0.2872","¤12,420","City Location","¤RAC-EMU","City/County Maintained","","",""
"1","F10429052","X","3810","114 NW 5th Street","","$7,700,000","Unimproved Multi Family (5+Units)","Unimproved Agri/Recreatn/Moblhome","0.6400","8,126","Central Business District, City Location","RAC-UV","City/County Maintained","","",""
"1","F10429071","X","3810","431 NW 1st Avenue","","$6,500,000","Unimproved Multi Family (5+Units)","Unimproved Agri/Recreatn/Moblhome","0.3700","15,937","Central Business District, City Location","RAC-UV","City/County Maintained","","",""
"1","A11252716","X","3380","1010 NE 17th Ave","","$5,999,999","Unimproved Business/Commercial","Commercial","0.3300","13,502","City Location, County Location","B1","City/County Maintained","","No",""
"1","A11606681","X","3760","705 NW 8th Ave","","$4,500,000","Unimproved Industrial/Mfg/Warehouse","","0.5100","22,031","Central Business District, Corner Location, Industrial Park, Urban Area Development","¤I","City/County Maintained","","",""
"1","A11578189","X","3810","620 NE 2nd St","","$4,500,000","Unimproved Multi Family (5+Units)","","0.2872","¤12,420","City Location","¤RAC-EMU","City/County Maintained","","",""
"1","A11338988","X","3390","2605 N Andrews Ave","","$3,900,000","Unimproved Business/Commercial","","1.2500","¤57,209","Central Business District, City Location, Inside Lot","¤B-2","City/County Maintained, Main Thoroughfare, Public Road","","No",""
"1","A10991433","X","3390","2605 N Andrews Ave","","$3,900,000","Unimproved Business/Commercial","Commercial","1.3100","","Central Business District","Mixed Use","County Road, Main Thoroughfare, Public Road","","No",""
"1","A11636563","X","3400","2605 N Andrews Ave","","$3,900,000","Unimproved Multi Family (5+Units)","","1.3100","¤57,209","City Location","TOC-W","Other Road","","",""
"1","A11588835","X","3400","2605 N Andrews Ave","","$3,900,000","Unimproved Multi Family (5+Units)","","1.3100","¤57,209","City Location","TOC-W","Other Road","","",""
"1","A11541156","X","3370","1401 NE 5th Ave","","$3,499,000","Income (Other)","","1.0000","¤13,497","Central Business District, Corner Lot, Near School","¤RM-15","City/County Maintained","","",""
"1","A11793846","X","3431","2605 N Andrews Ave","","$3,200,000","Other Style","","1.3100","43,560","Other Location","TOC-W","Other Road","","",""
"1","F10482724","X","3570","1551 Davie Boulevard","","$3,200,000","Other Style","Unimproved Agri/Recreatn/Moblhome","1.1000","49,530","City Location, Near Seaport","RM15","City/County Maintained","","",""
"1","F10437254","X","3700","418 NE 2nd Avenue","","$2,899,000","Unimproved Multi Family (5+Units)","","0.2900","12,750","Central Business District, City Location, Inside Lot","RAC-CC","City/County Maintained, Public Road","","",""
"1","F10527110","X","3450","3301 N Dixie Highway","","$2,800,000","Unimproved Multi Family (5+Units)","Unimproved Agri/Recreatn/Moblhome","0.6100","16,063","City Location","CRA- Mix","City/County Maintained","","",""
"1","F10446368","X","3390","117 NW 24th St","","$2,750,000","Income (Other)","Residential","0.9300","40,196","City Location","RM-16","City/County Maintained","","No",""
"1","F10283577","X","3470","1122 W Broward Blvd","","$2,650,000","Unimproved Business/Commercial","Other","0.1808","7,875","City Location, Corner Lot, Urban Area Development","B-1","Public Road, State Road","","",""
"1","F10506525","X","3600","1848 SE 1st Avenue","","$2,624,000","Unimproved Business/Commercial","Unimproved Agri/Recreatn/Moblhome","0.4300","18,750","Central Business District, City Location","ROA","City/County Maintained","","",""
"1","F10502240","X","3450","606 NW 8th Avenue","","$2,600,000","Unimproved Business/Commercial","Unimproved Agri/Recreatn/Moblhome","0.3900","16,875","City Location","CB","City/County Maintained","","No",""
"1","A11520675","X","3450","1091 NE 36th St","","$2,000,000","Unimproved Multi Family (5+Units)","Income/MultiFamily","0.3100","13,640","City Location, Corner Lot, Shopping Center, Urban Area Development","¤DCW","City/County Maintained","","",""
"1","A11593800","X","3240","1501 NE 26th Ave","","$1,935,000","Other Style","Residential","0.2700","¤11,821","City Location","¤RM-15","Legal Access Road","","",""
"1","F10448128","X","3390","417,419+435 NW 7th Ave","","$1,900,000","Unimproved Business/Commercial","Commercial","0.4800","21,000","Central Business District, City Location","NWRAC-MU","County Road, City/County Maintained, Main Thoroughfare","Cleared Land, No Bldg Included","",""
"1","F10507610","X","3600","1852 SE 1st Avenue","","$1,899,000","Other Style","","0.1400","6,250","Central Business District, City Location","ROA","City/County Maintained","","",""
"1","R11115145","X","3470","923 W Las Olas Boulevard Unit#1-2","","$1,826,000","","Commercial","0.3000","13,002","City Location","RML-25","City/County Maintained","No Bldg Included","",""
"1","F10481792","X","3390","417,419+435 NW 7th Ave","","$1,700,000","Unimproved Business/Commercial","Commercial","0.4800","21,000","Central Business District, City Location","NWRAC-MU","County Road, City/County Maintained, Main Thoroughfare","Cleared Land, No Bldg Included","",""
"1","A11552252","X","3260","436 SW 4th Ave","","$1,695,000","Other Style","","0.1600","¤7,250","City Location","¤RAC-SMU","City/County Maintained","","",""
"1","F10337483","X","3600","803 SE 13th Street","","$1,600,000","Unimproved Multi Family (5+Units)","","0.3300","14,300","City Location","RML-25","City/County Maintained","","",""
"1","F10483779","X","3260","2415 NE 11th St","","$1,500,000","Other Style","Commercial","0.1900","8,398","Beach Area, City Location","RMH-60","Legal Access Road, Public Road","","",""
"1","F10463669","X","3380","1451 NE 10th Ave","","$1,190,000","Other Style","Income/MultiFamily","0.4000","17,261","City Location, Urban Area Development","RMM-25","Legal Access Road, City/County Maintained","","",""
"1","R11106512","X","3190","449 NE 1st Avenue","","$1,050,000","","Commercial","","6,375","Central Business District, City Location","RAC-UV","City/County Maintained","Cleared Land","",""
"1","A11791673","X","3010","916 NW 9th Ave","","$955,000","Other Style","","0.1550","¤6,750","Central Business District, Near Airport, Near Business Park, Urban Area Development","¤B-3","Legal Access Road, City/County Maintained, Public Road","","",""
"1","R11164319","X","3570","1000 NW Sistrunk Boulevard","","$950,000","","Unimproved Agri/Recreatn/Moblhome","0.1589","","City Location","NWRAC-","City/County Maintained, Public Road","Cleared Land","",""
"1","A11770700","X","3480","836 SW 18th Ct","","$869,999","Other Style","","0.3300","¤14,257","Corner Location, Corner Lot, Near School, Near Seaport","¤RS-8","City/County Maintained","","",""
"1","A11688231","X","3490","201 SW 11th Ct","","$590,000","Unimproved Single Family (5+ Lots)","Residential","0.8000","¤6,421","Corner Lot, Cul-De-Sac Location","¤RD-15","City/County Maintained, Public Road","","No",""
"1","F10481929","X","3390","435 NW 7th Ave","","$495,000","Unimproved Business/Commercial","Commercial","0.1297","5,625","Central Business District, City Location, Urban Area Development","RAC-MUw","County Road, City/County Maintained, Main Thoroughfare","","",""
"1","A11720676","X","3020","918 NW 13th Ave","","$420,000","Unimproved Multi Family (5+Units)","Income/MultiFamily","0.2300","10,000","City Location, Near Airport, Near School, Urban Area Development","¤RMM-25","County Road, City/County Maintained, Public Road","Cleared Land","No",""
