"","MLS # Link","St","Area","Address","","Current Price","Style of Property","Type of Property","Total Acreage","Lot SqFt","Location","ZN","Road Description","Land Improvements","For Lease","Sale Price"
"1","A11653133","CS","3280","50 Isle Of Venice Dr","","$4,500,000","Unimproved Hotel/Motel","Residential","0.3300","¤14,400","Beach Area, City Location","¤RMM-25","Other Road, Public Road","","No","$4,500,000"
"1","A11653113","CS","3280","94-96 Hendricks Isle","","$4,375,000","Unimproved Multi Family (5+Units)","Income/MultiFamily","0.2900","¤12,500","Beach Area, City Location","¤RMM-25","Public Road","","No","$4,375,000"
"1","B26003171","CS","3280","2520 Delmar Place","","$3,525,000","","Unimproved Agri/Recreatn/Moblhome","0.2066","","City Location, Other Location, Shopping Center","RS-4.4","","Cleared Land, No Bldg Included","","$3,525,000"
"1","F10438807","CS","3270","16-20 NE 8th Ave","","$2,550,000","Other Style","Other","0.2975","12,960","Central Business District, City Location, Corner Location","RMM-25","City/County Maintained, Public Road","","","$2,550,000"
"1","F10489436","CS","3500","618 SW Flagler Ave","","$1,195,000","Unimproved Business/Commercial","Commercial","0.1600","4,750","Central Business District, Urban Area Development","","Legal Access Road","","","$1,195,000"
"1","A11384333","CS","3370","1048 E Oakland Park Blvd","","$1,150,000","Unimproved Multi Family (5+Units)","Commercial","0.4200","¤18,499","Central Business District, City Location, Corner Lot","¤MR","City/County Maintained","","","$1,150,000"
"1","B26015213","CS","3470","806 SW 4th Street","","$825,000","","Unimproved Agri/Recreatn/Moblhome","0.3214","14,000","","rml 25","Paved Road","","","$825,000"
"1","A11769359","CS","3800","217 SE 10th St","","$600,000","Other Style","","0.1060","¤4,633","City Location","¤RAC-RPO","City/County Maintained","","","$600,000"
"1","F10507170","CS","3450","3361 NE 11th Ave","","$552,000","Other Style","Other","0.0000","12,918","Other Location","DCW","Public Road","","","$552,000"
"1","F10507171","CS","3450","3381 NE 11th Ave","","$372,500","Other Style","Commercial","0.0000","5,877","Other Location","DCW","Public Road","","","$372,500"
"1","F10521523","CS","3800","1800 1 Avenue","","$625,000","Unimproved Business/Commercial","Unimproved Agri/Recreatn/Moblhome","0.2000","8,866","Central Business District, City Location","ROA","Public Road","","","$625,000"
"1","F10519404","CS","3600","1801 SE 17th Street","","$235,000","Boat Dock or Dockominium","","0.0000","747","Near Seaport","B-1","Paved Road, Private Road, Public Road","No Bldg Included","","$235,000"
"1","A11617002","CS","3390","405 NW 19th Ave","","$90,000","Other Style","","0.1200","¤5,250","Other Location","¤RS-8","Legal Access Road, County Road, City/County Maintained","","","$90,000"
"1","R11080126","CS","3311","1036 NW 9th Avenue","","$1,900","","Unimproved Agri/Recreatn/Moblhome","0.0084","365","","","","","","$1,900"
"1","B26012642","PS","3600","1248 Cordova Road","","$1,875,000","","Unimproved Agri/Recreatn/Moblhome","0.2000","8,688","City Location","RS-8","City/County Maintained, Paved Road","Cleared Land","",""
