"","MLS # Link","St","Area","Address","","Current Price","Total Units","SqFt LA","Style ","Year Built","#Parking Spaces","Subdivision Name","Pool YN","Waterfront Property (Y/N)","Sale Price"
"1","A11822054","A","3600","824 SE 12th Ct","","$15,000,000","","","I04","2025","28","¤EVERGLADE LAND SALES CO","No","No",""
"1","A12014895","A","3460","225 NW 14th Ave","","$4,880,000","","¤1,250","I04","2007","2","¤SEMINOLE FOREST","No","No",""
"1","A11778453","A","3270","425 NE 8th St"," ","$4,000,000","","¤2,903","I04","1964","4","¤PROGRESSO RESUB","No","No",""
"1","A12008442","A","3380","1122 NE 10"," ","$2,995,000","2","2,814","I02","2025","4","PROGRESSO","Yes","No",""
"1","F10555291","A","3450","560-564 NE 34th Street","","$2,600,000","4","6,930","","1970","","Oakland Park Second Add","Yes","No",""
"1","A12007353","A","3280","1305 SE 1st St","","$2,499,000","","¤4,219","I04","1980","5","¤COLEE HAMMOCK","No","No",""
"1","A11969365","A","3370","2201 NE 14th Ave","","$2,497,000","9","¤7,551","I04","1959","14","¤EDGEWATER ESTATES 1ST ADD","No","No",""
"1","A12045150","A","3270","1215 E Broward Blvd","","$2,490,000","","¤3,880","I04","1951","0","¤DAMES & YOUNG RESUB BLK","No","No",""
"1","B26042759","A","3270","615 & 617 NE 9th Avenue","","$2,235,000","4","4,655","","1957","","Progresso 2-18 D","Yes","No",""
"1","A12044962","A","3270","1730 NE 7th St unit 1-5","","$2,149,000","5","¤3,157","I04","1960","6","¤VICTORIA PARK CORR AMEN P","No","No",""
"1","R11113803","A","3270","625 NE 13th Avenue"," ","$2,089,000","4","3,789","","1954","","PROGRESSO","Yes","No",""
"1","B26011035","A","3390","1026-1044 NW 7th Avenue"," ","$2,050,000","4","6,024","","1949","","PROGRESSO","No","No",""
"1","A11959199","A","3480","847 SW 29th St","","$1,850,000","2","2,447","I02","2025","2","¤WOODLAWN","No","No",""
"1","A11902800","A","3810","926 - 932 NW 2nd St"," ","$1,790,000","4","1,811","I04","2023","12","¤SEMINOLE ADD F R OLIVERS","No","No",""
"1","A12045284","A","3470","620 sw 7th St unit 1-6","","$1,749,000","","¤2,809","I04","1960","6","¤PINEWOOD PLACE RESUB PT","No","No",""
"1","F10472240","A","3130","4548 N Ocean"," ","$1,725,000","4","1,150","","1973","","Lauderdale by the sea","No","No",""
"1","F10540264","A","3160","2613-2615 NE 33rd Avenue","","$1,700,000","2","2,189","","1953","","LAUDERDALE BEACH EXT UNIT","Yes","No",""
"1","F10554588","A","3380","1501 NE 7th Avenue"," ","$1,620,000","4","794","","1973","","The Terrace Condos Inc","Yes","No",""
"1","A12019409","A","3390","811-817 NW 3rd Ave"," ","$1,599,000","","¤1,032","I04","2022","9","¤PROGRESSO","No","No",""
"1","B26048230","A","3370","50 NE 30th Court Unit#1-2","","$1,525,000","4","2,215","","1969","","ALMAR ESTATES RESUB","Yes","Yes",""
"1","A11972678","A","3250","1236 NE 18th Ave"," ","$1,499,000","","¤3,569","I03","1955","2","¤LAKE RIDGE ADDITION","Yes","Yes",""
"1","A12052846","A","3450","1099 NE 35th St","","$1,499,000","4","¤3,858","I04","1985","8","¤OAKLAND PARK SECOND ADD","No","No",""
"1","A12039042","A","3460","440 NE 1st Ave","","$1,450,000","2","¤1,337","I02","1958","2","¤NORTH LAUDERDALE AMENDED","No","No",""
"1","A11946433","A","3470","640 SW 16th Ave"," ","$1,450,000","4","¤4,855","I04","1976","5","¤RIVERSIDE NO 2","No","No",""
"1","F10554505","A","3130","258 Basin Drive","","$1,395,000","2","1,620","","1955","","Silver Shores-Sub Tr D","No","No",""
"1","F10519002","A","3470","11 SW 11th Avenue"," ","$1,395,000","2","2,480","","1922","","Waverly Place 2-19 D","No","No",""
"1","A12048001","A","3270","1634 NE 4th Pl"," ","$1,375,000","4","¤2,779","I04","1966","5","¤MIDDLE RIVER PARK","No","No",""
"1","A12010891","A","3470","608 SW 16th Ave"," ","$1,375,000","4","¤4,855","I04","1970","5","¤RIVERSIDE NO 2","No","No",""
"1","A12022835","A","3080","1109 NE 16th Ter","","$1,355,000","","¤2,276","I04","1952","5","¤PROGRESSO","Yes","No",""
"1","A12040148","A","3130","4325 Bougainvilla Dr","","$1,350,000","","¤1,910","I02","1953","5","¤LAUDERDALE BY THE SEA","No","No",""
"1","A11978701","A","3130","4512 Seagrape Dr"," ","$1,350,000","","¤2,377","I02","1960","8","¤SILVER SHORES SEC OF LAUD","No","No",""
"1","A11974108","A","3470","620 SW 10th St","","$1,350,000","2","¤1,376","I02","1964","7","¤CROISSANT PARK RIVER SEC","No","No",""
"1","B26021184","A","3500","634 SW 4th Avenue Unit#1-2"," ","$1,350,000","2","1,658","","1970","","FT LAUDERDALE B-40","No","No",""
"1","B26010851","A","3260","2633 Middle River Drive Unit#1-6"," ","$1,349,000","2","4,854","","1957","","CORAL RIDGE GALT ADD NO 1","No","No",""
"1","F10542774","A","3130","4436 Seagrape Drive"," ","$1,335,000","2","2,090","","1957","","Silver Shores Sec Of Laud","No","No",""
"1","B26012263","A","3140","4532 Poinciana Street"," ","$1,325,000","4","2,145","","1964","","Silver Shores","Yes","No",""
"1","A12016812","A","3600","830 SE 14th St"," ","$1,320,000","","¤1,902","I04","2021","6","¤EVERGLADE LAND SALES CO","No","No",""
