"","MLS # Link","St","Area","Address","","Current Price","Total Units","SqFt LA","Style ","Year Built","#Parking Spaces","Subdivision Name","Pool YN","Waterfront Property (Y/N)","Sale Price"
"1","A11822050","C","3600","824 SE 12th Ct","","$14,000,000","","","I04","2025","28","¤EVERGLADE LAND SALES CO","No","No",""
"1","A11753400","C","3600","824 SE 12th Ct","","$14,000,000","","","I04","2025","28","¤EVERGLADE LAND SALES CO","No","No",""
"1","F10485707","C","3170","2100 Miami Rd","","$9,399,000","","25,500","I04","2024","31","Everglade Land Sales Co F","No","No",""
"1","F10541130","C","3720","648 NE 16th Terr","","$6,000,000","2","1,484","","1939","4","Greens Sub 19-18 B","No","No",""
"1","A11743464","C","3380","1220-1226 NE 15th Ave","","$5,500,000","","10,650","I04","2023","8","¤PROGRESSO","Yes","No",""
"1","A11810668","C","3700","730 NE 5th Ave","","$3,800,000","7","3,333","I04","1939","9","¤PROGRESSO","No","No",""
"1","A11608748","C","3140","4220 Seagrape Dr","","$3,199,000","","¤3,245","I04","1956","8","¤SILVER SHORES UNIT","Yes","No",""
"1","A11574328","C","3370","2201 NE 14th Ave","","$2,900,000","9","¤7,551","I04","1959","14","¤EDGEWATER ESTATES 1ST ADD","No","No",""
"1","A11934262","C","3380","1319 NE 13th Ave","","$2,850,000","2","4,992","I02","2025","12","¤HOLIDAY HEIGHTS","Yes","No",""
"1","F10468793","C","3280","1621 E Broward Blvd","","$2,800,000","2","3,227","I02","2024","4","Victoria Park Corr Amd","No","No",""
"1","F10531472","C","3370","624 NE 29th Drive","","$2,795,000","4","9,196","","2011","","Amended Of Highland Estat","No","No",""
"1","A11660493","C","3190","1740-1746 N Dixie Hwy","","$2,550,000","4","9,446","I04","2008","2","¤DIXIE TOWNHOME VILLAS","No","No",""
"1","F10491096","C","3270","615 & 617 NE 9th Ave","","$2,499,000","5","4,487","I03","1957","9","Progresso 2-18 D","Yes","No",""
"1","A11881974","C","3370","2201 NE 14th Ave","","$2,499,000","9","¤7,551","I04","1959","14","¤EDGEWATER ESTATES 1ST ADD","No","No",""
"1","F10422329","C","3280","1305 SE 1st St","","$2,400,000","4","4,107","I04","1960","5","Colee Hammock 1-17 B","No","No",""
"1","R10990586","C","3270","245-279 NW 32nd Street","","$2,300,000","4","6,419","","1976","","BOULEVARD VILLAS","No","No",""
