"","MLS # Link","St","Area","Address","","Current Price","Total Units","SqFt LA","Style ","Year Built","#Parking Spaces","Subdivision Name","Pool YN","Waterfront Property (Y/N)","Sale Price"
"1","F10505721","CS","3260","2732 NE 15th St","","$8,750,000","8","7,776","I04","1951","16","Coral Ridge 21-50 B","Yes","Yes","$8,750,000"
"1","F10433701","CS","3280","132 Isle Of Venice Dr","","$8,650,000","15","12,500","I04","1964","22","Nurmi Isles Island 4 24-4","Yes","Yes","$8,650,000"
"1","A11657132","CS","3280","50 Isle Of Venice Dr","","$4,500,000","","","I04","1987","0","¤NURMI ISLES ISLAND NO 4","No","Yes","$4,500,000"
"1","A11657122","CS","3280","94-96 Hendricks Isle","","$4,375,000","","¤4,252","I02","1956","0","¤VICTORIA ISLES","No","Yes","$4,375,000"
"1","F10545263","CS","3160","525 Antioch Avenue","","$2,700,000","4","6,701","","1959","","Birch Ocean Front Sub 19-","No","No","$2,700,000"
"1","B26049619","CS","3270","1008-1014 NE 4th Street","","$3,000,000","4","3,847","","1953","","Stranahans Sub 3-115 D 2-","Yes","No","$3,000,000"
"1","F10380271","CS","3280","405-407 Hendricks Isle","","$2,600,000","2","3,616","I02","1980","5","VICTORIA ISLES","Yes","Yes","$2,600,000"
"1","F10486930","CS","3140","4241 El Mar Dr","","$2,300,000","","3,062","I03","1964","4","Lauderdale By The Sea 6-2","Yes","No","$2,300,000"
"1","F10545432","CS","3280","1007 SE 2nd Court","","$1,950,000","2","2,720","","1956","","Colee Hammock 1-17 B","No","No","$1,950,000"
"1","F10468301","CS","3260","1353 Bayview Dr","","$2,050,000","7","4,061","I03","1955","10","Beach Way Heights","No","No","$2,050,000"
"1","A11755927","CS","3190","1740-1746 N Dixie Hwy","","$1,750,000","4","9,446","I04","2008","2","¤DIXIE TOWNHOME VILLAS","No","No","$1,750,000"
"1","F10448793","CS","3130","2918 Banyan St","","$1,800,000","4","2,405","I04","1958","5","Las Olas By The Sea Re-Am","No","No","$1,800,000"
"1","A11661496","CS","3720","116 NW 41st St","","$1,900,000","4","¤8,076","I04","2023","11","¤PROSPECT GARDENS","No","No","$1,900,000"
"1","F10504301","CS","3720","333 NW 41st Street","","$1,925,000","1","2,000","","1950","","Prospect Gardens 22-26 B","No","No","$1,925,000"
"1","B26008849","CS","","1415 SE 2nd Street Unit#1-4","","$1,380,000","4","2,618","","1958","","COLEE HAMMOCK","No","No","$1,380,000"
"1","A11696103","CS","3280","1521 SE 2nd Ct","","$1,780,000","8","5,006","I04","1962","4","¤COLEE HAMMOCK","No","No","$1,780,000"
"1","B26008861","CS","","1407 SE 2nd Street Unit#1-4","","$1,500,000","2","2,963","","1940","","COLEE HAMMOCK","No","No","$1,500,000"
"1","A11923217","CS","3480","1720 SW 20th St","","$1,770,000","2","¤2,321","I02","2024","4","¤OSCEOLA PARK","No","No","$1,770,000"
"1","F10500242","CS","3280","97 Hendricks Isle","","$1,700,000","2","2,416","I02","1957","5","Victoria Isles","No","Yes","$1,700,000"
"1","A11842530","CS","3720","402 NW 41st St","","$1,751,000","","5,390","I04","2025","10","¤PROSPECT GARDENS","No","No","$1,751,000"
"1","F10551556","CS","3240","4213 NE 21st Avenue","","$1,600,000","1","5,208","","1961","","CORAL RIDGE COUNTRY CLUB","No","No","$1,600,000"
"1","A11827182","CS","3480","2107 SW 18th Ave","","$1,600,000","","¤3,732","I02","2024","4","¤OSCEOLA PARK","No","No","$1,600,000"
"1","F10531668","CS","3370","621 NE 28th Street","","$1,575,000","4","3,150","","1974","","Resub Of Highland Estates","No","No","$1,575,000"
"1","F10483285","CS","3280","21 SE 11th Ave","","$1,500,000","4","3,448","I04","1959","5","Beverly Heights","Yes","No","$1,500,000"
"1","F10401910","CS","3270","604 NE 9th Ave","","$1,540,000","","3,992","I03","1974","6","Progresso 2-18 D","No","No","$1,540,000"
"1","F10488973","CS","3380","1501 NE 12th St","","$1,050,000","","1,985","I04","1958","9","Progresso 2-18 D","No","No","$1,050,000"
"1","A11638677","CS","3250","2756 NE 32nd St","","$1,375,000","5","¤3,054","I04","1959","14","CORAL RIDGE GALT","No","No","$1,375,000"
"1","B26002580","CS","3160","3220-3224 NE 26th Street","","$1,374,000","2","2,459","","1958","","LAUDERDALE BEACH","No","No","$1,374,000"
"1","F10552378","CS","3270","804 N Victoria Park Road","","$1,475,000","4","3,464","","1961","","Progresso 2-18 D","No","No","$1,475,000"
"1","F10433311","CS","3390","281 NW 40th St","","$1,450,000","7","4,393","I04","1964","9","Prospect Gardens 22-26 B","No","No","$1,450,000"
"1","F10481119","CS","3160","2904 N Ocean Blvd","","$1,400,000","","2,474","I04","1951","6","Lauderdale Beach 4-2 B","No","No","$1,400,000"
"1","A11913839","CS","3160","2513 NE 33 rd Ave","","$1,250,000","2","¤2,275","I02","1962","4","¤LAUDERDALE BEACH EXT UNIT","No","No","$1,250,000"
"1","F10458974","CS","3280","1314 SE 1st Street","","$1,125,000","3","2,388","","1958","","Colee Hammock 1-17 B","No","No","$1,125,000"
"1","F10482800","CS","3380","1112 NE 17 Terr","","$1,125,000","4","2,425","I04","1947","6","Progresso 2-18D","No","No","$1,125,000"
"1","A11846528","CS","3280","1314 SE 1 st","","$1,300,000","","¤3,900","I03","1958","3","¤COLEE HAMMOCK","No","No","$1,300,000"
"1","A11704038","CS","3720","421 NW 40th Ct","","$1,200,000","4","5,984","I04","2009","7","¤PROSPECT GARDENS","No","No","$1,200,000"
"1","R11096724","CS","3280","16 SE 9th Avenue","","$1,300,000","3","1,755","","1954","","Beverly Heights","Yes","No","$1,300,000"
"1","A11836389","CS","3370","2435 N Dixie Hwy","","$1,395,000","","","I04","1950","8","WILTON MANORS UNIT 1 AMD P","No","No","$1,395,000"
"1","A11794920","CS","3270","801 NE 18th Ave #1-4","","$1,350,000","3","¤2,776","I04","1960","5","¤PROGRESSO","No","No","$1,350,000"
"1","F10459995","CS","3370","508-512 NE 24th St","","$1,200,000","4","2,826","I04","1958","6","Re-Amended Wilton Manors","No","No","$1,200,000"
"1","A11657601","CS","3740","716 SW 9th Ter","","$1,230,000","","¤6,108","I02","2008","4","¤NEW UTOPIA","No","No","$1,230,000"
"1","A11852594","CS","3280","1213 SE 1st St","","$1,349,000","","¤2,809","I04","1964","4","¤COLEE HAMMOCK","No","No","$1,349,000"
"1","F10399789","CS","3380","1108 NE 16th Ter","","$1,225,000","","3,300","I04","1946","6","Progresso 2-18 D","No","No","$1,225,000"
"1","F10456036","CS","3470","911 SW 11th Ave","","$1,160,000","2","1,410","I02","1946","4","VINIKS SUB","No","Yes","$1,160,000"
"1","F10456205","CS","3600","511 SE 9th Ave","","$950,000","2","2,362","I02","1958","4","Rio Vista C J Hectors Res","No","No","$950,000"
"1","A11761279","CS","3370","634 NE 20th St","","$1,200,000","","¤3,136","I02","1972","4","¤TROPICAL GARDENS AMENDED","Yes","Yes","$1,200,000"
"1","R11162050","CS","3390","934 NW 4th Avenue Unit#1-4","","$1,275,000","4","2,595","","1958","","PROGRESSO","No","No","$1,275,000"
"1","B26008950","CS","","1405 SE 2nd Street","","$1,200,000","2","2,046","","1941","","COLEE HAMMOCK","No","No","$1,200,000"
"1","F10555367","CS","3250","2732 NE 32 Street","","$1,095,446","4","3,240","","1962","","CORAL RIDGE GALT ADD","No","No","$1,095,446"
"1","A11858941","CS","3280","1121 NE 2nd St","","$1,200,000","","2,085","I04","1959","6","¤STRANAHANS SUB","No","No","$1,200,000"
