"","MLS # Link","St","Area","Address","Current Price","Total Acreage","Property SqFt","Lot Description","ZN","Subdivision Name","Road Description","Waterfront Property (Y/N)","Style of Property","Type of Property","Sale Price"
"1","B26042914","A","3280","1000 Riviera Isle Drive","$29,950,000","1.2100","","1 To Less Than 2 Acre Lot, East Of US 1","RS-8","Kents Island 15-22 B","Paved Road","Yes","","Unimproved Agri/Recreatn/Moblhome",""
"1","B26013046","A","3490","1031 SW 28th Street","$9,900,000","5.2400","","5 To Less Than 10 Acre Lot","RD-15","Edgewood","","No","","Unimproved Agri/Recreatn/Moblhome",""
"1","B26049914","A","3170","2455 Del Lago Drive","$8,299,000","0.3600","","1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre","RS-4.4","DEL LAGO ISLE","Paved Road","Yes","","Unimproved Agri/Recreatn/Moblhome",""
"1","B26050094","A","3160","2900 N Atlantic Boulevard","$7,800,000","0.2230","","Less Than 1/4 Acre Lot, Less Than 1 Acre","RS-8","LAUDERDALE BEACH","","Yes","","Unimproved Agri/Recreatn/Moblhome",""
"1","A12017623","A","3600","1776 SE 9th St","$5,490,000","0.2100","9,375","Less Than 1/4 Acre Lot","¤RS-4.4","RIO VISTA ISLES","City/County Maintained, Other Road, Paved Road","Yes","Zoned Residential","Residential",""
"1","B26010531","A","3130","3 Winnebago Road","$5,300,000","0.3137","","1/4 To Less Than 1/2 Acre Lot, Corner Lot, Cul-De-Sac Lot, Interior Lot, Irregular Lot, Less Than 1 Acre","R-1","SEA RANCH LAKES","","No","","Unimproved Agri/Recreatn/Moblhome",""
"1","B26002550","A","3280","455 Bontona Avenue","$4,490,000","0.2904","","1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre","RS-8","VENICE RESUB OF BLKS 5 & 6","City/County Maintained","Yes","","Unimproved Agri/Recreatn/Moblhome",""
"1","A12038921","A","3270","840 NE 19th Way","$4,200,000","0.4000","17,340","","¤RO","GATEWAY PARK AMENDED","","No","Zoned Multifamily","Residential",""
"1","F10536983","A","3490","1711 SW 30th Place","$4,000,000","2.2800","99,532","2 To Less Than 3 Acre Lot","RS-8","Oaklane 1st Add 80-7 B","","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","B26011653","A","3280","646 Flamingo-a Drive","$3,950,000","0.2296","","Less Than 1/4 Acre Lot, Less Than 1 Acre","RS-8","RIVIERA","City/County Maintained, Paved Road","Yes","","Unimproved Agri/Recreatn/Moblhome",""
"1","B26022228","A","3280","310 Coral Way","$3,750,000","0.2500","","1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre","RS-4.4","CORAL ISLES","Paved Road","Yes","","Unimproved Agri/Recreatn/Moblhome",""
"1","A11985772","A","3160","3337 NE 16th Pl","$3,500,000","0.1722","6,000","","¤RS-8","LAS OLAS BY THE SEA EXT","","Yes","Zoned Residential","Residential",""
"1","F10543779","A","3570","1551 Davie Boulevard","$3,250,000","1.1000","49,530","","RM15","RIVERSIDE NO 3","City/County Maintained","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10546046","A","3260","2501 Middle River Drive","$2,899,000","0.3200","13,551","","RS-4.4","Coral Ridge Galt Add 27-4","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10553996","A","3260","2405 Middle River Drive","$2,788,800","0.2326","10,131","","RS-4.4","Coral Ridge Galt Add 27-4","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10532034","A","3121","239 Hibiscus Avenue","$2,700,000","0.3100","13,909","1/4 To Less Than 1/2 Acre Lot, Corner Lot, Less Than 1 Acre","RD-10","Silver Shores","","Yes","Zoned Duplex","Unimproved Agri/Recreatn/Moblhome",""
"1","F10495012","A","3600","1524 SE 14th Street","$2,695,000","0.1767","7,700","Less Than 1/4 Acre Lot, Interior Lot, Less Than 1 Acre","RS-8","Lauderdale Harbors Sec A","City/County Maintained, Paved Road","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
