"","MLS # Link","St","Area","Address","Current Price","Total Acreage","Property SqFt","Lot Description","ZN","Subdivision Name","Road Description","Waterfront Property (Y/N)","Style of Property","Type of Property","Sale Price"
"1","F10359612","C","3600","1818 SE 10th Street","$49,999,000","1.0570","46,056","1 To Less Than 2 Acre Lot","RS-4.4","Goulds Point 16-64 B","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10419616","C","3600","1818 SE 10th Street","$39,990,000","1.4000","60,868","1 To Less Than 2 Acre Lot, Cul-De-Sac Lot, East Of US 1","RS-4.4","Goulds Point 16-64 B","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10457392","C","3600","1818 SE 10th St","$24,900,000","0.7213","31,420","1/2 To Less Than 3/4 Acre Lot","RS-4.4","Goulds Point 16-64 B","Public Road","Yes","Zoned Residential","Residential",""
"1","F10543316","C","3280","2617 Aqua Vista Blvd","$12,900,000","0.3000","","","","AQUA VISTA","","Yes","Zoned Residential","Residential",""
"1","R10967033","C","3240","30 Compass Point","$12,500,000","","","1/2 To Less Than 3/4 Acre Lot, East Of US 1","RS-4.4","Bay Colony Sec Of The Land","Paved Road, Private Road","Yes","","",""
"1","F10417604","C","3280","1000 Riviera Drive","$9,995,000","0.5300","23,114","1/2 To Less Than 3/4 Acre Lot","RS-8","Kents Island 15-22 B","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10419398","C","3600","1811 SE 10th Street","$8,999,000","0.3400","14,812","1/4 To Less Than 1/2 Acre Lot","","Goulds Point 16-64 B","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10457202","C","3600","1813 SE 10th St","$8,900,000","0.3400","14,636","1/4 To Less Than 1/2 Acre Lot","","Goulds Point 16-64 B","","Yes","Zoned Residential","Residential",""
"1","R11039541","C","3160","3021 NE 26th Street","$7,500,000","","","","RD-15","LAUDERDALE BEACH EXT UNIT","Other Road","Yes","","Single",""
"1","A11690674","C","3470","700 & 710 SW 12th Ave","$6,600,000","0.7700","33,605","3/4 To Less Than 1 Acre Lot","¤RS-8","RIVERSIDE PARK","City/County Maintained, Paved Road, Public Road","Yes","Zoned Residential","Residential",""
"1","A11961402","C","3160","1651 N Ft Lauderdale Beach Blvd","$5,969,000","0.3500","15,000","","¤RS-8","LAS OLAS BY THE SEA EXT","Legal Access Road, City/County Maintained, Public Road","Yes","Zoned Residential","Residential",""
"1","F10452374","C","3280","515 Isle of Capri","$5,300,000","0.1890","8,250","Less Than 1/4 Acre Lot","","Venice","Legal Access Road, City/County Maintained","Yes","Boat Dock or Dockominium","Residential",""
"1","F10410204","C","3600","1209 N Rio Vista Blvd","$4,795,000","0.3000","13,094","","RS-8","Rio Vista C J Hectors Res","","Yes","Zoned Residential","Residential",""
"1","F10425276","C","3600","1401 SE 9th Street","$4,495,000","18,220.0000","18,220","1/4 To Less Than 1/2 Acre Lot","RS-8","Rio Vista Isles","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
