"","MLS # Link","St","Area","Address","Current Price","Total Acreage","Property SqFt","Lot Description","ZN","Subdivision Name","Road Description","Waterfront Property (Y/N)","Style of Property","Type of Property","Sale Price"
"1","R11146233","CS","4110","1120 S Ocean Boulevard","$105,000,000","3.5000","","1 To Less Than 2 Acre Lot, 2 To Less Than 3 Acre Lot","R-1C(c","HYPOLUXO BEACH MAP 1 IN","County Road, Public Road","Yes","","Unimproved Agri/Recreatn/Moblhome","$105,000,000"
"1","F10486652","CS","3600","1818 SE 10th St","$42,650,000","1.3900","60,868","1 To Less Than 2 Acre Lot","RS-4.4","RIO VISTA ILSES","","Yes","Zoned Residential","Residential","$42,650,000"
"1","A11695755","CS","41","8565 Old Cutler Rd","$41,625,000","4.6000","200,650","4 To Less Than 5 Acre Lot","¤0100","GABLES ESTATES NO 2","","Yes","Zoned Residential","Residential","$41,625,000"
"1","B26026938","CS","5003","690 Island Drive","$39,200,000","0.8400","","1/2 To Less Than 3/4 Acre Lot, Less Than 1 Acre","R-B (city)","EVERGLADES ISLAND 2","Paved Road","Yes","","Unimproved Agri/Recreatn/Moblhome","$39,200,000"
"1","R11158560","CS","5030","430 S Beach Road","$31,651,175","","","","res","jupiter island","City/County Maintained, Paved Road","Yes","","Single","$31,651,175"
"1","R11154052","CS","5003","Tarpon Way Lot","$27,250,000","0.5300","","1/2 To Less Than 3/4 Acre Lot","R-A(ci","ISLAND RD DEV REV","City/County Maintained, Paved Road","Yes","","Unimproved Agri/Recreatn/Moblhome","$27,250,000"
"1","B26007814","CS","4140","941 S Ocean Boulevard","$26,000,000","1.2000","","1 To Less Than 2 Acre Lot","R-1-AA (city)","Delray Estate Section","Paved Road","Yes","","Unimproved Agri/Recreatn/Moblhome","$26,000,000"
"1","F10543132","CS","3112","1079 Hillsboro Mile","$21,500,000","1.2300","53,544","1 To Less Than 2 Acre Lot","RS-2","Hillsboro Mile","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$21,500,000"
"1","F10538344","CS","6220 SE Okeechobee County"," Us-441","$23,000,000","2,361.0000","27,573,480","10 Or More Acre Lot, Oversized Lot","Agriculture","None","County Road, City/County Maintained, Paved Road, U.S. Highway","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$23,000,000"
"1","R11115734","CS","4320","3070 S Ocean Boulevard","$15,100,000","1.2000","","1 To Less Than 2 Acre Lot","R-1A(c","GEDNEY VS PIERSON","City/County Maintained","Yes","","Unimproved Agri/Recreatn/Moblhome","$15,100,000"
"1","R11101767","CS","5001","1150 N Ocean Way","$14,000,000","0.5700","","1/2 To Less Than 3/4 Acre Lot","R-B(ci","EL ENCANTO","Paved Road, Public Road","No","","Unimproved Agri/Recreatn/Moblhome","$14,000,000"
"1","A11772886","CS","22","9224 Bay Dr","$13,875,000","0.0000","27,500","","¤1100","ALTOS DEL MAR NO 5","","Yes","Zoned Residential","Residential","$13,875,000"
"1","A11884799","CS","51","9175 Arvida Dr","$14,900,000","43,293.0000","43,293","","¤0100","GABLES ESTS NO 4","","Yes","Zoned Residential","Residential","$14,900,000"
"1","F10491645","CS","3280","633 5th Key Dr","$11,700,000","0.5020","21,873","","RS-4.4","SUNRISE KEY","","Yes","Zoned Residential","Residential","$11,700,000"
"1","A11993438","CS","31","1236 S S Venetian Way","$11,500,000","0.3100","13,382","","¤0100","SAN MARCO","","Yes","Zoned Residential","Residential","$11,500,000"
"1","A11678029","CS","32","1234 S Venetian Way","$11,500,000","0.3100","13,382","1/2 To Less Than 3/4 Acre Lot","¤0100","SAN MARCO","","Yes","Zoned Residential","Residential","$11,500,000"
"1","A11884920","CS","32","31 La Gorce Circle","$10,400,000","0.5900","25,896","","¤2100","LA GORCE ISLAND","","No","Zoned Residential","Residential","$10,400,000"
"1","R11142698","CS","5002","0 Chapel Hill Road","$10,000,000","0.3437","","1/4 To Less Than 1/2 Acre Lot","R-B(ci","HILL SUB","Public Road","No","","Unimproved Agri/Recreatn/Moblhome","$10,000,000"
"1","A11988443","CS","32","1230 S Venetian Way","$11,000,000","0.1100","13,382","","¤0100","SAN MARCO","","Yes","Zoned Residential","Residential","$11,000,000"
"1","A12003770","CS","3160","3030 N Atlantic Blvd","$8,880,000","0.2900","12,596","1/4 To Less Than 1/2 Acre Lot","¤RS-8","LAUDERDALE BEACH","City/County Maintained, Paved Road, Public Road","Yes","Zoned Residential","Residential","$8,880,000"
