"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","B26035205","AC","3600","1721 SE 11th Street","RIO VISTA ISLES ","","$19,770,000","","8","6","2","7,030","Single","2026","3","Yes","Yes","","9,375"
"1","F10549463","AC","3260","2839 NE 26th Place","Coral Ridge Galt Add 1 ","","$9,975,000","","6","6","2","6,750","Single","2026","3","Yes","Yes","","12,004"
"1","F10543330","AC","3280","400 Coral Way","Coral Isles 15-47 B ","","$9,399,000","","5","6","1","6,349","Single","2021","3","Yes","Yes","","10,500"
"1","F10531403","AC","3280","2241 SE 17th Street Unit#Ph2","Azul Condominium Azul Condominium","","$7,950,000","","3","3","1","2,878","Condo","2025","2","Yes","Yes","","0"
"1","B26027844","AC","3280","441 Royal Plaza Drive","STILWELL ISLES ","","$6,475,000","","6","6","1","6,162","Single","2008","3","Yes","Yes","","12,000"
"1","R11047007","AC","3280","425 Coral Way","CORAL ISLES / LAS OLAS ISL ","","$5,475,000","","5","4","1","4,119","Single","1986","2","Yes","Yes","","10,500"
"1","F10542406","AC","3270","700 NE 20th Avenue","Victoria Highlands Amd ","","$4,900,000","","3","2","0","1,808","Single","1941","1","Yes","Yes","","11,250"
"1","B26015574","AC","3280","2525 Barcelona Drive","SEA ISLAND ","","$4,490,000","","4","3","0","3,124","Single","1981","","Yes","Yes","Substantially Remodeled","10,589"
"1","A11861181","AC","3160","701 N Fort Lauderdale Beach Blvd Unit#501","PARAMOUNT FT LAUDERDALE C PARAMOUNT FORT LAUDERDALE","","$4,375,000","","4","4","1","¤3,214","Condo","2017","2","","Yes","",""
"1","F10544077","AC","3270","508 NE 9th Avenue","Holmberg & Mc Kees Sub 1- ","","$3,999,900","","4","4","1","3,986","Single","2026","2","Yes","No","","8,100"
"1","F10549854","AC","3160","151 N Seabreeze Blv Unit#E-701","Selene Oceanfront Residen Selene Oceanfront Residen","","$3,999,000","","3","4","0","3,112","Condo","2025","2","","Yes","","0"
"1","B26019543","AC","3260","2725 NE 28th Street","CORAL RIDGE GALT ADD NO 1 ","","$3,599,000","","4","4","1","3,200","Single","2026","2","Yes","No","Ranch","10,000"
"1","B26014700","AC","3160","3304 NE 14th Court","LAS OLAS BY THE SEA EXT ","","$3,575,000","","4","4","0","3,556","Single","2024","2","Yes","No","","6,212"
"1","B26032464","AC","3470","829 Coconut Drive","ALMEDA ","","$2,899,000","","3","2","1","3,100","Single","1988","2","Yes","Yes","","16,120"
"1","B26009537","AC","3170","3055 Harbor Drive Unit#1603","HARBOURAGE PLACE CONDO ","","$2,795,000","","3","2","1","3,368","Condo","1998","2","No","Yes","","0"
"1","B26034175","AC","3480","1201 Guava Isle","SOUTH NEW RIVER ISLES SEC ","","$2,700,000","","4","4","0","2,662","Single","2026","2","Yes","Yes","","7,950"
"1","F10515716","AC","3160","3325 NE 14th Court","Las Olas By The Sea Ext 3 ","","$2,600,000","","3","3","0","3,616","Single","2006","2","Yes","No","","6,212"
