"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","F10450514","C","3280","516 Mola Ave","Venice 6-4 B ","","$49,995,000","","6","7","2","9,995","Single","2020","8","Yes","Yes","","50,526"
"1","F10470129","C","3280","513 Middle River Dr","Sunrise 28-42 B ","","$49,900,000","","6","11","4","13,158","Single","2025","8","Yes","Yes","","16,539"
"1","A11902142","C","3260","733 Middle River Dr","SUNRISE ","","$39,995,000","","6","7","4","¤10,809","Single","2023","4","Yes","Yes","Attached","¤16,291"
"1","F10398661","C","3170","1400 W Lake Dr","Harbor Beach ","","$39,900,000","","7","10","2","10,400","Single","2024","3","Yes","Yes","","14,243"
"1","A11764711","C","3260","501 Middle River Dr","SUNRISE ","","$39,500,000","","8","8","3","","Single","2024","4","Yes","Yes","Attached","¤20,032"
"1","F10402991","C","3260","501 Middle River Dr","Sunrise Intracoastal ","","$39,500,000","","7","8","3","12,018","Single","2024","8","Yes","Yes","","20,032"
"1","A11740009","C","3170","1400 W Lake Dr","HARBOR BEACH ","","$36,500,000","","7","10","2","10,400","Single","2026","3","Yes","Yes","Attached","¤14,243"
"1","A11662789","C","3170","1 Harborage Isle Drive","Harborage Isle ","","$36,000,000","","6","10","","11,648","Single","2024","10","Yes","Yes","Attached","¤22,686"
"1","F10474162","C","3170","23 Isla Bahia Dr","ISLA BAHIA ","","$35,900,000","","6","7","2","10,209","Single","2024","8","Yes","Yes","","14,300"
"1","F10405028","C","3600","1812 SE 14th Street","Lauderdale Harbors ","","$35,000,000","","6","6","2","7,221","Single","2000","4","Yes","Yes","","17,183"
"1","F10421594","C","3600","1811 SE 10th St","Goulds Point 16-64 B ","","$34,995,000","","6","9","1","9,202","Single","2026","8","Yes","Yes","","14,812"
"1","F10532614","C","3280","851 Flamingo Dr","Las Olas Isles ","","$34,950,000","","5","5","4","8,113","Single","2026","3","Yes","Yes","","11,253"
"1","F10468157","C","3170","2501 Del Lago Dr","Del Lago Isle 42-2 B ","","$32,900,000","","6","7","0","8,343","Single","2026","4","Yes","Yes","","15,750"
