"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","F10426232","X","3170","84 Isla Bahia Dr","Isla Bahia 47-27 B ","","$50,000,000","","6","8","1","11,714","Single","2021","4","Yes","Yes","","22,809"
"1","A11625308","X","3260","733 Middle River Dr","Sunrise Intracoastal ","","$47,900,000","","6","7","4","¤11,812","Single","2022","6","Yes","Yes","Detached","¤16,291"
"1","F10461069","X","3280","2721 Sea Island Dr","Sea Island ","","$39,999,000","","6","8","2","11,774","Single","2027","6","Yes","Yes","","19,676"
"1","A11767301","X","3170","84 Isla Bahia Dr","ISLA BAHIA ","","$39,995,000","","6","8","1","¤11,714","Single","2021","4","Yes","Yes","Attached","¤22,809"
"1","F10405766","X","3600","1845 SE 7th Street","RIO VISTA ISLES ","","$39,995,000","","7","7","1","","Single","2025","4","Yes","Yes","","13,762"
"1","F10467537","X","3170","1 Isla Bahia Drive","Isla Bahia 47-27 B ","","$39,900,000","","6","8","5","14,000","Single","1998","4","Yes","Yes","","31,000"
"1","A11788373","X","3280","600 Isle Of Palms Dr","STILWELL ISLES ISLES OF P ","","$39,000,000","","8","9","3","¤14,846","Single","2010","5","Yes","Yes","Detached","¤38,998"
"1","F10412072","X","3170","23 Isla Bahia Dr","ISLA BAHIA ","","$33,900,000","","6","7","2","10,209","Single","2024","8","Yes","Yes","","14,300"
"1","F10424335","X","3280","529 Bontona Ave","Venice Resub Of Blks 5 & ","","$32,000,000","","6","9","1","10,565","Single","2018","8","Yes","Yes","","37,021"
"1","F10484345","X","3170","68 Isla Bahia Drive","Isla Bahia 47-27 B ","","$30,000,000","","6","7","3","8,327","Single","2025","4","Yes","Yes","","12,500"
"1","F10453735","X","3170","68 Isla Bahia Drive","Isla Bahia 47-27 B ","","$30,000,000","","6","7","3","8,327","Single","2025","4","Yes","Yes","","12,500"
"1","F10458460","X","3280","1700 Brickell Dr","Colee Hammock 1-17 B ","","$30,000,000","","5","7","2","12,284","Single","2026","18","Yes","Yes","","20,391"
"1","F10483159","X","3170","2560 Del Lago Drive","Del Lago Isle 42-2 B ","","$29,995,000","","6","7","2","8,725","Single","2025","4","Yes","Yes","","16,500"
"1","A11682964","X","3280","529 Bontona Ave","VENICE RESUB OF BLKS 5 & ","","$29,500,000","","6","9","1","¤10,259","Single","2018","0","Yes","Yes","Attached","¤37,021"
"1","A11780777","X","3280","2509 Aqua Vista Blvd","LAUDERDALE ISLES RE-AMEND ","","$28,500,000","","8","10","6","¤12,262","Single","2004","6","Yes","Yes","Attached","¤24,056"
"1","F10493468","X","3170","2520 Del Lago Drive","Del Lago Isle ","","$28,400,000","","6","7","2","8,143","Single","2021","10","Yes","Yes","","15,750"
"1","A11735120","X","3260","725 Middle River Dr","SUNRISE ","","$27,000,000","","7","9","1","¤11,133","Single","2025","2","Yes","Yes","Attached","¤16,524"
"1","F10512187","X","3280","4 Pelican Drive","Pelican Isle 21-19 B ","","$26,900,000","","6","9","1","14,899","Single","2020","8","Yes","Yes","","18,220"
"1","F10432691","X","3260","671 Middle River Dr","Sunrise 28-42 B ","","$25,900,000","","6","7","2","13,084","Single","2020","4","Yes","Yes","","16,787"
"1","A11683452","X","3600","1822 SE 9th St","SUNRISE POINT ","","$25,000,000","","7","8","1","","Single","2024","4","Yes","Yes","Detached","¤17,402"
"1","F10461611","X","3170","14 Isla Bahia Drive","HARBOR BEACH ","","$24,995,000","","6","7","2","11,681","Single","2018","3","Yes","Yes","","13,000"
"1","F10529029","X","3260","671 Middle River Drive","Sunrise 28-42 B ","","$24,900,000","","6","7","2","13,084","Single","2020","4","Yes","Yes","","16,787"
"1","F10532518","X","3170","68 Isla Bahia Drive","Isla Bahia 47-27 B ","","$24,000,000","","6","7","3","8,327","Single","2025","4","Yes","Yes","","12,500"
"1","F10488453","X","3170","70 Isla Bahia Dr","Isla Bahia 47-27 B ","","$22,950,000","","6","6","2","7,961","Single","2021","6","Yes","Yes","","12,500"
"1","F10483660","X","3280","2301 Aqua Vista Boulevard","Merritt Isle 45-38 B ","","$19,999,000","","7","7","1","8,078","Single","1960","3","Yes","Yes","","31,789"
"1","A11661695","X","3010","2890 NE 28th St","CORAL RIDGE GALT ADD 1 ","","$19,900,000","","5","7","1","¤8,441","Single","2015","6","Yes","Yes","Attached","¤17,619"
"1","F10394063","X","3260","2880 NE 28th St","CORAL RIDGE GALT ADD 1 ","","$18,995,000","","6","8","0","8,315","Single","2024","4","Yes","Yes","","15,098"
"1","B26011121","X","3170","70 Isla Bahia Drive","ISLA BAHIA ","","$18,950,000","","7","7","1","8,000","Single","2021","6","Yes","Yes","","12,500"
"1","F10507167","X","3280","650 Royal Plaza Drive","Stilwell Isles 15-26 B ","","$17,995,000","","7","9","1","9,267","Single","2019","4","Yes","Yes","","15,720"
"1","F10441247","X","3280","2700 Sea Island Dr","Sea Island ","","$17,000,000","","6","7","1","6,725","Single","2024","3","Yes","Yes","","13,362"
"1","A11731000","X","3280","441 Isle Of Palms Dr","STILWELL ISLES ISLE OF PA ","","$16,750,000","","7","8","1","10,000","Single","2025","4","Yes","Yes","Attached","13,000"
"1","F10450065","X","3280","2415 Castilla Isle","Lauderdale Shores Reamen ","","$16,513,000","","6","8","1","9,968","Single","2024","3","Yes","Yes","","11,800"
"1","F10504393","X","3280","2415 Castilla Isle","Seven Isles ","","$16,500,000","","6","8","1","9,968","Single","2024","4","Yes","Yes","","11,800"
"1","F10480993","X","3160","2200 N Ocean Blvd Unit#N1701","AUBERGE BEACH AUBERGE BEACH","","$15,650,000","","5","6","3","5,822","Condo","2018","4","","Yes","",""
"1","F10407653","X","3170","2549 Mercedes Dr","Harbor Beach ","","$15,000,000","","7","7","1","6,812","Single","2023","3","Yes","Yes","","13,000"
"1","F10424764","X","3260","765 Middle River Dr","Sunrise 28-42 B ","","$15,000,000","","5","5","1","5,696","Single","1982","4","Yes","Yes","","15,300"
"1","F10495511","X","3280","409 Isle Of Capri Dr","Las Olas ","","$14,999,999","","5","6","1","5,788","Single","2023","4","Yes","Yes","","11,870"
"1","R10943749","X","3280","512 Seven Isles Drive","BARCELONA ISLE ","","$14,888,000","","8","8","2","11,659","Single","1996","9","Yes","Yes","","27,001"
"1","F10350636","X","3600","1761 SE 7th Street","RIO VISTA ISLES ","","$14,500,000","","4","4","2","5,872","Single","2010","3","Yes","Yes","","12,528"
"1","A11624062","X","3280","821 Solar Isle Dr","RIVIERA ","","$14,495,000","","6","7","2","¤8,936","Single","2011","2","Yes","Yes","Attached","¤15,865"
"1","A11618488","X","3280","323 Mola Ave","VENICE 6-4B ","","$13,800,000","","4","4","","","Single","2023","0","Yes","Yes","Detached","¤6,674"
"1","A11725463","X","3170","1957 SE 21 Ave","HARBOUR HEIGHTS ADD ","","$13,500,000","","5","6","2","6,632","Single","2024","3","Yes","Yes","Attached","9,375"
"1","F10531168","X","3280","24 Fiesta Way","Nurmi Isles Island 3 ","","$13,500,000","","6","5","1","6,479","Single","2026","3","Yes","Yes","","10,200"
"1","F10435058","X","3280","640 4th Key Dr","Sunrise Key 45-6 B ","","$13,000,000","","0","0","0","14,102","Single","1969","0","Yes","Yes","","26,301"
"1","F10493048","X","3280","2421 Barcelona Drive","Seven Isles ","","$12,999,999","","6","7","1","7,281","Single","2024","8","Yes","Yes","","15,319"
"1","F10495401","X","3170","701 N Fort Lauderdale Beach Boulevard Unit#PH 1801","Paramount Residences Paramount Residences","","$12,995,000","","4","5","1","5,525","Condo","2018","3","","Yes","",""
"1","F10406191","X","3170","2530 Laguna Dr","Laguna Isle 40-1 B ","","$12,900,000","","6","7","1","8,531","Single","2002","3","Yes","Yes","","14,003"
"1","A11759355","X","3170","4 Isla Bahia Ter","ISLA BAHIA ","","$12,500,000","","6","6","1","","Single","2023","3","No","Yes","Attached","¤14,593"
"1","F10531894","X","3260","1900 Intracoastal Drive","Coral Ridge North Add 24- ","","$12,500,000","","5","5","2","6,139","Single","2021","3","Yes","Yes","","12,000"
"1","F10461764","X","3160","3025 NE 25th Street","Lauderdale Beach Ext ","","$12,495,000","","4","4","1","4,756","Single","2026","3","Yes","Yes","","12,596"
