"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","F10471554","CS","3170","5 Harborage Isle","Harborage Isle ","","$70,000,000","$70,000,000","6","6","5","20,000","Single","2008","7","Yes","Yes","","117,627"
"1","F10537867","CS","3170","2406 Laguna Dr","Laguna Isle 40-1 B ","","$36,250,000","$26,000,000","3","4","7","10,646","Single","2021","4","Yes","Yes","","14,982"
"1","A11983395","CS","3170","84 Isla Bahia Dr","ISLA BAHIA ","","$34,950,000","$34,000,000","6","8","1","¤11,714","Single","2021","4","Yes","Yes","Detached","¤22,809"
"1","F10366608","CS","3280","2626 Delmar Pl","Gould Island 15-62 B ","","$31,500,000","$27,800,000","10","13","1","13,567","Single","2023","4","Yes","Yes","","24,497"
"1","F10397739","CS","3280","2724 Sea Island Dr","Seven Isles ","","$29,995,000","$22,350,000","6","7","1","8,114","Single","2002","6","Yes","Yes","","27,672"
"1","F10527338","CS","3280","529 Bontona Ave","Venice Resub Of Blks 5 & ","","$27,500,000","$23,955,000","6","9","1","10,259","Single","2015","8","Yes","Yes","","37,021"
"1","F10463177","CS","3280","600 5th Key Dr","SUNRISE KEY ","","$25,300,000","$22,350,000","6","7","2","0","Single","2022","8","Yes","Yes","","13,997"
"1","A11702343","CS","3280","2300 Aqua Vista Blvd","MERRITT ISLE ","","$25,000,000","$19,500,000","7","7","1","¤8,132","Single","1981","3","Yes","Yes","Detached","¤49,581"
"1","F10426539","CS","3280","2 PELICAN DR","PELICAN ISLE 21-19 B ","","$25,000,000","$21,500,000","6","7","1","10,216","Single","1998","6","Yes","Yes","","26,907"
"1","F10527794","CS","3280","632 2nd Key Drive","SUNRISE KEY ","","$22,500,000","$21,750,000","8","8","2","8,962","Single","2019","8","Yes","Yes","","28,135"
"1","F10459318","CS","3280","2519 Aqua Vista Blvd","Sea Island ","","$22,500,000","$19,000,000","8","7","2","8,060","Single","2005","4","Yes","Yes","","12,001"
"1","F10378016","CS","3170","2572 Mercedes Drive","HARBOR BEACH ","","$19,995,000","$17,000,000","6","6","2","7,595","Single","2023","4","Yes","Yes","","14,890"
"1","A11568061","CS","3280","2509 Aqua Vista Blvd","LAUDERDALE ISLES RE-AMEND ","","$17,875,000","$13,776,000","8","10","6","¤12,262","Single","2004","6","Yes","Yes","Attached","¤24,056"
"1","F10528177","CS","3260","2880 NE 28th Street","CORAL RIDGE GALT ADD 1 ","","$16,110,000","$13,900,000","6","8","0","8,315","Single","2025","4","Yes","Yes","","15,098"
"1","F10484180","CS","3280","725 SE POINCIANA DR","Idlewyld ","","$16,000,000","$14,000,000","6","6","2","6,700","Single","2025","10","Yes","Yes","","15,000"
"1","F10521563","CS","3280","1 Royal Palm Dr","Nurmi Isles Island 1 ","","$15,995,000","$14,250,000","5","5","2","5,715","Single","2017","4","Yes","Yes","","16,457"
"1","F10532625","CS","3280","408 Coral Way","Coral Isles 15-47 B ","","$14,500,000","$13,700,000","5","7","1","8,000","Single","2025","4","Yes","Yes","","10,500"
"1","F10548567","CS","3600","1761 SE 7th Street","RIO VISTA ISLES ","","$14,500,000","$13,430,000","4","4","2","5,872","Single","2010","3","Yes","Yes","","12,528"
"1","A11886935","CS","3280","821 Solar Isle Dr","RIVIERA ","","$14,495,000","$14,400,000","6","6","3","¤8,936","Single","2012","3","Yes","Yes","Detached","¤15,865"
"1","B26011632","CS","3170","3 Isla Bahia Drive","HARBOR BEACH ","","$14,000,000","$9,286,200","5","4","3","6,686","Single","1975","2","Yes","Yes","Substantially Remodeled","14,091"
"1","F10455688","CS","3170","38 Isla Bahia Dr","ISLA BAHIA ","","$13,500,000","$12,250,000","6","7","2","8,130","Single","2013","3","Yes","Yes","","13,000"
"1","A11808135","CS","3170","2519 Lucille Dr","LUCILLE ISLAND ","","$12,995,000","$9,250,000","6","6","2","","Single","2020","3","Yes","Yes","Detached","¤11,875"
"1","F10542832","CS","3280","100 Royal Palm Drive","Nurmi Isles Island 1 ","","$12,995,000","$12,000,000","6","6","2","7,032","Single","2025","6","Yes","Yes","","12,000"
"1","A11685125","CS","3280","41 Nurmi Dr","NURMI ISLES ISLAND NO 2 ","","$12,900,000","$12,200,000","6","7","1","7,050","Single","2024","0","Yes","Yes","Detached","¤12,000"
"1","F10478194","CS","3170","2530 Laguna Dr","Harbor Beach ","","$12,500,000","$11,600,000","6","7","1","8,531","Single","2002","3","Yes","Yes","","14,003"
"1","A11886671","CS","3600","1015 N Rio Vista Blvd","RIO VISTA C J HECTORS RES ","","$12,495,000","$11,282,000","4","4","1","¤6,823","Single","2014","2","Yes","Yes","Detached","¤22,786"
"1","A11930581","CS","3280","630 Isle Of Palms Dr","STILWELL ISLES ISLES OF P ","","$11,995,000","$10,729,500","7","7","1","¤7,050","Single","2026","3","Yes","Yes","Detached","¤12,999"
"1","F10518138","CS","3170","1957 Harbourview Drive","HARBOUR HEIGHTS ADD ","","$11,900,000","$10,700,000","5","6","2","6,456","Single","2006","3","Yes","Yes","","9,375"
"1","F10448030","CS","3260","520 Intracoastal Drive","Sunrise 28-42 B ","","$11,450,000","$9,250,000","4","5","2","5,594","Single","2018","4","Yes","Yes","",""
"1","F10470598","CS","3280","1110 SE 4th St","HIMMARSHEE PARK ","","$11,450,000","$10,325,000","5","5","2","6,244","Single","2017","3","Yes","Yes","","17,763"
"1","A11902087","CS","3280","2605 Castilla Isle","LAUDERDALE SHORES REAMEN ","","$10,995,000","$9,950,000","7","5","1","6,000","Single","2025","3","Yes","Yes","Attached","¤11,800"
"1","F10525923","CS","3280","2405 Castilla Isle","Lauderdale Shores Reamen ","","$10,975,000","$10,250,000","7","8","0","6,514","Single","2025","4","Yes","Yes","","11,800"
"1","A11771557","CS","3280","621 Riviera Isle Dr","RIVIERA ","","$10,900,000","$9,700,000","5","6","1","¤6,619","Single","2022","3","Yes","Yes","Detached","¤12,500"
"1","R11140043","CS","3480","1600 SW 15th Avenue","NEW RIVER BANKS ","","$10,900,000","$10,900,000","1","1","1","1,736","Single","2017","0","Yes","Yes","",""
"1","F10529403","CS","3260","2733 NE 16th Street","CORAL RIDGE ","","$10,500,000","$10,000,000","5","6","1","7,545","Single","2026","3","Yes","Yes","","12,500"
"1","F10490663","CS","3600","1733 SE 10th Street","Rio Vista Isles ","","$10,500,000","$9,900,000","5","6","1","5,760","Single","2011","3","Yes","Yes","","13,625"
"1","F10464571","CS","3600","1739 SE 11th St","Rio Vista Isles ","","$10,000,000","$10,000,000","7","6","1","8,424","Single","2016","6","Yes","Yes","","14,875"
"1","F10504117","CS","3160","525 Fort Lauderdale Beach Boulevard Unit#1902","Four Seasons Four Seasons","","$9,995,000","$9,300,000","6","6","1","4,516","Condo","2024","3","No","Yes","","0"
"1","F10464735","CS","3160","525 N Ft Lauderdale Beach Blvd Unit#1901","Four Seasons Four Seasons","","$9,995,000","$7,800,000","5","6","1","3,892","Condo","2023","3","","Yes","",""
"1","F10532872","CS","3260","1336 Seminole Drive","BEACH WAY HEIGHTS UNIT ","","$9,995,000","$9,200,000","5","7","1","6,861","Single","2019","3","Yes","Yes","","11,882"
"1","F10469972","CS","3280","31 Pelican Dr","SEVEN ISLES ","","$9,995,000","$9,500,000","7","7","1","6,473","Single","2020","3","Yes","Yes","","13,012"
"1","A11609360","CS","3280","628 Coral Way","CORAL ISLES ","","$9,995,000","$7,699,184","6","7","1","","Single","2004","5","Yes","Yes","Detached","¤15,750"
"1","F10391569","CS","3280","2328 Aqua Vista Blvd","LAUDERDALE ISLE AMEN PLAT ","","$9,995,000","$9,200,000","9","11","2","10,760","Single","2008","3","Yes","Yes","",""
"1","F10515495","CS","3600","1791 SE 10th Street","Rio Vista Isles ","","$9,900,000","$8,150,000","3","4","0","2,697","Single","1940","0","Yes","Yes","","12,500"
"1","F10440675","CS","3280","400 Mola Ave","Venice 6-4 B ","","$9,800,000","$8,633,000","6","6","1","6,036","Single","2022","3","Yes","Yes","","16,993"
"1","F10485087","CS","3280","144 Fiesta Way","Nurmi Isles Island 3 ","","$9,750,000","$9,250,000","5","5","2","6,200","Single","2025","4","Yes","Yes","","10,200"
