"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","F10526453","T","3600","1845 SE 7th Street","RIO VISTA ISLES ","","$39,999,999","","7","7","1","11,500","Single","2025","6","Yes","Yes","","13,762"
"1","F10550947","T","3170","8 Harborage","The Harborage ","","$17,500,000","","6","8","1","8,908","Single","1979","3","Yes","Yes","",""
"1","F10544261","T","3280","640 3rd Key Drive","Sunrise Key ","","$15,900,000","","7","6","2","6,703","Single","1968","2","Yes","Yes","","23,074"
"1","A11963675","T","3280","633 Isle Of Palms Dr","STILWELL ISLES ISLES OF P ","","$13,700,000","","5","7","1","¤7,970","Single","2021","3","Yes","Yes","Detached","¤12,999"
"1","B26022544","T","3280","310 Coral Way","CORAL ISLES ","","$12,900,000","","6","7","2","6,200","Single","2027","3","Yes","Yes","","10,500"
"1","A11897945","T","3280","416 Coconut Isle Dr","Las Olas Isles ","","$10,995,000","","6","6","2","¤6,812","Single","2026","3","Yes","Yes","Detached","¤9,375"
"1","F10469556","T","3160","3320 NE 16th Court","Las Olas By The Sea Ext 3 ","","$10,000,000","","4","4","1","4,800","Single","2026","2","Yes","No","","6,200"
"1","B26010746","T","3280","91 Fiesta Way","NURMI ISLES ISLAND NO 3 ","","$7,995,000","","7","5","0","6,184","Single","2023","3","Yes","Yes","","10,200"
"1","F10533996","T","3160","3005 NE 19th Street","DOLPHIN ISLES ","","$7,950,000","","6","6","1","5,170","Single","2002","2","Yes","Yes","","10,024"
"1","F10398220","T","3280","601 Isle Of Palms","Stilwell Isles Isle Of Pa ","","$5,985,000","","7","7","1","5,323","Single","2004","6","Yes","Yes","","12,999"
"1","B26005223","T","3280","516 Royal Plaza Drive","STILWELL ISLES ","","$4,995,000","","4","4","1","3,084","Single","1987","2","Yes","Yes","Substantially Remodeled","12,000"
"1","F10533916","T","3160","153 N Seabreeze Boulevard Unit#802-S","SELENE OCEANFRONT RESIDEN SELENE OCEANFRONT RESIDEN","","$4,695,000","","3","3","1","3,240","Condo","2025","2","","Yes","",""
"1","F10556063","T","3170","2200 S Ocean Lane Unit#2701-02","Point of Americas II Point of Americas II","","$4,650,000","","5","4","0","3,772","Condo","1971","2","","Yes","","0"
"1","B26010435","T","3160","2200 N Ocean Boulevard Unit#S1406","Auberge Beach Residences ","","$4,450,000","","3","3","1","2,792","Condo","2019","2","No","Yes","","0"
"1","B26035586","T","3160","3329 NE 16th Court","LAS OLAS BY THE SEA EXT ","","$3,499,900","","4","3","0","2,897","Single","1989","2","Yes","No","","6,236"
"1","B26003426","T","3600","801 SE 6th Court","Rio Vista ","","$2,999,900","","5","4","1","3,200","Single","2026","2","Yes","No","Ranch","9,380"
"1","F10497238","T","3170","1 Las Olas Circle Unit#PH3","Venetian Condominium Venetian Condominium","","$2,599,000","","3","3","0","3,542","Condo","1970","2","","Yes","",""
"1","R11096166","T","3160","3512 NE 27th Street","LAUDERDALE BEACH ","","$2,499,000","","3","2","0","1,694","Single","1950","0","No","No","","9,000"
"1","F10478479","T","3380","1704 NE 16th Terrace","Progresso 2-18 D ","","$2,450,000","","3","3","1","2,902","Single","2025","0","Yes","No","","6,766"
"1","F10532595","T","3280","1312 SE 2nd Court","Colee Hammock 1-17 B ","","$2,200,000","","3","3","0","2,974","Single","2014","2","No","No","","5,500"
