"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","B26016104","W","3170","2520 Del Lago Drive","DEL LAGO ISLE ","","$24,900,000","","6","7","2","8,143","Single","2021","10","Yes","Yes","","15,750"
"1","B26019821","W","3170","801 Seabreeze Boulevard Unit#R Ph2401","St Regis Resort and Reside ","","$22,000,000","","4","4","1","5,540","Condo","2027","4","Yes","Yes","","0"
"1","F10551481","W","3280","520 San Marco Drive","Coral Isles 15-60 B ","","$9,600,000","","6","7","1","6,363","Single","2001","3","Yes","Yes","","11,000"
"1","A11772153","W","3160","3031 NE 25th St","LAUDERDALE BEACH EXT UNIT ","","$6,875,000","","5","4","0","¤2,888","Single","1955","2","Yes","Yes","Detached","¤11,762"
"1","F10500264","W","3280","301 NE 23rd Avenue","Barcelona Isle 27-10 B ","","$6,750,000","","4","4","1","4,648","Single","2017","2","Yes","Yes","","10,400"
"1","F10532080","W","3160","801 Seabreeze Boulevard Unit#R 1906","St Regis Residences St Regis Residences","","$5,453,822","","3","3","1","2,278","Condo","2027","1","","Yes","",""
"1","A11995353","W","3160","2200 N Ocean Blvd Unit#N804","2200 FORT LAUDERDALE BEAC Auberge Beach Residences","","$5,350,000","","3","3","1","¤2,501","Condo","2018","2","","Yes","",""
"1","F10460194","W","3280","521 E Las Olas Blv Unit#1503/1504","ANDARE ANDARE","","$4,794,600","","5","5","1","4,328","Condo","2026","3","","No","",""
"1","A11895090","W","3010","2515 NE 29th Ct","CORAL RIDGE GALT ADD NO 1 ","","$4,250,000","","4","4","1","","Single","2025","3","Yes","No","Attached","¤10,000"
"1","F10540850","W","3470","281 Kennelworth Place","River Highlands 10-3 B ","","$3,900,000","","4","5","1","3,964","Single","2027","2","Yes","Yes","",""
"1","B26014130","W","3260","738 Middle River Drive","SUNRISE ","","$3,699,999","","5","4","0","4,394","Single","1984","2","Yes","No","","11,609"
"1","F10537896","W","3160","525 N Fort Lauderdale Beach Boulevard Unit#1705","Four Seasons Four Seasons","","$3,699,000","","2","2","1","1,794","Condo","2022","1","","Yes","",""
"1","A11980901","W","3160","527 Orton Ave Unit#701","TERRACES CONDO The Terraces","","$3,595,000","","3","3","1","","Condo","2026","2","","No","",""
"1","F10540401","W","3260","900 Intracoastal Drive Unit#1502","Sage Intracoastal Sage Intracoastal","","$3,365,000","","3","3","1","2,767","Condo","2025","2","","Yes","","0"
"1","F10532081","W","3160","801 Seabreeze Boulevard Unit#R 1503","St Regis Residences St Regis Residences","","$3,343,957","","2","2","1","1,551","Condo","2027","1","","Yes","",""
"1","F10532882","W","3160","435 Bayshore Drive Unit#703","ADAGIO ADAGIO","","$3,000,000","","3","3","1","2,870","Condo","2019","2","","Yes","",""
"1","B26040783","W","3260","824 NE 26th Avenue","SUNRISE INTRACOASTAL ","","$2,950,000","","5","6","1","2,617","Townhouse","2026","2","Yes","No","Old Spanish","2,178"
