"PERIOD_BEGIN"	"PERIOD_END"	"PERIOD_DURATION"	"REGION_TYPE"	"REGION_TYPE_ID"	"TABLE_ID"	"IS_SEASONALLY_ADJUSTED"	"REGION"	"CITY"	"STATE"	"STATE_CODE"	"PROPERTY_TYPE"	"PROPERTY_TYPE_ID"	"MEDIAN_SALE_PRICE"	"MEDIAN_SALE_PRICE_MOM"	"MEDIAN_SALE_PRICE_YOY"	"MEDIAN_LIST_PRICE"	"MEDIAN_LIST_PRICE_MOM"	"MEDIAN_LIST_PRICE_YOY"	"MEDIAN_PPSF"	"MEDIAN_PPSF_MOM"	"MEDIAN_PPSF_YOY"	"MEDIAN_LIST_PPSF"	"MEDIAN_LIST_PPSF_MOM"	"MEDIAN_LIST_PPSF_YOY"	"HOMES_SOLD"	"HOMES_SOLD_MOM"	"HOMES_SOLD_YOY"	"PENDING_SALES"	"PENDING_SALES_MOM"	"PENDING_SALES_YOY"	"NEW_LISTINGS"	"NEW_LISTINGS_MOM"	"NEW_LISTINGS_YOY"	"INVENTORY"	"INVENTORY_MOM"	"INVENTORY_YOY"	"MONTHS_OF_SUPPLY"	"MONTHS_OF_SUPPLY_MOM"	"MONTHS_OF_SUPPLY_YOY"	"MEDIAN_DOM"	"MEDIAN_DOM_MOM"	"MEDIAN_DOM_YOY"	"AVG_SALE_TO_LIST"	"AVG_SALE_TO_LIST_MOM"	"AVG_SALE_TO_LIST_YOY"	"SOLD_ABOVE_LIST"	"SOLD_ABOVE_LIST_MOM"	"SOLD_ABOVE_LIST_YOY"	"PRICE_DROPS"	"PRICE_DROPS_MOM"	"PRICE_DROPS_YOY"	"OFF_MARKET_IN_TWO_WEEKS"	"OFF_MARKET_IN_TWO_WEEKS_MOM"	"OFF_MARKET_IN_TWO_WEEKS_YOY"	"PARENT_METRO_REGION"	"PARENT_METRO_REGION_METRO_CODE"	"LAST_UPDATED"
"2025-08-01"	"2025-10-31"	90	"neighborhood"	1	55983	false	"Fort Lauderdale, FL - Melrose Park"	"Fort Lauderdale"	"Florida"	"FL"	"All Residential"	-1	475000	-0.01554404145	-0.02363823227	514900	0.0402020202	0.0402020202	247.663551402	-0.1447153349	-0.1380894893	291.334661355	0.04644768337	-0.08362006519	9	0.125	0.125	10	0.1111111111	0.1111111111	17	0.1333333333	0.3076923077	20	0.05263157895	0.3333333333	NA	NA	NA	48	-8	-7.5	0.9842048616	-0.006784236196	-0.01606601567	0.2222222222	-0.02777777778	-0.1527777778	NA	NA	NA	0.2	-0.02222222222	-0.1333333333	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2017-03-01"	"2017-05-31"	90	"neighborhood"	1	130358	false	"Fort Lauderdale, FL - Durrs"	"Fort Lauderdale"	"Florida"	"FL"	"Multi-Family (2-4 Unit)"	4	108500	0	-0.09583333333	159500	0.3291666667	-0.3421323984	123.295454545	0	0.4363315328	156.862745098	0.1503267974	-0.09935265972	1	0	-0.5	2	-0.3333333333	-0.3333333333	2	1	0	2	1	-0.5	NA	NA	NA	6	0	-207.5	0.9041666667	0	-0.07279256023	0	0	-0.5	NA	NA	NA	0.5	0.1666666667	0.5	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2014-09-01"	"2014-11-30"	90	"neighborhood"	1	132015	false	"Fort Lauderdale, FL - Poinciana Park"	"Fort Lauderdale"	"Florida"	"FL"	"All Residential"	-1	330000	0	NA	387450	-0.1667741935	NA	305.838739574	0	NA	206.201689199	0.1006292314	NA	1	0	NA	NA	NA	NA	2	1	NA	2	1	NA	NA	NA	NA	203	0	NA	0.825	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2017-08-01"	"2017-10-31"	90	"neighborhood"	1	56181	false	"Fort Lauderdale, FL - Coral Ridge"	"Fort Lauderdale"	"Florida"	"FL"	"All Residential"	-1	648500	-0.101800554	-0.1839687933	544000	-0.3674418605	-0.1466666667	290.306048073	-0.09613565544	-0.1494668166	349.417475728	0.0244558922	-0.031006944	12	0.3333333333	2	8	-0.4285714286	3	11	-0.3125	0.1	26	0.04	0.2380952381	NA	NA	NA	73	4	-90.5	0.9484832194	-0.006513462552	0.01368796284	0	0	0	NA	NA	NA	0.125	-0.01785714286	0.125	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2018-05-01"	"2018-07-31"	90	"neighborhood"	1	139342	false	"Fort Lauderdale, FL - Central Beach"	"Fort Lauderdale"	"Florida"	"FL"	"All Residential"	-1	580000	0.007316067125	-0.1726105563	620746	-0.0002480270575	-0.3465831579	795.011691348	0.8818008694	0.9219407638	804.645387269	-0.01803576415	0.08999648294	145	0.02112676056	5.904761905	143	-0.006944444444	8.533333333	174	-0.01694915254	5.96	77	0.05479452055	1.75	NA	NA	NA	21	0	-105	0.9932373086	0.0009787119969	0.0449252445	0.2206896552	-0.004662457504	0.1730706076	NA	NA	NA	0.2797202797	0.001942501943	0.2797202797	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2014-02-01"	"2014-04-30"	90	"neighborhood"	1	55674	false	"Fort Lauderdale, FL - River Oaks"	"Fort Lauderdale"	"Florida"	"FL"	"All Residential"	-1	217950	0.01372093023	1.476704545	180000	0.1392405063	1.25	157.532991202	-0.2555793945	0.3649825943	161.764705882	0.1633505225	0.3790441176	8	0.1428571429	-0.2727272727	12	0.2	0.09090909091	17	0.1333333333	NA	17	0.1333333333	0.8888888889	NA	NA	NA	40.5	-5.5	-88.5	0.9573624459	0.02312739508	-0.05896227064	0.125	0.125	-0.1477272727	NA	NA	NA	0.3333333333	-0.06666666667	0.3333333333	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2019-06-01"	"2019-08-31"	90	"neighborhood"	1	56251	false	"Fort Lauderdale, FL - Palm Aire Village West"	"Fort Lauderdale"	"Florida"	"FL"	"All Residential"	-1	260000	-0.1998769041	-0.2129559558	312000	-0.08208296558	-0.1054738122	176.197836167	0.05640247856	-0.2073010329	190.110339839	-0.02288095411	-0.07226154159	5	0.25	0.25	5	0	0.25	6	0.2	-0.1428571429	3	0	0	NA	NA	NA	16	-6	2.5	0.9423322715	-0.006564829422	-0.04809020288	0	0	0	NA	NA	NA	0.4	0.2	-0.35	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2024-03-01"	"2024-05-31"	90	"neighborhood"	1	141186	false	"Fort Lauderdale, FL - Riviera Isles"	"Fort Lauderdale"	"Florida"	"FL"	"Condo/Co-op"	3	627500	0	-0.07516580693	542449.5	0	-0.3159527112	345.479138421	0	-0.2395924874	367.859929795	0	-0.1924305798	2	0	-0.5	4	1	0.3333333333	4	-0.3333333333	1	7	-0.125	6	NA	NA	NA	166.5	0	121	0.9571904389	0	-0.011237195	0	0	0	NA	NA	NA	0	0	0	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2014-04-01"	"2014-06-30"	90	"neighborhood"	1	55870	false	"Fort Lauderdale, FL - Flamingo Park"	"Fort Lauderdale"	"Florida"	"FL"	"Single Family Residential"	6	165000	0	-0.08333333333	125000	-0.1661107405	-0.2419648272	136.549707602	0	-0.1374610136	91.753605719	-0.3719866613	-0.2655514694	5	0	4	6	-0.3333333333	2	2	-0.7142857143	NA	3	0	-0.625	NA	NA	NA	27	0	14	0.9798386642	0	-0.1117319847	0.2	0	-0.8	NA	NA	NA	0.1666666667	0.05555555556	-0.3333333333	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2012-07-01"	"2012-09-30"	90	"neighborhood"	1	395833	false	"Fort Lauderdale, FL - Lauder del Mar"	"Fort Lauderdale"	"Florida"	"FL"	"Condo/Co-op"	3	152500	NA	-0.0712545676	272000	NA	NA	272.321428571	NA	0.1775165304	357.791353383	NA	NA	1	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7820512821	NA	-0.3916442147	0	NA	-1	NA	NA	NA	NA	NA	NA	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
