vertex,longitude,latitude
0,-80.09064,26.325227
1,-80.0926031,26.3262462
2,-80.0947219,26.3247556
3,-80.0956311,26.3238564
4,-80.0959394,26.3224188
5,-80.0982705,26.322438
6,-80.0996788,26.3204569
7,-80.0996841,26.3050311
8,-80.0956179,26.3050315
9,-80.0954999,26.3010012
10,-80.0937161,26.30096
11,-80.0924811,26.3007673
12,-80.0923447,26.3014301
13,-80.0914369,26.3015552
14,-80.0914229,26.3023822
15,-80.0914389,26.3039211
16,-80.0890954,26.3038581
17,-80.0853067,26.3026077
18,-80.0830918,26.3015397
19,-80.0800612,26.3014342
20,-80.0792668,26.3053238
21,-80.0800612,26.3090992
22,-80.0808984,26.3128745
23,-80.0813063,26.3169184
24,-80.0805762,26.3201882
25,-80.0804044,26.3208026
26,-80.0876574,26.3208026
27,-80.0883874,26.3209959
28,-80.0893305,26.3228421
29,-80.0892445,26.3240338
30,-80.0894596,26.3245916
31,-80.09064,26.325227
